status,symbol,price,is_tradeable,acc_score,rr_score,change_pct,pattern_display,pattern,matches,forecast_dir,forecast_label,strategy_name,confidence,avg_return,bull_prob,bear_prob,threshold,avg_win,avg_loss,total_bars,group,exchange,_sort_prob
MATCH_FOUND,TSMC,1410.0,False,42.12328767123288,1.11,-2.083333333333337,-,-,292,-1,UP,TREND_MOMENTUM (TREND),-15.75342465753424,-1.11,57.87671232876712,42.12328767123288,2.08,1.82,1.64,4950,GROUP_D_TAIWAN,TWSE,42.12328767123288
MATCH_FOUND,TSMC,1410.0,False,44.35897435897436,1.03,-2.083333333333337,-,-,390,-1,UP,TREND_MOMENTUM (TREND),-11.282051282051285,-1.03,55.64102564102564,44.35897435897436,2.08,1.54,1.51,4950,GROUP_D_TAIWAN,TWSE,44.35897435897436
MATCH_FOUND,TSMC,1410.0,False,44.611528822055135,0.93,-2.083333333333337,-,-,399,-1,UP,TREND_MOMENTUM (TREND),-10.77694235588973,-0.93,55.38847117794487,44.611528822055135,2.08,1.45,1.56,4950,GROUP_D_TAIWAN,TWSE,44.611528822055135
MATCH_FOUND,TSMC,1410.0,False,43.45549738219896,0.97,-2.083333333333337,-,-,382,-1,UP,TREND_MOMENTUM (TREND),-13.089005235602087,-0.97,56.54450261780104,43.45549738219896,2.08,1.45,1.5,4950,GROUP_D_TAIWAN,TWSE,43.45549738219896
MATCH_FOUND,TSMC,1410.0,False,49.64028776978417,1.15,-2.083333333333337,+-,+-,139,-1,DOWN,TREND_MOMENTUM (TREND),-0.7194244604316538,-1.15,50.35971223021583,49.64028776978417,2.08,1.59,1.38,4950,GROUP_D_TAIWAN,TWSE,
MATCH_FOUND,TSMC,1410.0,False,47.94520547945205,0.98,-2.083333333333337,+-,+-,146,-1,DOWN,TREND_MOMENTUM (TREND),-4.1095890410959015,-0.98,52.05479452054795,47.94520547945205,2.08,1.34,1.37,4950,GROUP_D_TAIWAN,TWSE,
MATCH_FOUND,TSMC,1410.0,False,52.05479452054794,1.33,-2.083333333333337,-+-,-+-,73,-1,DOWN,TREND_MOMENTUM (TREND),4.109589041095887,-1.33,47.945205479452056,52.05479452054794,2.08,1.38,1.04,4950,GROUP_D_TAIWAN,TWSE,
MATCH_FOUND,TSMC,1410.0,False,39.130434782608695,1.7,-2.083333333333337,+-+-,+-+-,23,-1,DOWN,TREND_MOMENTUM (TREND),-21.73913043478261,-1.7,60.869565217391305,39.130434782608695,2.08,1.18,0.7,4950,GROUP_D_TAIWAN,TWSE,
MATCH_FOUND,MEDIATEK,1445.0,False,44.168734491315135,1.34,3.584229390680993,+,+,403,1,DOWN,TREND_MOMENTUM (TREND),-11.66253101736973,1.34,44.168734491315135,55.83126550868487,3.22,1.94,1.45,4950,GROUP_D_TAIWAN,TWSE,44.168734491315135
MATCH_FOUND,MEDIATEK,1445.0,False,42.5925925925926,1.67,3.584229390680993,++,++,54,1,DOWN,TREND_MOMENTUM (TREND),-14.81481481481481,1.67,42.5925925925926,57.407407407407405,3.22,2.25,1.35,4950,GROUP_D_TAIWAN,TWSE,42.5925925925926
MATCH_FOUND,MEDIATEK,1445.0,False,62.5,1.78,3.584229390680993,+++,+++,8,1,UP,TREND_MOMENTUM (TREND),25.0,1.78,62.5,37.5,3.22,3.59,2.01,4950,GROUP_D_TAIWAN,TWSE,
MATCH_FOUND,MEDIATEK,1445.0,False,50.0,3.72,3.584229390680993,++++,++++,2,1,UP,TREND_MOMENTUM (TREND),0.0,3.72,50.0,50.0,3.22,3.58,0.96,4950,GROUP_D_TAIWAN,TWSE,
