Symbol,Threshold,Max_Streak_Pos,Max_Streak_Neg,Pattern,Pattern_Name,Category,Chance,Prob,Stats,avg_return
ADVANC,±1.5%,4,6,+,1_Days_Up,Trend,🔴 DOWN,53%,353/664 (5000),-0.0269621751900712
ADVANC,±1.5%,4,6,-,1_Days_Down,Trend,🟢 UP,58%,358/610 (5000),0.2452482170515768
ADVANC,±1.5%,4,6,++,2_Days_Up,Trend,🔴 DOWN,59%,74/124 (5000),-0.1936614460884779
ADVANC,±1.5%,4,6,+-,2D_Reversal_Down,Reversal,🔴 DOWN,53%,68/128 (5000),0.0316717085068417
ADVANC,±1.5%,4,6,-+,2D_Reversal_Up,Reversal,🔴 DOWN,52%,73/138 (5000),-0.2351303028676815
ADVANC,±1.5%,4,6,--,2_Days_Down,Trend,🟢 UP,66%,68/103 (5000),0.1835662572175599
ADVANC,±1.5%,4,6,+++,3_Days_Up,Trend,🔴 DOWN,77%,17/22 (5000),-1.0938322226898376
ADVANC,±1.5%,4,6,++-,3D_Reversal_Down,Reversal,🔴 DOWN,60%,17/28 (5000),-0.1367795406733142
ADVANC,±1.5%,4,6,+-+,3D_Mixed_+-+,Mixed,🟢 UP,53%,15/28 (5000),-0.187179934444439
ADVANC,±1.5%,4,6,+--,3D_Reversal_Down,Reversal,🔴 DOWN,54%,13/24 (5000),-0.5562085867980097
ADVANC,±1.5%,4,6,-++,3D_Reversal_Up,Reversal,🔴 DOWN,55%,11/20 (5000),0.1992767373967217
ADVANC,±1.5%,4,6,-+-,3D_Mixed_-+-,Mixed,🟢 UP,54%,19/35 (5000),-0.1430415995436429
ADVANC,±1.5%,4,6,--+,3D_Reversal_Up,Reversal,🔴 DOWN,55%,19/34 (5000),-0.3945045819148017
ADVANC,±1.5%,4,6,---,3_Days_Down,Trend,🟢 UP,68%,15/22 (5000),-0.5548951905241568
ADVANC,±1.5%,4,6,++++,4_Days_Up,Trend,🔴 DOWN,100%,1/1 (5000),-1.1428571428571457
ADVANC,±1.5%,4,6,+++-,4D_Reversal_Down,Reversal,🟢 UP,50%,4/8 (5000),0.6617199006679304
ADVANC,±1.5%,4,6,++-+,4D_Mixed_++-+,Mixed,🟢 UP,50%,2/4 (5000),-0.3356604451612233
ADVANC,±1.5%,4,6,++--,4D_Reversal_Down,Reversal,🟢 UP,50%,1/2 (5000),-0.7291666666666669
ADVANC,±1.5%,4,6,+-++,4D_Mixed_+-++,Mixed,🔴 DOWN,66%,2/3 (5000),-0.1493243989231174
ADVANC,±1.5%,4,6,+-+-,4D_Reversal_Down,Reversal,🟢 UP,66%,4/6 (5000),-0.1865790492226285
ADVANC,±1.5%,4,6,+--+,4D_Mixed_+--+,Mixed,🟢 UP,60%,3/5 (5000),-0.5490668155266021
ADVANC,±1.5%,4,6,+---,4D_Reversal_Down,Reversal,🟢 UP,66%,4/6 (5000),-2.3705181225045906
ADVANC,±1.5%,4,6,-+++,4D_Reversal_Up,Reversal,🔴 DOWN,100%,3/3 (5000),-1.241023625805778
ADVANC,±1.5%,4,6,-++-,4D_Mixed_-++-,Mixed,🔴 DOWN,75%,3/4 (5000),-0.5139736855488602
ADVANC,±1.5%,4,6,-+-+,4D_Reversal_Up,Reversal,🟢 UP,50%,4/8 (5000),-0.7506270591873323
ADVANC,±1.5%,4,6,-+--,4D_Mixed_-+--,Mixed,🟢 UP,70%,7/10 (5000),0.0146441964112686
ADVANC,±1.5%,4,6,--++,4D_Reversal_Up,Reversal,🟢 UP,75%,3/4 (5000),0.8044250445227136
ADVANC,±1.5%,4,6,--+-,4D_Mixed_--+-,Mixed,🟢 UP,58%,7/12 (5000),0.0822919720228909
ADVANC,±1.5%,4,6,---+,4D_Reversal_Up,Reversal,🔴 DOWN,57%,4/7 (5000),-0.2323456972936725
ADVANC,±1.5%,4,6,----,4_Days_Down,Trend,🔴 DOWN,57%,4/7 (5000),-1.346347131241348
ADVANC,±1.5%,4,6,-----,Streak_Down_5,Breakout,🟢 UP,75%,3/4 (5000),0.6050353938264363
ADVANC,±1.5%,4,6,------,Streak_Down_6,Breakout,🟢 UP,100%,1/1 (5000),1.2448132780082943
AOT,±2.2%,4,6,+,1_Days_Up,Trend,🟢 UP,50%,213/426 (5000),0.2025805118239745
AOT,±2.2%,4,6,-,1_Days_Down,Trend,🟢 UP,59%,225/376 (5000),0.1617323339066929
AOT,±2.2%,4,6,++,2_Days_Up,Trend,🔴 DOWN,60%,42/69 (5000),-0.2136656960549118
