Symbol,Market,Pattern,Length,Count,Next_Up,Next_Down,Next_Neutral,Reliability
1024,CHINA,+,1,138,19,18,101,13.77
1024,CHINA,-,1,141,20,25,96,17.73
1024,CHINA,++,2,19,4,5,10,26.32
1024,CHINA,+-,2,18,4,5,9,27.78
1024,CHINA,-+,2,18,1,3,14,16.67
1024,CHINA,--,2,24,4,5,15,20.83
1024,CHINA,+++,3,4,1,2,1,50.0
1024,CHINA,++-,3,5,2,1,2,40.0
1024,CHINA,+-+,3,4,0,0,4,0.0
1024,CHINA,+--,3,5,0,1,4,20.0
1024,CHINA,-++,3,1,0,1,0,100.0
1024,CHINA,-+-,3,3,0,1,2,33.33
1024,CHINA,--+,3,3,1,0,2,33.33
1024,CHINA,---,3,5,2,1,2,40.0
1024,CHINA,++++,4,1,0,1,0,100.0
1024,CHINA,+++-,4,2,1,0,1,50.0
1024,CHINA,++-+,4,2,0,0,2,0.0
1024,CHINA,++--,4,1,0,0,1,0.0
1024,CHINA,+---,4,1,1,0,0,100.0
1024,CHINA,-++-,4,1,0,1,0,100.0
1024,CHINA,-+--,4,1,0,0,1,0.0
1024,CHINA,--++,4,1,0,1,0,100.0
1024,CHINA,---+,4,1,1,0,0,100.0
1024,CHINA,----,4,1,1,0,0,100.0
1024,CHINA,++++-,5,1,1,0,0,100.0
1024,CHINA,+++-+,5,1,0,0,1,0.0
1024,CHINA,-++--,5,1,0,0,1,0.0
1024,CHINA,--++-,5,1,0,1,0,100.0
1024,CHINA,---++,5,1,0,1,0,100.0
1024,CHINA,----+,5,1,1,0,0,100.0
1024,CHINA,++++-+,6,1,0,0,1,0.0
1024,CHINA,--++--,6,1,0,0,1,0.0
1024,CHINA,---++-,6,1,0,1,0,100.0
1024,CHINA,----++,6,1,0,1,0,100.0
1024,CHINA,---++--,7,1,0,0,1,0.0
1024,CHINA,----++-,7,1,0,1,0,100.0
1024,CHINA,----++--,8,1,0,0,1,0.0
1211,CHINA,+,1,555,85,95,375,17.12
1211,CHINA,-,1,536,68,66,402,12.69
1211,CHINA,++,2,85,22,22,41,25.88
1211,CHINA,+-,2,92,10,14,68,15.22
1211,CHINA,-+,2,66,13,8,45,19.7
1211,CHINA,--,2,66,11,10,45,16.67
1211,CHINA,+++,3,22,7,8,7,36.36
1211,CHINA,++-,3,20,4,4,12,20.0
1211,CHINA,+-+,3,10,3,0,7,30.0
1211,CHINA,+--,3,14,1,0,13,7.14
1211,CHINA,-++,3,12,3,5,4,41.67
1211,CHINA,-+-,3,8,0,1,7,12.5
1211,CHINA,--+,3,11,3,1,7,27.27
1211,CHINA,---,3,10,3,3,4,30.0
1211,CHINA,++++,4,7,3,3,1,42.86
1211,CHINA,+++-,4,7,3,2,2,42.86
1211,CHINA,++-+,4,4,2,0,2,50.0
1211,CHINA,++--,4,4,1,0,3,25.0
1211,CHINA,+-++,4,3,0,2,1,66.67
1211,CHINA,+--+,4,1,0,0,1,0.0
1211,CHINA,-+++,4,3,1,1,1,33.33
1211,CHINA,-++-,4,5,0,0,5,0.0
1211,CHINA,-+--,4,1,0,0,1,0.0
1211,CHINA,--++,4,2,0,0,2,0.0
1211,CHINA,--+-,4,1,0,0,1,0.0
1211,CHINA,---+,4,3,2,0,1,66.67
1211,CHINA,----,4,3,2,1,0,66.67
1211,CHINA,+++++,5,3,2,1,0,66.67
1211,CHINA,++++-,5,3,1,1,1,33.33
1211,CHINA,+++-+,5,3,2,0,1,66.67
1211,CHINA,+++--,5,2,1,0,1,50.0
1211,CHINA,++-++,5,2,0,1,1,50.0
1211,CHINA,++--+,5,1,0,0,1,0.0
1211,CHINA,+-++-,5,2,0,0,2,0.0
1211,CHINA,-++++,5,1,0,1,0,100.0
1211,CHINA,---++,5,2,0,0,2,0.0
1211,CHINA,----+,5,2,1,0,1,50.0
1211,CHINA,-----,5,1,1,0,0,100.0
1211,CHINA,++++++,6,2,1,1,0,50.0
1211,CHINA,+++++-,6,1,0,1,0,100.0
1211,CHINA,++++-+,6,1,0,0,1,0.0
1211,CHINA,++++--,6,1,1,0,0,100.0
1211,CHINA,+++-++,6,2,0,1,1,50.0
1211,CHINA,+++--+,6,1,0,0,1,0.0
1211,CHINA,++-++-,6,1,0,0,1,0.0
1211,CHINA,-++++-,6,1,1,0,0,100.0
1211,CHINA,----++,6,1,0,0,1,0.0
1211,CHINA,-----+,6,1,1,0,0,100.0
1211,CHINA,+++++++,7,1,0,1,0,100.0
1211,CHINA,++++++-,7,1,0,1,0,100.0
1211,CHINA,+++++--,7,1,1,0,0,100.0
1211,CHINA,++++--+,7,1,0,0,1,0.0
1211,CHINA,+++-++-,7,1,0,0,1,0.0
1211,CHINA,-++++-+,7,1,0,0,1,0.0
1211,CHINA,-----++,7,1,0,0,1,0.0
1211,CHINA,+++++++-,8,1,0,1,0,100.0
1211,CHINA,++++++--,8,1,1,0,0,100.0
1211,CHINA,+++++--+,8,1,0,0,1,0.0
1810,CHINA,+,1,217,21,32,164,14.75
1810,CHINA,-,1,208,33,20,155,15.87
1810,CHINA,++,2,21,4,3,14,19.05
1810,CHINA,+-,2,32,4,7,21,21.88
1810,CHINA,-+,2,33,1,7,25,21.21
1810,CHINA,--,2,19,7,1,11,36.84
1810,CHINA,+++,3,4,0,0,4,0.0
1810,CHINA,++-,3,3,0,1,2,33.33
1810,CHINA,+-+,3,4,0,0,4,0.0
1810,CHINA,+--,3,7,3,0,4,42.86
1810,CHINA,-++,3,1,0,0,1,0.0
1810,CHINA,-+-,3,7,0,1,6,14.29
1810,CHINA,--+,3,7,0,2,5,28.57
1810,CHINA,---,3,1,0,0,1,0.0
1810,CHINA,++--,4,1,0,0,1,0.0
1810,CHINA,+--+,4,3,0,0,3,0.0
1810,CHINA,-+--,4,1,0,0,1,0.0
1810,CHINA,--+-,4,2,0,1,1,50.0
1810,CHINA,--+--,5,1,0,0,1,0.0
2015,CHINA,+,1,148,17,18,113,12.16
2015,CHINA,-,1,108,25,9,74,23.15
2015,CHINA,++,2,17,1,2,14,11.76
2015,CHINA,+-,2,18,6,2,10,33.33
2015,CHINA,-+,2,25,4,4,17,16.0
2015,CHINA,--,2,8,3,0,5,37.5
2015,CHINA,+++,3,1,0,0,1,0.0
2015,CHINA,++-,3,2,0,0,2,0.0
2015,CHINA,+-+,3,6,2,1,3,33.33
2015,CHINA,+--,3,2,1,0,1,50.0
2015,CHINA,-++,3,4,0,0,4,0.0
2015,CHINA,-+-,3,4,3,0,1,75.0
2015,CHINA,--+,3,3,0,0,3,0.0
2015,CHINA,+-++,4,2,0,0,2,0.0
2015,CHINA,+-+-,4,1,1,0,0,100.0
2015,CHINA,+--+,4,1,0,0,1,0.0
2015,CHINA,-+-+,4,3,2,0,1,66.67
2015,CHINA,+-+-+,5,1,0,0,1,0.0
2015,CHINA,-+-++,5,2,0,0,2,0.0
2382,CHINA,+,1,576,87,81,408,15.1
2382,CHINA,-,1,478,70,56,352,14.64
2382,CHINA,++,2,88,11,17,60,19.32
2382,CHINA,+-,2,84,12,5,67,14.29
2382,CHINA,-+,2,70,8,11,51,15.71
2382,CHINA,--,2,57,13,8,36,22.81
2382,CHINA,+++,3,11,2,2,7,18.18
2382,CHINA,++-,3,18,4,1,13,22.22
2382,CHINA,+-+,3,12,1,2,9,16.67
2382,CHINA,+--,3,5,4,0,1,80.0
2382,CHINA,-++,3,8,2,2,4,25.0
2382,CHINA,-+-,3,11,3,0,8,27.27
2382,CHINA,--+,3,13,2,3,8,23.08
2382,CHINA,---,3,8,1,3,4,37.5
2382,CHINA,++++,4,2,0,1,1,50.0
2382,CHINA,+++-,4,2,1,0,1,50.0
2382,CHINA,++-+,4,4,1,0,3,25.0
2382,CHINA,++--,4,1,1,0,0,100.0
2382,CHINA,+-++,4,1,1,0,0,100.0
2382,CHINA,+-+-,4,2,0,0,2,0.0
2382,CHINA,+--+,4,4,0,0,4,0.0
2382,CHINA,-+++,4,2,0,0,2,0.0
2382,CHINA,-++-,4,2,1,0,1,50.0
2382,CHINA,-+-+,4,3,0,0,3,0.0
2382,CHINA,--++,4,2,1,0,1,50.0
2382,CHINA,--+-,4,3,1,0,2,33.33
2382,CHINA,---+,4,1,0,1,0,100.0
2382,CHINA,----,4,3,0,1,2,33.33
2382,CHINA,++++-,5,1,0,0,1,0.0
2382,CHINA,+++-+,5,1,1,0,0,100.0
2382,CHINA,++-++,5,1,1,0,0,100.0
2382,CHINA,++--+,5,1,0,0,1,0.0
2382,CHINA,+-+++,5,1,0,0,1,0.0
2382,CHINA,-++-+,5,1,0,0,1,0.0
2382,CHINA,--+++,5,1,0,0,1,0.0
2382,CHINA,--+-+,5,1,0,0,1,0.0
2382,CHINA,---+-,5,1,1,0,0,100.0
2382,CHINA,-----,5,1,0,0,1,0.0
2382,CHINA,+++-++,6,1,1,0,0,100.0
2382,CHINA,++-+++,6,1,0,0,1,0.0
2382,CHINA,---+-+,6,1,0,0,1,0.0
2382,CHINA,+++-+++,7,1,0,0,1,0.0
3690,CHINA,+,1,215,30,27,158,13.95
3690,CHINA,-,1,192,33,27,132,17.19
3690,CHINA,++,2,30,7,6,17,23.33
3690,CHINA,+-,2,25,4,5,16,20.0
3690,CHINA,-+,2,33,6,5,22,18.18
3690,CHINA,--,2,27,10,2,15,37.04
3690,CHINA,+++,3,7,1,2,4,28.57
3690,CHINA,++-,3,6,2,0,4,33.33
3690,CHINA,+-+,3,4,1,1,2,25.0
3690,CHINA,+--,3,5,2,0,3,40.0
3690,CHINA,-++,3,6,1,0,5,16.67
3690,CHINA,-+-,3,5,0,1,4,20.0
3690,CHINA,--+,3,9,0,2,7,22.22
3690,CHINA,---,3,2,1,0,1,50.0
3690,CHINA,++++,4,1,0,0,1,0.0
3690,CHINA,+++-,4,2,0,0,2,0.0
3690,CHINA,++-+,4,2,0,1,1,50.0
3690,CHINA,+-++,4,1,0,0,1,0.0
3690,CHINA,+-+-,4,1,0,0,1,0.0
3690,CHINA,+--+,4,2,0,1,1,50.0
3690,CHINA,-+++,4,1,0,1,0,100.0
3690,CHINA,-+--,4,1,0,0,1,0.0
3690,CHINA,--+-,4,2,0,0,2,0.0
3690,CHINA,---+,4,1,0,0,1,0.0
3690,CHINA,++-+-,5,1,0,0,1,0.0
3690,CHINA,+--+-,5,1,0,0,1,0.0
3690,CHINA,-+++-,5,1,0,0,1,0.0
6618,CHINA,+,1,142,22,17,103,15.49
6618,CHINA,-,1,140,20,14,106,14.29
6618,CHINA,++,2,21,4,3,14,19.05
6618,CHINA,+-,2,17,3,2,12,17.65
6618,CHINA,-+,2,20,3,1,16,15.0
6618,CHINA,--,2,14,2,0,12,14.29
6618,CHINA,+++,3,4,0,0,4,0.0
6618,CHINA,++-,3,3,0,0,3,0.0
6618,CHINA,+-+,3,3,0,0,3,0.0
6618,CHINA,+--,3,2,0,0,2,0.0
6618,CHINA,-++,3,3,0,0,3,0.0
6618,CHINA,-+-,3,1,1,0,0,100.0
6618,CHINA,--+,3,2,0,0,2,0.0
6618,CHINA,-+-+,4,1,0,0,1,0.0
700,CHINA,+,1,628,82,103,443,16.4
700,CHINA,-,1,589,92,78,419,15.62
700,CHINA,++,2,80,12,19,49,23.75
700,CHINA,+-,2,102,13,13,76,12.75
700,CHINA,-+,2,90,8,9,73,10.0
700,CHINA,--,2,75,16,11,48,21.33
700,CHINA,+++,3,10,0,4,6,40.0
700,CHINA,++-,3,19,4,4,11,21.05
700,CHINA,+-+,3,12,0,0,12,0.0
700,CHINA,+--,3,12,2,1,9,16.67
700,CHINA,-++,3,8,2,2,4,25.0
700,CHINA,-+-,3,9,2,0,7,22.22
700,CHINA,--+,3,16,1,1,14,6.25
