Symbol,Threshold,Max_Streak_Pos,Max_Streak_Neg,Pattern,Pattern_Name,Category,Prob,Stats
ADVANC,±1.1%,4,6,+,1_Days_Up,Trend,41%,437/1044 (5000)
ADVANC,±1.1%,4,6,-,1_Days_Down,Trend,50%,486/960 (5000)
ADVANC,±1.1%,4,6,++,2_Days_Up,Trend,39%,99/250 (5000)
ADVANC,±1.1%,4,6,+-,2D_Reversal_Down,Reversal,45%,118/258 (5000)
ADVANC,±1.1%,4,6,-+,2D_Reversal_Up,Reversal,46%,124/268 (5000)
ADVANC,±1.1%,4,6,--,2_Days_Down,Trend,57%,117/204 (5000)
ADVANC,±1.1%,4,6,+++,3_Days_Up,Trend,30%,17/55 (5000)
ADVANC,±1.1%,4,6,++-,3D_Reversal_Down,Reversal,41%,26/63 (5000)
ADVANC,±1.1%,4,6,+-+,3D_Mixed_+-+,Mixed,50%,35/70 (5000)
ADVANC,±1.1%,4,6,+--,3D_Reversal_Down,Reversal,42%,23/54 (5000)
ADVANC,±1.1%,4,6,-++,3D_Reversal_Up,Reversal,38%,28/73 (5000)
ADVANC,±1.1%,4,6,-+-,3D_Mixed_-+-,Mixed,45%,34/75 (5000)
ADVANC,±1.1%,4,6,--+,3D_Reversal_Up,Reversal,40%,30/75 (5000)
ADVANC,±1.1%,4,6,---,3_Days_Down,Trend,70%,38/54 (5000)
ADVANC,±1.1%,4,6,++++,4_Days_Up,Trend,9%,1/11 (5000)
ADVANC,±1.1%,4,6,+++-,4D_Reversal_Down,Reversal,45%,9/20 (5000)
ADVANC,±1.1%,4,6,++-+,4D_Mixed_++-+,Mixed,50%,9/18 (5000)
ADVANC,±1.1%,4,6,++--,4D_Reversal_Down,Reversal,41%,5/12 (5000)
ADVANC,±1.1%,4,6,+-++,4D_Mixed_+-++,Mixed,28%,6/21 (5000)
ADVANC,±1.1%,4,6,+-+-,4D_Reversal_Down,Reversal,44%,8/18 (5000)
ADVANC,±1.1%,4,6,+--+,4D_Mixed_+--+,Mixed,44%,4/9 (5000)
ADVANC,±1.1%,4,6,+---,4D_Reversal_Down,Reversal,70%,14/20 (5000)
ADVANC,±1.1%,4,6,-+++,4D_Reversal_Up,Reversal,20%,3/15 (5000)
ADVANC,±1.1%,4,6,-++-,4D_Mixed_-++-,Mixed,50%,9/18 (5000)
ADVANC,±1.1%,4,6,-+-+,4D_Reversal_Up,Reversal,52%,10/19 (5000)
ADVANC,±1.1%,4,6,-+--,4D_Mixed_-+--,Mixed,47%,9/19 (5000)
ADVANC,±1.1%,4,6,--++,4D_Reversal_Up,Reversal,52%,9/17 (5000)
ADVANC,±1.1%,4,6,--+-,4D_Mixed_--+-,Mixed,55%,16/29 (5000)
ADVANC,±1.1%,4,6,---+,4D_Reversal_Up,Reversal,40%,12/30 (5000)
ADVANC,±1.1%,4,6,----,4_Days_Down,Trend,60%,6/10 (5000)
ADVANC,±1.1%,4,6,-----,Streak_Down_5,Breakout,75%,3/4 (5000)
ADVANC,±1.1%,4,6,------,Streak_Down_6,Breakout,100%,1/1 (5000)
