Symbol,Threshold,Max_Streak_Pos,Max_Streak_Neg,Pattern,Pattern_Name,Category,Chance,Prob,Stats
ADVANC,±1.4%,4,6,+,1_Days_Up,Trend,🔴 DOWN,41%,355/855 (5000)
ADVANC,±1.4%,4,6,-,1_Days_Down,Trend,🟢 UP,51%,393/758 (5000)
ADVANC,±1.4%,4,6,++,2_Days_Up,Trend,🔴 DOWN,39%,69/174 (5000)
ADVANC,±1.4%,4,6,+-,2D_Reversal_Down,Reversal,🟢 UP,41%,73/177 (5000)
ADVANC,±1.4%,4,6,-+,2D_Reversal_Up,Reversal,🔴 DOWN,43%,80/186 (5000)
ADVANC,±1.4%,4,6,--,2_Days_Down,Trend,🟢 UP,60%,81/135 (5000)
ADVANC,±1.4%,4,6,+++,3_Days_Up,Trend,🔴 DOWN,24%,8/33 (5000)
ADVANC,±1.4%,4,6,++-,3D_Reversal_Down,Reversal,🔴 DOWN,33%,12/36 (5000)
ADVANC,±1.4%,4,6,+-+,3D_Mixed_+-+,Mixed,🔴 DOWN,47%,19/40 (5000)
ADVANC,±1.4%,4,6,+--,3D_Reversal_Down,Reversal,🔴 DOWN,38%,14/36 (5000)
ADVANC,±1.4%,4,6,-++,3D_Reversal_Up,Reversal,🟢 UP,42%,14/33 (5000)
ADVANC,±1.4%,4,6,-+-,3D_Mixed_-+-,Mixed,🔴 DOWN,48%,24/50 (5000)
ADVANC,±1.4%,4,6,--+,3D_Reversal_Up,Reversal,🔴 DOWN,38%,18/47 (5000)
ADVANC,±1.4%,4,6,---,3_Days_Down,Trend,🔴 DOWN,63%,19/30 (5000)
ADVANC,±1.4%,4,6,++++,4_Days_Up,Trend,🔴 DOWN,0%,0/4 (5000)
ADVANC,±1.4%,4,6,+++-,4D_Reversal_Down,Reversal,🟢 UP,41%,5/12 (5000)
ADVANC,±1.4%,4,6,++-+,4D_Mixed_++-+,Mixed,🔴 DOWN,40%,2/5 (5000)
ADVANC,±1.4%,4,6,++--,4D_Reversal_Down,Reversal,🔴 DOWN,33%,2/6 (5000)
ADVANC,±1.4%,4,6,+-++,4D_Mixed_+-++,Mixed,🟢 UP,44%,4/9 (5000)
ADVANC,±1.4%,4,6,+-+-,4D_Reversal_Down,Reversal,🔴 DOWN,50%,5/10 (5000)
ADVANC,±1.4%,4,6,+--+,4D_Mixed_+--+,Mixed,🔴 DOWN,60%,3/5 (5000)
ADVANC,±1.4%,4,6,+---,4D_Reversal_Down,Reversal,🔴 DOWN,61%,8/13 (5000)
ADVANC,±1.4%,4,6,-+++,4D_Reversal_Up,Reversal,🔴 DOWN,12%,1/8 (5000)
ADVANC,±1.4%,4,6,-++-,4D_Mixed_-++-,Mixed,🟢 UP,33%,2/6 (5000)
ADVANC,±1.4%,4,6,-+-+,4D_Reversal_Up,Reversal,🟢 UP,61%,8/13 (5000)
ADVANC,±1.4%,4,6,-+--,4D_Mixed_-+--,Mixed,🔴 DOWN,53%,7/13 (5000)
ADVANC,±1.4%,4,6,--++,4D_Reversal_Up,Reversal,🔴 DOWN,57%,4/7 (5000)
ADVANC,±1.4%,4,6,--+-,4D_Mixed_--+-,Mixed,🟢 UP,66%,12/18 (5000)
ADVANC,±1.4%,4,6,---+,4D_Reversal_Up,Reversal,🔴 DOWN,41%,5/12 (5000)
ADVANC,±1.4%,4,6,----,4_Days_Down,Trend,🔴 DOWN,42%,3/7 (5000)
ADVANC,±1.4%,4,6,-----,Streak_Down_5,Breakout,🟢 UP,75%,3/4 (5000)
ADVANC,±1.4%,4,6,------,Streak_Down_6,Breakout,🟢 UP,100%,1/1 (5000)
AOT,±2.4%,4,6,+,1_Days_Up,Trend,🟢 UP,44%,196/440 (5000)
AOT,±2.4%,4,6,-,1_Days_Down,Trend,🟢 UP,53%,206/383 (5000)
AOT,±2.4%,4,6,++,2_Days_Up,Trend,🔴 DOWN,36%,25/69 (5000)
AOT,±2.4%,4,6,+-,2D_Reversal_Down,Reversal,🟢 UP,53%,28/52 (5000)
AOT,±2.4%,4,6,-+,2D_Reversal_Up,Reversal,🔴 DOWN,47%,31/65 (5000)
AOT,±2.4%,4,6,--,2_Days_Down,Trend,🟢 UP,59%,35/59 (5000)
AOT,±2.4%,4,6,+++,3_Days_Up,Trend,🔴 DOWN,27%,3/11 (5000)
AOT,±2.4%,4,6,++-,3D_Reversal_Down,Reversal,🟢 UP,61%,8/13 (5000)
AOT,±2.4%,4,6,+-+,3D_Mixed_+-+,Mixed,🔴 DOWN,22%,2/9 (5000)
AOT,±2.4%,4,6,+--,3D_Reversal_Down,Reversal,🔴 DOWN,60%,3/5 (5000)
AOT,±2.4%,4,6,-++,3D_Reversal_Up,Reversal,🔴 DOWN,20%,2/10 (5000)
AOT,±2.4%,4,6,-+-,3D_Mixed_-+-,Mixed,🔴 DOWN,50%,7/14 (5000)
AOT,±2.4%,4,6,--+,3D_Reversal_Up,Reversal,🟢 UP,75%,12/16 (5000)
AOT,±2.4%,4,6,---,3_Days_Down,Trend,🔴 DOWN,44%,4/9 (5000)
AOT,±2.4%,4,6,++++,4_Days_Up,Trend,🔴 DOWN,0%,0/1 (5000)
AOT,±2.4%,4,6,+++-,4D_Reversal_Down,Reversal,🟢 UP,66%,2/3 (5000)
AOT,±2.4%,4,6,++-+,4D_Mixed_++-+,Mixed,🟢 UP,50%,2/4 (5000)
AOT,±2.4%,4,6,+-++,4D_Mixed_+-++,Mixed,🔴 DOWN,0%,0/1 (5000)
AOT,±2.4%,4,6,+-+-,4D_Reversal_Down,Reversal,🟢 UP,50%,1/2 (5000)
AOT,±2.4%,4,6,+--+,4D_Mixed_+--+,Mixed,🟢 UP,100%,1/1 (5000)
AOT,±2.4%,4,6,+---,4D_Reversal_Down,Reversal,🟢 UP,100%,1/1 (5000)
AOT,±2.4%,4,6,-+++,4D_Reversal_Up,Reversal,🔴 DOWN,50%,1/2 (5000)
AOT,±2.4%,4,6,-++-,4D_Mixed_-++-,Mixed,🟢 UP,50%,1/2 (5000)
AOT,±2.4%,4,6,-+-+,4D_Reversal_Up,Reversal,⚪ SIDE,0%,0/1 (5000)
AOT,±2.4%,4,6,-+--,4D_Mixed_-+--,Mixed,🔴 DOWN,50%,1/2 (5000)
AOT,±2.4%,4,6,--++,4D_Reversal_Up,Reversal,🟢 UP,40%,2/5 (5000)
AOT,±2.4%,4,6,---+,4D_Reversal_Up,Reversal,🟢 UP,66%,2/3 (5000)
AOT,±2.4%,4,6,----,4_Days_Down,Trend,🔴 DOWN,33%,1/3 (5000)
AOT,±2.4%,4,6,-----,Streak_Down_5,Breakout,🟢 UP,50%,1/2 (5000)
AOT,±2.4%,4,6,------,Streak_Down_6,Breakout,🟢 UP,100%,1/1 (5000)
AWC,±2.0%,4,4,+,1_Days_Up,Trend,🔴 DOWN,36%,78/215 (1523)
AWC,±2.0%,4,4,-,1_Days_Down,Trend,🟢 UP,45%,107/233 (1523)
AWC,±2.0%,4,4,++,2_Days_Up,Trend,🔴 DOWN,32%,12/37 (1523)
AWC,±2.0%,4,4,+-,2D_Reversal_Down,Reversal,🟢 UP,55%,22/40 (1523)
AWC,±2.0%,4,4,-+,2D_Reversal_Up,Reversal,🔴 DOWN,34%,16/47 (1523)
