Symbol,Streak_Type,Day_Count_n,Reached_Count,Continued_to_n_plus_1,Next_Day_Prob_Percent,Avg_Intensity
ADVANC,UP,1,621,114,18.36,2.7
ADVANC,UP,2,114,21,18.42,2.78
ADVANC,UP,3,21,2,9.52,3.04
ADVANC,UP,4,2,0,0,2.96
ADVANC,DOWN,1,575,88,15.3,-2.66
ADVANC,DOWN,2,88,17,19.32,-2.9
ADVANC,DOWN,3,17,3,17.65,-3.02
ADVANC,DOWN,4,3,3,100,-4.44
ADVANC,DOWN,5,3,1,33.33,-4.44
ADVANC,DOWN,6,1,0,0,-2.7
AOT,UP,1,410,64,15.61,3.77
AOT,UP,2,64,10,15.62,4.46
AOT,UP,3,10,1,10,4.95
AOT,UP,4,1,0,0,5.08
AOT,DOWN,1,352,57,16.19,-3.55
AOT,DOWN,2,57,6,10.53,-4.21
AOT,DOWN,3,6,1,16.67,-6.07
AOT,DOWN,4,1,1,100,-8.21
AOT,DOWN,5,1,1,100,-8.21
AOT,DOWN,6,1,0,0,-8.21
AWC,UP,1,162,24,14.81,4.11
AWC,UP,2,24,4,16.67,4.78
AWC,UP,3,4,1,25,5
AWC,UP,4,1,0,0,7.7
AWC,DOWN,1,168,22,13.1,-3.89
AWC,DOWN,2,22,3,13.64,-4.21
AWC,DOWN,3,3,1,33.33,-3.25
AWC,DOWN,4,1,0,0,-2.72
BANPU,UP,1,568,116,20.42,3.82
BANPU,UP,2,116,19,16.38,3.93
BANPU,UP,3,19,4,21.05,4.48
BANPU,UP,4,4,1,25,4.54
BANPU,UP,5,1,1,100,6.67
BANPU,UP,6,1,1,100,6.67
BANPU,UP,7,1,0,0,6.67
BANPU,DOWN,1,532,90,16.92,-3.64
BANPU,DOWN,2,90,20,22.22,-4.04
BANPU,DOWN,3,20,4,20,-4.16
BANPU,DOWN,4,4,0,0,-5.01
BBL,UP,1,396,58,14.65,3.14
BBL,UP,2,58,8,13.79,3.39
BBL,UP,3,8,2,25,3.56
BBL,UP,4,2,0,0,4.92
BBL,DOWN,1,373,54,14.48,-3.02
BBL,DOWN,2,54,12,22.22,-3.62
BBL,DOWN,3,12,1,8.33,-4.25
BBL,DOWN,4,1,0,0,-6.16
BDMS,UP,1,283,36,12.72,3.91
BDMS,UP,2,36,4,11.11,4.2
BDMS,UP,3,4,2,50,4.3
BDMS,UP,4,2,0,0,4.52
BDMS,DOWN,1,189,18,9.52,-3.98
BDMS,DOWN,2,18,3,16.67,-4.33
BDMS,DOWN,3,3,2,66.67,-4.92
BDMS,DOWN,4,2,1,50,-5.11
BDMS,DOWN,5,1,0,0,-4.52
BEM,UP,1,282,35,12.41,2.6
BEM,UP,2,35,5,14.29,3.29
BEM,UP,3,5,0,0,3.72
BEM,DOWN,1,275,33,12,-2.44
BEM,DOWN,2,33,3,9.09,-2.86
BEM,DOWN,3,3,0,0,-2.96
BGRIM,UP,1,231,43,18.61,3.85
BGRIM,UP,2,43,10,23.26,4.16
BGRIM,UP,3,10,2,20,4.4
BGRIM,UP,4,2,0,0,4.06
BGRIM,DOWN,1,215,41,19.07,-3.71
BGRIM,DOWN,2,41,4,9.76,-3.89
BGRIM,DOWN,3,4,2,50,-5.19
BGRIM,DOWN,4,2,0,0,-6.26
BH,UP,1,164,16,9.76,5.34
BH,UP,2,16,2,12.5,5.75
BH,UP,3,2,0,0,5.36
BH,DOWN,1,94,12,12.77,-5.21
BH,DOWN,2,12,3,25,-5.22
BH,DOWN,3,3,1,33.33,-5.5
BH,DOWN,4,1,0,0,-5.21
BJC,UP,1,383,61,15.93,4.12
BJC,UP,2,61,8,13.11,5.24
BJC,UP,3,8,3,37.5,6.56
BJC,UP,4,3,0,0,5.97
BJC,DOWN,1,359,39,10.86,-3.89
BJC,DOWN,2,39,9,23.08,-4.26
BJC,DOWN,3,9,0,0,-4.15
BTS,UP,1,223,27,12.11,7.07
BTS,UP,2,27,3,11.11,7.42
BTS,UP,3,3,1,33.33,8.31
BTS,UP,4,1,1,100,10.22
BTS,UP,5,1,1,100,10.22
BTS,UP,6,1,1,100,10.22
BTS,UP,7,1,0,0,10.22
BTS,DOWN,1,198,28,14.14,-6.29
BTS,DOWN,2,28,7,25,-6.88
BTS,DOWN,3,7,4,57.14,-8.22
BTS,DOWN,4,4,1,25,-6.9
BTS,DOWN,5,1,0,0,-5.81
CBG,UP,1,193,19,9.84,5.21
CBG,UP,2,19,0,0,6.12
CBG,DOWN,1,145,19,13.1,-5
CBG,DOWN,2,19,1,5.26,-5.6
CBG,DOWN,3,1,0,0,-7.11
CENTEL,UP,1,382,47,12.3,4.58
CENTEL,UP,2,47,12,25.53,4.9
CENTEL,UP,3,12,2,16.67,4.88
CENTEL,UP,4,2,0,0,6.07
CENTEL,DOWN,1,313,57,18.21,-4.27
CENTEL,DOWN,2,57,6,10.53,-4.43
CENTEL,DOWN,3,6,2,33.33,-4.76
CENTEL,DOWN,4,2,1,50,-5.06
CENTEL,DOWN,5,1,1,100,-4.23
CENTEL,DOWN,6,1,0,0,-4.23
CHG,UP,1,196,15,7.65,4.35
CHG,UP,2,15,1,6.67,4.85
CHG,UP,3,1,0,0,4.75
CHG,DOWN,1,140,16,11.43,-4.21
CHG,DOWN,2,16,1,6.25,-4.92
CHG,DOWN,3,1,0,0,-4.15
COM7,UP,1,278,36,12.95,4.5
COM7,UP,2,36,4,11.11,5.15
COM7,UP,3,4,1,25,4.74
COM7,UP,4,1,0,0,3.62
COM7,DOWN,1,201,21,10.45,-4.22
COM7,DOWN,2,21,3,14.29,-5.29
COM7,DOWN,3,3,2,66.67,-8.24
COM7,DOWN,4,2,0,0,-6.73
CPALL,UP,1,470,74,15.74,3.27
CPALL,UP,2,74,14,18.92,3.69
CPALL,UP,3,14,2,14.29,3.74
CPALL,UP,4,2,1,50,6.42
CPALL,UP,5,1,1,100,3.54
CPALL,UP,6,1,0,0,3.54
CPALL,DOWN,1,383,59,15.4,-3.06
CPALL,DOWN,2,59,12,20.34,-3.52
CPALL,DOWN,3,12,1,8.33,-3.75
CPALL,DOWN,4,1,0,0,-7.27
CPF,UP,1,778,163,20.95,2.62
CPF,UP,2,163,41,25.15,2.96
CPF,UP,3,41,7,17.07,3.16
CPF,UP,4,7,3,42.86,2.96
CPF,UP,5,3,1,33.33,2.89
CPF,UP,6,1,0,0,3.22
CPF,DOWN,1,727,149,20.5,-2.44
CPF,DOWN,2,149,36,24.16,-2.64
CPF,DOWN,3,36,11,30.56,-2.63
CPF,DOWN,4,11,1,9.09,-2.93
CPF,DOWN,5,1,1,100,-3.48
CPF,DOWN,6,1,0,0,-3.48
CPN,UP,1,635,116,18.27,3.41
CPN,UP,2,116,23,19.83,3.74
CPN,UP,3,23,6,26.09,3.78
CPN,UP,4,6,2,33.33,4.4
CPN,UP,5,2,1,50,5.95
CPN,UP,6,1,0,0,4.37
CPN,DOWN,1,549,91,16.58,-3.08
CPN,DOWN,2,91,28,30.77,-3.73
CPN,DOWN,3,28,8,28.57,-4.1
CPN,DOWN,4,8,4,50,-4.79
CPN,DOWN,5,4,1,25,-5.03
CPN,DOWN,6,1,0,0,-3.69
CRC,UP,1,89,15,16.85,4.79
CRC,UP,2,15,1,6.67,5.66
CRC,UP,3,1,0,0,5.75
CRC,DOWN,1,92,11,11.96,-4.84
CRC,DOWN,2,11,2,18.18,-5.48
CRC,DOWN,3,2,0,0,-4.95
DELTA,UP,1,145,18,12.41,8.59
DELTA,UP,2,18,6,33.33,10.67
DELTA,UP,3,6,1,16.67,12.42
DELTA,UP,4,1,0,0,6.42
DELTA,DOWN,1,117,10,8.55,-8.26
DELTA,DOWN,2,10,0,0,-10.87
EA,UP,1,330,54,16.36,5.04
EA,UP,2,54,7,12.96,5.73
EA,UP,3,7,1,14.29,7.82
EA,UP,4,1,0,0,10.07
EA,DOWN,1,299,50,16.72,-4.53
EA,DOWN,2,50,13,26,-5.44
EA,DOWN,3,13,3,23.08,-6.25
EA,DOWN,4,3,2,66.67,-9.28
EA,DOWN,5,2,1,50,-11.11
EA,DOWN,6,1,0,0,-18.69
EGCO,UP,1,297,33,11.11,3.02
EGCO,UP,2,33,8,24.24,3.49
EGCO,UP,3,8,2,25,4.03
EGCO,UP,4,2,0,0,3.56
EGCO,DOWN,1,252,26,10.32,-3.04
EGCO,DOWN,2,26,3,11.54,-3.49
EGCO,DOWN,3,3,0,0,-3.76
GLOBAL,UP,1,178,25,14.04,5.87
GLOBAL,UP,2,25,3,12,6.53
GLOBAL,UP,3,3,1,33.33,6.54
GLOBAL,UP,4,1,1,100,8.37
GLOBAL,UP,5,1,0,0,8.37
GLOBAL,DOWN,1,110,11,10,-6.04
GLOBAL,DOWN,2,11,0,0,-6.84
GPSC,UP,1,202,22,10.89,4.52
GPSC,UP,2,22,4,18.18,4.55
GPSC,UP,3,4,3,75,4.93
GPSC,UP,4,3,0,0,5.2
GPSC,DOWN,1,168,15,8.93,-4.31
GPSC,DOWN,2,15,0,0,-4.47
GULF,UP,1,242,33,13.64,3.34
GULF,UP,2,33,3,9.09,3.81
GULF,UP,3,3,0,0,5.26
GULF,DOWN,1,174,26,14.94,-3.14
GULF,DOWN,2,26,3,11.54,-3.68
GULF,DOWN,3,3,1,33.33,-3.88
