symbol,exchange,pattern,direction,prob,avg_win,avg_loss,rrr,match_count,signal,reason,passed,test_matches,test_prob,test_rrr
ADVANC,SET,-,LONG,49.54,1.67,1.34,1.24,2168,NO-TRADE,Prob 49.5% <= 55.0%,False,237,54.01,1.32
AOT,SET,+,LONG,43.36,1.86,1.24,1.49,2832,NO-TRADE,Prob 43.4% <= 55.0%,False,266,37.22,1.65
BANPU,SET,-,SHORT,43.85,2.15,1.42,1.51,2041,NO-TRADE,Prob 43.9% <= 55.0%,False,240,42.5,1.42
BBL,SET,+-+,LONG,55.48,1.66,1.28,1.3,146,BUY,"Prob 55.5% >= 55.0%, match_count 146 >= 25",True,4,25.0,0.8
BDMS,SET,-+,SHORT,49.48,1.56,1.4,1.11,675,NO-TRADE,Prob 49.5% <= 55.0%,False,50,42.0,2.55
BJC,SET,+-+,SHORT,57.65,1.81,1.47,1.23,196,SELL,"Prob 57.6% >= 55.0%, match_count 196 >= 25",True,7,42.86,0.52
CBG,SET,--,LONG,60.61,2.93,0.47,6.24,33,BUY,"Prob 60.6% >= 55.0%, match_count 33 >= 25",True,40,65.0,1.11
CHG,SET,+,SHORT,46.73,1.29,1.3,1.0,901,NO-TRADE,Prob 46.7% <= 55.0%,False,287,51.57,1.35
CPF,SET,-,SHORT,41.16,1.79,1.11,1.62,2267,NO-TRADE,Prob 41.2% <= 55.0%,False,238,30.25,1.02
CPN,SET,-,LONG,45.32,2.2,1.53,1.44,1902,NO-TRADE,Prob 45.3% <= 55.0%,False,276,57.25,1.47
DELTA,SET,+,LONG,44.07,1.9,1.19,1.6,2571,NO-TRADE,Prob 44.1% <= 55.0%,False,259,44.79,1.43
EA,SET,-,LONG,47.14,2.06,1.73,1.19,437,NO-TRADE,Prob 47.1% <= 55.0%,False,222,54.5,0.84
EGCO,SET,-+,SHORT,43.92,1.23,0.76,1.61,847,NO-TRADE,Prob 43.9% <= 55.0%,False,36,52.78,1.59
GLOBAL,SET,-,SHORT,43.84,2.02,1.5,1.35,1129,NO-TRADE,Prob 43.8% <= 55.0%,False,247,42.11,1.43
HMPRO,SET,+-+,SHORT,47.06,1.59,1.62,0.98,136,NO-TRADE,Prob 47.1% <= 55.0%,False,10,50.0,0.48
IVL,SET,-+,SHORT,54.01,1.94,2.01,0.96,474,NO-TRADE,Prob 54.0% <= 55.0%,False,44,52.27,0.79
KBANK,SET,--+,LONG,46.88,2.39,1.23,1.94,288,NO-TRADE,Prob 46.9% <= 55.0%,False,3,100.0,0.0
KTB,SET,-+,SHORT,51.44,1.52,1.61,0.94,731,NO-TRADE,Prob 51.4% <= 55.0%,False,35,34.29,4.96
LH,SET,+-,SHORT,44.28,2.04,1.65,1.24,752,NO-TRADE,Prob 44.3% <= 55.0%,False,29,17.24,0.77
MINT,SET,-+,LONG,44.06,2.14,1.32,1.62,749,NO-TRADE,Prob 44.1% <= 55.0%,False,34,41.18,1.4
