datetime,symbol,open,high,low,close,volume
2022-02-25 21:30:00,NASDAQ:AMD,117.16,121.23,116.0421,121.06,127820983.0
2022-02-28 21:30:00,NASDAQ:AMD,120.31,124.61,119.2,123.34,124666142.0
2022-03-01 21:30:00,NASDAQ:AMD,122.33,122.43,112.8,113.83,126552244.0
2022-03-02 21:30:00,NASDAQ:AMD,115.47,119.48,113.31,118.28,118354509.0
2022-03-03 21:30:00,NASDAQ:AMD,118.13,118.26,111.05,111.98,123916721.0
2022-03-04 21:30:00,NASDAQ:AMD,112.0,113.0,106.81,108.41,100671339.0
2022-03-07 21:30:00,NASDAQ:AMD,108.53,109.53,102.82,102.95,92599972.0
2022-03-08 21:30:00,NASDAQ:AMD,102.81,109.9,100.08,105.53,135348316.0
2022-03-09 21:30:00,NASDAQ:AMD,108.41,111.71,106.85,111.05,102310329.0
2022-03-10 21:30:00,NASDAQ:AMD,108.89,109.07,103.07,106.46,102557375.0
2022-03-11 21:30:00,NASDAQ:AMD,108.13,108.19,104.08,104.29,87584432.0
2022-03-14 20:30:00,NASDAQ:AMD,102.99,105.2397,101.04,102.25,89731676.0
2022-03-15 20:30:00,NASDAQ:AMD,102.66,109.69,101.79,109.33,112425543.0
2022-03-16 20:30:00,NASDAQ:AMD,111.6,115.42,109.89,115.37,113689804.0
2022-03-17 20:30:00,NASDAQ:AMD,112.14,114.27,109.71,111.69,103201695.0
2022-03-18 20:30:00,NASDAQ:AMD,111.28,114.93,110.55,113.46,105834793.0
2022-03-21 20:30:00,NASDAQ:AMD,113.73,117.57,112.54,115.92,101905850.0
2022-03-22 20:30:00,NASDAQ:AMD,115.43,117.95,113.81,114.78,101672560.0
2022-03-23 20:30:00,NASDAQ:AMD,114.29,117.55,112.21,113.92,90579150.0
2022-03-24 20:30:00,NASDAQ:AMD,114.96,120.55,113.71,120.53,121961329.0
2022-03-25 20:30:00,NASDAQ:AMD,119.915,121.4,117.2533,119.67,95852381.0
2022-03-28 20:30:00,NASDAQ:AMD,117.7,120.41,116.71,120.24,92966149.0
2022-03-29 20:30:00,NASDAQ:AMD,122.28,123.71,119.59,123.23,94143028.0
2022-03-30 20:30:00,NASDAQ:AMD,123.04,125.67,118.59,119.22,99476946.0
2022-03-31 20:30:00,NASDAQ:AMD,116.31,116.38,109.02,109.34,147004790.0
2022-04-01 20:30:00,NASDAQ:AMD,110.48,111.42,106.102,108.19,111867074.0
2022-04-04 20:30:00,NASDAQ:AMD,109.97,110.9391,107.03,110.53,90220034.0
2022-04-05 20:30:00,NASDAQ:AMD,109.685,110.48,106.05,106.82,79531959.0
2022-04-06 20:30:00,NASDAQ:AMD,104.45,105.744,101.7106,103.67,105256602.0
2022-04-07 20:30:00,NASDAQ:AMD,103.92,105.24,100.91,103.72,91895526.0
2022-04-08 20:30:00,NASDAQ:AMD,102.51,102.99,100.4205,101.0,92746663.0
2022-04-11 20:30:00,NASDAQ:AMD,98.6,98.67,95.94,97.37,95527655.0
2022-04-12 20:30:00,NASDAQ:AMD,98.78,99.59,94.6,95.1,89246449.0
2022-04-13 20:30:00,NASDAQ:AMD,95.3,98.33,94.71,97.74,77728418.0
2022-04-14 20:30:00,NASDAQ:AMD,98.37,98.39,92.92,93.06,73354367.0
2022-04-18 20:30:00,NASDAQ:AMD,92.03,95.16,91.64,93.89,80605752.0
2022-04-19 20:30:00,NASDAQ:AMD,93.385,97.07,92.84,96.93,77069496.0
2022-04-20 20:30:00,NASDAQ:AMD,97.84,97.91,93.2,94.02,62489047.0
2022-04-21 20:30:00,NASDAQ:AMD,95.16,96.23,89.24,89.85,76680635.0
2022-04-22 20:30:00,NASDAQ:AMD,90.03,91.46,87.935,88.14,75017652.0
2022-04-25 20:30:00,NASDAQ:AMD,89.86,91.37,88.61,90.69,93481042.0
2022-04-26 20:30:00,NASDAQ:AMD,89.74,90.12,85.08,85.16,89127399.0
2022-04-27 20:30:00,NASDAQ:AMD,84.25,87.9,84.02,84.91,83125054.0
2022-04-28 20:30:00,NASDAQ:AMD,86.67,90.58,84.78,89.64,91495449.0
2022-04-29 20:30:00,NASDAQ:AMD,88.05,91.79,85.38,85.52,82647701.0
2022-05-02 20:30:00,NASDAQ:AMD,85.655,90.37,85.3201,89.84,98304091.0
2022-05-03 20:30:00,NASDAQ:AMD,89.85,92.21,89.01,91.13,126381846.0
2022-05-04 20:30:00,NASDAQ:AMD,98.18,99.69,91.7,99.42,225394075.0
2022-05-05 20:30:00,NASDAQ:AMD,97.65,97.84,92.17,93.87,153129770.0
2022-05-06 20:30:00,NASDAQ:AMD,94.34,98.18,92.65,95.34,144286560.0
2022-05-09 20:30:00,NASDAQ:AMD,92.865,93.74,85.38,86.36,144523668.0
2022-05-10 20:30:00,NASDAQ:AMD,89.18,90.7721,85.41,88.73,137235451.0
2022-05-11 20:30:00,NASDAQ:AMD,87.84,93.46,86.53,87.92,136137858.0
2022-05-12 20:30:00,NASDAQ:AMD,86.6,88.55,83.27,87.06,129214223.0
2022-05-13 20:30:00,NASDAQ:AMD,88.3,96.57,88.22,95.12,138068073.0
2022-05-16 20:30:00,NASDAQ:AMD,93.86,98.169,93.0801,94.24,131065665.0
2022-05-17 20:30:00,NASDAQ:AMD,97.88,103.2,97.54,102.47,164227181.0
2022-05-18 20:30:00,NASDAQ:AMD,100.0,104.22,95.71,96.28,142603246.0
2022-05-19 20:30:00,NASDAQ:AMD,96.69,100.69,95.09,96.67,141506169.0
2022-05-20 20:30:00,NASDAQ:AMD,98.385,98.64,88.26,93.5,164126807.0
2022-05-23 20:30:00,NASDAQ:AMD,91.66,95.19,90.92,95.07,128773040.0
2022-05-24 20:30:00,NASDAQ:AMD,92.54,93.42,89.62,91.16,123341410.0
2022-05-25 20:30:00,NASDAQ:AMD,90.425,93.89,89.52,92.65,111771116.0
2022-05-26 20:30:00,NASDAQ:AMD,91.34,100.33,90.74,98.75,128792745.0
2022-05-27 20:30:00,NASDAQ:AMD,100.14,102.4,99.38,102.26,104348440.0
2022-05-31 20:30:00,NASDAQ:AMD,102.43,104.55,100.04,101.86,125102894.0
2022-06-01 20:30:00,NASDAQ:AMD,102.13,103.57,99.55,101.22,99351389.0
2022-06-02 20:30:00,NASDAQ:AMD,100.78,109.5,100.78,108.59,120953796.0
