datetime,symbol,open,high,low,close,volume
2022-02-25 21:30:00,NASDAQ:CSCO,54.98,56.22,54.49,56.04,18963683.0
2022-02-28 21:30:00,NASDAQ:CSCO,55.41,56.0,54.75,55.77,23868699.0
2022-03-01 21:30:00,NASDAQ:CSCO,55.53,55.85,54.26,54.62,17799613.0
2022-03-02 21:30:00,NASDAQ:CSCO,54.77,56.38,54.71,56.15,18660045.0
2022-03-03 21:30:00,NASDAQ:CSCO,56.74,57.0,55.835,56.07,16794589.0
2022-03-04 21:30:00,NASDAQ:CSCO,55.67,56.895,55.25,56.51,16731553.0
2022-03-07 21:30:00,NASDAQ:CSCO,56.31,56.44,55.52,55.59,21350920.0
2022-03-08 21:30:00,NASDAQ:CSCO,55.7,55.86,54.0701,54.4,23642377.0
2022-03-09 21:30:00,NASDAQ:CSCO,55.64,56.245,55.25,55.92,19150856.0
2022-03-10 21:30:00,NASDAQ:CSCO,54.4,55.16,53.97,54.71,18550934.0
2022-03-11 21:30:00,NASDAQ:CSCO,55.29,56.21,54.6,54.69,20330307.0
2022-03-14 20:30:00,NASDAQ:CSCO,54.73,55.4,53.995,54.3,17977522.0
2022-03-15 20:30:00,NASDAQ:CSCO,54.42,55.725,54.42,55.6,18829100.0
2022-03-16 20:30:00,NASDAQ:CSCO,55.93,56.0,54.6,55.81,21821806.0
2022-03-17 20:30:00,NASDAQ:CSCO,55.49,56.3,55.35,56.17,18830686.0
2022-03-18 20:30:00,NASDAQ:CSCO,56.03,56.42,55.54,55.97,51807230.0
2022-03-21 20:30:00,NASDAQ:CSCO,56.06,56.545,55.52,56.0,29174578.0
2022-03-22 20:30:00,NASDAQ:CSCO,56.36,56.72,56.09,56.17,29287852.0
2022-03-23 20:30:00,NASDAQ:CSCO,55.9,56.09,54.45,54.48,19742131.0
2022-03-24 20:30:00,NASDAQ:CSCO,54.67,54.69,53.68,54.5,20551509.0
2022-03-25 20:30:00,NASDAQ:CSCO,54.605,55.18,54.395,54.97,18092381.0
2022-03-28 20:30:00,NASDAQ:CSCO,54.8,55.16,54.42,55.14,17164623.0
2022-03-29 20:30:00,NASDAQ:CSCO,55.67,56.3138,55.04,55.67,20036473.0
