datetime,symbol,open,high,low,close,volume
2006-04-04 20:30:00,NASDAQ:LRCX,4.349001,4.350999,4.227,4.239,23023880.0
2006-04-05 20:30:00,NASDAQ:LRCX,4.261,4.423,4.25,4.398,23827680.0
2006-04-06 20:30:00,NASDAQ:LRCX,4.410001,4.585001,4.394,4.557001,47182730.0
2006-04-07 20:30:00,NASDAQ:LRCX,4.55,4.628999,4.478,4.528,36599770.0
2006-04-10 20:30:00,NASDAQ:LRCX,4.460001,4.514999,4.410001,4.464,34892580.0
2006-04-11 20:30:00,NASDAQ:LRCX,4.467,4.499001,4.42,4.478999,28476410.0
2006-04-12 20:30:00,NASDAQ:LRCX,4.389,4.505,4.389,4.471001,42278320.0
2006-04-13 20:30:00,NASDAQ:LRCX,4.63,4.778,4.619,4.677,85363790.0
2006-04-17 20:30:00,NASDAQ:LRCX,4.687,4.692,4.477,4.513,27403580.0
2006-04-18 20:30:00,NASDAQ:LRCX,4.534,4.697,4.514999,4.675,27970170.0
2006-04-19 20:30:00,NASDAQ:LRCX,4.669,4.784,4.631,4.766,30096980.0
2006-04-20 20:30:00,NASDAQ:LRCX,4.710001,4.819,4.683,4.778,37128930.0
2006-04-21 20:30:00,NASDAQ:LRCX,4.775,4.835001,4.610001,4.632001,28923110.0
2006-04-24 20:30:00,NASDAQ:LRCX,4.641,4.738,4.58,4.713,27539280.0
2006-04-25 20:30:00,NASDAQ:LRCX,4.738,4.784,4.705,4.742999,20690720.0
2006-04-26 20:30:00,NASDAQ:LRCX,4.747,4.8,4.714999,4.773,18778850.0
2006-04-27 20:30:00,NASDAQ:LRCX,4.753999,4.947,4.675999,4.888,44571450.0
2006-04-28 20:30:00,NASDAQ:LRCX,4.875,4.914,4.822,4.888,27535890.0
2006-05-01 20:30:00,NASDAQ:LRCX,4.892999,4.917999,4.828,4.834,23217740.0
2006-05-02 20:30:00,NASDAQ:LRCX,4.846001,4.914999,4.8,4.853999,15014190.0
2006-05-03 20:30:00,NASDAQ:LRCX,4.869,5.198,4.859,5.189,70947580.0
2006-05-04 20:30:00,NASDAQ:LRCX,5.184,5.353,5.17,5.297,54514770.0
2006-05-05 20:30:00,NASDAQ:LRCX,5.300999,5.374001,5.248,5.349001,26750790.0
2006-05-08 20:30:00,NASDAQ:LRCX,5.317,5.353999,5.177,5.196001,24886250.0
2006-05-09 20:30:00,NASDAQ:LRCX,5.175999,5.342999,5.105,5.331,38208660.0
2006-05-10 20:30:00,NASDAQ:LRCX,5.33,5.33,5.175,5.183,33821160.0
2006-05-11 20:30:00,NASDAQ:LRCX,5.025,5.089,4.855,4.892999,48280590.0
2006-05-12 20:30:00,NASDAQ:LRCX,4.860001,4.964999,4.832001,4.884,34183220.0
2006-05-15 20:30:00,NASDAQ:LRCX,4.852,4.922,4.700999,4.760001,23943260.0
2006-05-16 20:30:00,NASDAQ:LRCX,4.755,4.853999,4.745,4.848,25256500.0
2006-05-17 20:30:00,NASDAQ:LRCX,4.734,4.828999,4.7,4.745,31856690.0
2006-05-18 20:30:00,NASDAQ:LRCX,4.750999,4.878,4.658,4.664,21638370.0
2006-05-19 20:30:00,NASDAQ:LRCX,4.661,4.8,4.653999,4.761,31039090.0
2006-05-22 20:30:00,NASDAQ:LRCX,4.7192,4.73,4.572,4.677,29017560.0
2006-05-23 20:30:00,NASDAQ:LRCX,4.725999,4.748,4.446001,4.456,31632510.0
2006-05-24 20:30:00,NASDAQ:LRCX,4.452,4.63,4.42,4.577,40230540.0
2006-05-25 20:30:00,NASDAQ:LRCX,4.625,4.638,4.462,4.519,24384270.0
2006-05-26 20:30:00,NASDAQ:LRCX,4.525,4.547,4.45,4.514,16892720.0
2006-05-30 20:30:00,NASDAQ:LRCX,4.375,4.462,4.344,4.35,29163010.0
2006-05-31 20:30:00,NASDAQ:LRCX,4.417,4.483,4.35,4.478999,30133930.0
2006-06-01 20:30:00,NASDAQ:LRCX,4.48,4.639999,4.462,4.639,26182670.0
2006-06-02 20:30:00,NASDAQ:LRCX,4.664999,4.697,4.456,4.519,24016040.0
2006-06-05 20:30:00,NASDAQ:LRCX,4.510001,4.567999,4.455,4.475999,18786770.0
2006-06-06 20:30:00,NASDAQ:LRCX,4.464,4.514,4.403999,4.494,27720400.0
2006-06-07 20:30:00,NASDAQ:LRCX,4.4875,4.599001,4.439,4.439999,30477580.0
2006-06-08 20:30:00,NASDAQ:LRCX,4.424001,4.459,4.233,4.339,50040660.0
2006-06-09 20:30:00,NASDAQ:LRCX,4.345,4.475999,4.325,4.353999,22332140.0
2006-06-12 20:30:00,NASDAQ:LRCX,4.337,4.375,4.153999,4.167,20465820.0
2006-06-13 20:30:00,NASDAQ:LRCX,4.164,4.25,4.155,4.174001,27382780.0
2006-06-14 20:30:00,NASDAQ:LRCX,4.181,4.425,4.181,4.323,50829840.0
2006-06-15 20:30:00,NASDAQ:LRCX,4.355,4.663,4.355,4.617999,43201330.0
