datetime,symbol,open,high,low,close,volume
2022-02-25 21:30:00,NASDAQ:LULU,310.0,318.42,305.29,317.58,937167.0
2022-02-28 21:30:00,NASDAQ:LULU,312.42,320.43,311.335,319.94,1284807.0
2022-03-01 21:30:00,NASDAQ:LULU,321.11,326.02,313.3,315.18,1236657.0
2022-03-02 21:30:00,NASDAQ:LULU,317.39,330.78,316.76,330.07,1361052.0
2022-03-03 21:30:00,NASDAQ:LULU,330.66,331.5,320.5,322.84,1094118.0
2022-03-04 21:30:00,NASDAQ:LULU,321.26,323.99,314.54,320.58,1131091.0
2022-03-07 21:30:00,NASDAQ:LULU,322.63,324.47,301.87,302.38,1452507.0
2022-03-08 21:30:00,NASDAQ:LULU,301.86,306.01,292.19,296.52,1637335.0
2022-03-09 21:30:00,NASDAQ:LULU,305.92,306.79,301.22,305.82,1574343.0
2022-03-10 21:30:00,NASDAQ:LULU,300.0,303.98,297.52,301.74,934837.0
2022-03-11 21:30:00,NASDAQ:LULU,306.13,306.13,291.375,291.55,978426.0
2022-03-14 20:30:00,NASDAQ:LULU,290.67,293.76,283.0,289.24,1459067.0
2022-03-15 20:30:00,NASDAQ:LULU,284.13,293.01,278.0,289.92,1734525.0
2022-03-16 20:30:00,NASDAQ:LULU,297.12,306.39,292.2492,305.1,1252233.0
2022-03-17 20:30:00,NASDAQ:LULU,304.03,309.77,300.22,307.6,858909.0
2022-03-18 20:30:00,NASDAQ:LULU,304.91,317.53,304.75,316.93,1272512.0
2022-03-21 20:30:00,NASDAQ:LULU,316.08,317.0257,303.5,308.22,1043173.0
2022-03-22 20:30:00,NASDAQ:LULU,313.29,318.5,311.7101,315.03,1181066.0
2022-03-23 20:30:00,NASDAQ:LULU,313.38,315.775,308.18,310.42,975259.0
2022-03-24 20:30:00,NASDAQ:LULU,310.54,317.83,306.05,317.74,1066662.0
2022-03-25 20:30:00,NASDAQ:LULU,319.0,321.84,316.005,321.14,1322028.0
2022-03-28 20:30:00,NASDAQ:LULU,320.22,334.0,319.86,331.78,2255458.0
2022-03-29 20:30:00,NASDAQ:LULU,337.0,353.39,336.07,343.97,3156964.0
2022-03-30 20:30:00,NASDAQ:LULU,370.0,389.145,358.57,376.92,8081989.0
2022-03-31 20:30:00,NASDAQ:LULU,374.95,377.0,364.91,365.23,2232704.0
2022-04-01 20:30:00,NASDAQ:LULU,364.9,369.23,362.7,367.44,1360532.0
2022-04-04 20:30:00,NASDAQ:LULU,368.36,384.4,368.25,384.18,1813344.0
2022-04-05 20:30:00,NASDAQ:LULU,382.68,383.77,372.28,378.99,1497868.0
2022-04-06 20:30:00,NASDAQ:LULU,372.0,374.72,365.0,371.83,1472175.0
2022-04-07 20:30:00,NASDAQ:LULU,369.78,380.4,368.755,379.23,1265381.0
2022-04-08 20:30:00,NASDAQ:LULU,376.54,378.22,369.075,369.46,1268144.0
2022-04-11 20:30:00,NASDAQ:LULU,365.56,372.41,361.11,368.74,1268953.0
2022-04-12 20:30:00,NASDAQ:LULU,373.26,390.7599,372.46,376.16,1787262.0
2022-04-13 20:30:00,NASDAQ:LULU,376.11,398.536,375.7936,395.03,2184916.0
2022-04-14 20:30:00,NASDAQ:LULU,394.86,398.0,390.17,390.78,1505234.0
