datetime,symbol,open,high,low,close,volume
2022-02-25 21:30:00,NASDAQ:NTES,94.2,99.97,93.77,99.72,3659222.0
2022-02-28 21:30:00,NASDAQ:NTES,97.0,97.81,93.39,95.34,3117761.0
2022-03-01 21:30:00,NASDAQ:NTES,95.27,99.13,92.52,93.49,3259984.0
2022-03-02 21:30:00,NASDAQ:NTES,93.435,93.435,89.56,92.38,3437056.0
2022-03-03 21:30:00,NASDAQ:NTES,92.26,92.7,85.885,86.54,4564123.0
2022-03-04 21:30:00,NASDAQ:NTES,85.14,86.74,84.35,85.5,3246310.0
2022-03-07 21:30:00,NASDAQ:NTES,85.29,86.77,81.53,81.81,3106602.0
2022-03-08 21:30:00,NASDAQ:NTES,82.22,87.21,81.395,84.71,3444531.0
2022-03-09 21:30:00,NASDAQ:NTES,86.83,91.76,86.29,88.58,3654682.0
2022-03-10 21:30:00,NASDAQ:NTES,84.0,84.0,76.95,81.73,5597701.0
2022-03-11 21:30:00,NASDAQ:NTES,82.92,84.27,78.75,79.09,4742719.0
2022-03-14 20:30:00,NASDAQ:NTES,71.28,75.78,68.62,71.53,6159044.0
2022-03-15 20:30:00,NASDAQ:NTES,69.52,75.79,69.2,74.24,4652219.0
2022-03-16 20:30:00,NASDAQ:NTES,87.65,94.14,83.05,93.31,9234260.0
2022-03-17 20:30:00,NASDAQ:NTES,88.89,90.0,82.0601,85.1,5472068.0
2022-03-18 20:30:00,NASDAQ:NTES,85.51,91.94,84.71,90.18,7726070.0
2022-03-21 20:30:00,NASDAQ:NTES,86.9,91.0275,86.28,88.91,2525098.0
2022-03-22 20:30:00,NASDAQ:NTES,94.7,96.85,91.335,94.71,3414408.0
2022-03-23 20:30:00,NASDAQ:NTES,94.53,98.26,93.26,95.47,2160957.0
2022-03-24 20:30:00,NASDAQ:NTES,93.05,93.78,90.16,92.16,3343917.0
2022-03-25 20:30:00,NASDAQ:NTES,90.27,93.795,90.27,93.66,1814335.0
2022-03-28 20:30:00,NASDAQ:NTES,95.38,96.86,92.19,93.82,2492829.0
2022-03-29 20:30:00,NASDAQ:NTES,95.02,98.5,93.14,93.92,1808824.0
2022-03-30 20:30:00,NASDAQ:NTES,92.06,94.26,91.57,92.02,1441931.0
2022-03-31 20:30:00,NASDAQ:NTES,90.85,91.79,88.38,89.69,1888006.0
2022-04-01 20:30:00,NASDAQ:NTES,96.31,99.98,95.44,95.81,2726643.0
2022-04-04 20:30:00,NASDAQ:NTES,99.44,99.525,96.58,98.07,2226096.0
2022-04-05 20:30:00,NASDAQ:NTES,96.72,97.284,95.21,96.16,1266795.0
2022-04-06 20:30:00,NASDAQ:NTES,95.31,95.87,92.86,94.83,1503726.0
2022-04-07 20:30:00,NASDAQ:NTES,93.75,94.87,92.69,92.97,1599471.0
2022-04-08 20:30:00,NASDAQ:NTES,92.68,95.09,92.27,93.04,1146199.0
2022-04-11 20:30:00,NASDAQ:NTES,101.18,101.18,94.8,95.01,4117408.0
2022-04-12 20:30:00,NASDAQ:NTES,96.43,96.66,91.97,92.24,1329794.0
2022-04-13 20:30:00,NASDAQ:NTES,93.54,97.42,92.43,95.69,1537021.0
2022-04-14 20:30:00,NASDAQ:NTES,95.18,95.44,93.63,95.06,1314284.0
2022-04-18 20:30:00,NASDAQ:NTES,93.11,94.025,91.12,93.48,1044740.0
2022-04-19 20:30:00,NASDAQ:NTES,90.87,93.73,90.05,93.65,1207051.0
2022-04-20 20:30:00,NASDAQ:NTES,92.32,92.52,88.12,88.97,1667419.0
2022-04-21 20:30:00,NASDAQ:NTES,88.06,89.44,85.53,85.7,1509326.0
2022-04-22 20:30:00,NASDAQ:NTES,86.81,91.25,85.36,85.86,3198682.0
2022-04-25 20:30:00,NASDAQ:NTES,84.9,88.94,84.775,88.37,2359093.0
2022-04-26 20:30:00,NASDAQ:NTES,88.07,89.45,87.26,87.48,1646146.0
2022-04-27 20:30:00,NASDAQ:NTES,88.62,92.18,88.13,89.06,1725316.0
2022-04-28 20:30:00,NASDAQ:NTES,90.66,91.85,89.34,91.29,1622597.0
2022-04-29 20:30:00,NASDAQ:NTES,96.0,99.32,95.18,95.33,2744579.0
2022-05-02 20:30:00,NASDAQ:NTES,94.01,97.26,93.3,94.29,2249246.0
2022-05-03 20:30:00,NASDAQ:NTES,95.6,96.97,94.18,95.95,1509177.0
2022-05-04 20:30:00,NASDAQ:NTES,94.46,97.32,93.5,96.98,2049791.0
2022-05-05 20:30:00,NASDAQ:NTES,92.49,93.49,89.21,91.19,2258281.0
2022-05-06 20:30:00,NASDAQ:NTES,90.15,90.92,88.185,88.41,1618717.0
2022-05-09 20:30:00,NASDAQ:NTES,86.43,87.26,84.2,84.52,2421642.0
2022-05-10 20:30:00,NASDAQ:NTES,88.33,89.78,86.02,88.0,2404005.0
2022-05-11 20:30:00,NASDAQ:NTES,88.755,91.42,87.355,87.84,2256207.0
2022-05-12 20:30:00,NASDAQ:NTES,85.76,89.44,84.46,87.96,2143148.0
2022-05-13 20:30:00,NASDAQ:NTES,90.6,93.045,90.6,92.46,2028696.0
2022-05-16 20:30:00,NASDAQ:NTES,93.24,94.97,92.35,93.25,1296585.0
2022-05-17 20:30:00,NASDAQ:NTES,96.89,97.88,93.125,94.6,1704072.0
2022-05-18 20:30:00,NASDAQ:NTES,94.65,96.12,93.07,93.58,1984535.0
2022-05-19 20:30:00,NASDAQ:NTES,95.18,97.0,94.77,95.35,2530845.0
2022-05-20 20:30:00,NASDAQ:NTES,97.99,99.61,94.91,96.87,2145513.0
2022-05-23 20:30:00,NASDAQ:NTES,97.0,97.175,94.02,97.04,1978729.0
2022-05-24 20:30:00,NASDAQ:NTES,99.2,99.38,93.78,95.41,2260918.0
2022-05-25 20:30:00,NASDAQ:NTES,97.85,99.43,95.34,97.49,2409954.0
2022-05-26 20:30:00,NASDAQ:NTES,99.0,102.34,98.77,101.49,3060833.0
2022-05-27 20:30:00,NASDAQ:NTES,103.11,104.09,101.43,104.0,2422686.0
2022-05-31 20:30:00,NASDAQ:NTES,106.7,107.15,103.18,103.73,2892073.0
2022-06-01 20:30:00,NASDAQ:NTES,103.44,103.77,98.5,100.76,2350701.0
2022-06-02 20:30:00,NASDAQ:NTES,101.5,105.37,100.94,104.36,2050498.0
2022-06-03 20:30:00,NASDAQ:NTES,103.08,103.09,101.35,102.39,1009228.0
