datetime,symbol,open,high,low,close,volume
2010-08-06 20:30:00,NASDAQ:NXPI,13.0,14.08,12.99,14.0,10678484.0
2010-08-09 20:30:00,NASDAQ:NXPI,14.0,14.0,13.7,14.0,1819535.0
2010-08-10 20:30:00,NASDAQ:NXPI,13.77,13.84,13.58,13.6,1579277.0
2010-08-11 20:30:00,NASDAQ:NXPI,13.25,13.38,12.45,12.75,2588211.0
2010-08-12 20:30:00,NASDAQ:NXPI,12.26,12.51,12.1,12.39,1780340.0
2010-08-13 20:30:00,NASDAQ:NXPI,12.25,12.53,11.85,12.0,957570.0
2010-08-16 20:30:00,NASDAQ:NXPI,11.79,12.23,11.69,11.78,551620.0
2010-08-17 20:30:00,NASDAQ:NXPI,11.86,12.3,11.75,12.22,1086654.0
2010-08-18 20:30:00,NASDAQ:NXPI,12.08,12.6,12.0,12.0,1010606.0
2010-08-19 20:30:00,NASDAQ:NXPI,11.95,12.1,11.3104,11.55,745978.0
2010-08-20 20:30:00,NASDAQ:NXPI,11.45,11.5,11.03,11.15,450646.0
2010-08-23 20:30:00,NASDAQ:NXPI,11.28,11.5,10.46,10.98,761813.0
2010-08-24 20:30:00,NASDAQ:NXPI,10.76,11.3,10.5,10.68,746734.0
2010-08-25 20:30:00,NASDAQ:NXPI,10.5,11.13,10.23,10.75,1112174.0
2010-08-26 20:30:00,NASDAQ:NXPI,10.94,11.15,10.8,11.0,581369.0
2010-08-27 20:30:00,NASDAQ:NXPI,11.15,11.49,10.99,11.11,370888.0
2010-08-30 20:30:00,NASDAQ:NXPI,11.01,11.27,11.01,11.095,226858.0
2010-08-31 20:30:00,NASDAQ:NXPI,11.01,11.23,10.87,11.075,236017.0
2010-09-01 20:30:00,NASDAQ:NXPI,11.08,11.95,10.76,11.73,412770.0
2010-09-02 20:30:00,NASDAQ:NXPI,11.08,11.91,11.08,11.87,98504.0
2010-09-03 20:30:00,NASDAQ:NXPI,11.9,12.32,11.58,11.89,231399.0
2010-09-07 20:30:00,NASDAQ:NXPI,12.0,12.36,11.78,12.03,468400.0
2010-09-08 20:30:00,NASDAQ:NXPI,11.49,12.18,11.42,12.16,1483732.0
2010-09-09 20:30:00,NASDAQ:NXPI,12.21,12.625,11.51,11.9,235614.0
2010-09-10 20:30:00,NASDAQ:NXPI,11.98,12.125,11.81,11.98,362921.0
2010-09-13 20:30:00,NASDAQ:NXPI,12.09,12.24,11.8401,11.94,303904.0
2010-09-14 20:30:00,NASDAQ:NXPI,11.85,12.25,11.85,12.24,250639.0
2010-09-15 20:30:00,NASDAQ:NXPI,12.52,12.92,12.3501,12.47,561118.0
2010-09-16 20:30:00,NASDAQ:NXPI,12.46,12.64,12.01,12.02,323293.0
2010-09-17 20:30:00,NASDAQ:NXPI,12.01,12.25,11.82,12.08,252296.0
2010-09-20 20:30:00,NASDAQ:NXPI,12.21,12.97,12.1,12.69,404113.0
2010-09-21 20:30:00,NASDAQ:NXPI,12.61,12.85,12.36,12.51,178759.0
2010-09-22 20:30:00,NASDAQ:NXPI,12.4,12.6,12.01,12.18,184632.0
2010-09-23 20:30:00,NASDAQ:NXPI,12.0,12.49,11.89,12.0,320792.0
2010-09-24 20:30:00,NASDAQ:NXPI,12.1,12.37,11.82,12.22,146945.0
2010-09-27 20:30:00,NASDAQ:NXPI,12.17,12.39,12.02,12.25,186598.0
2010-09-28 20:30:00,NASDAQ:NXPI,12.21,12.62,12.11,12.61,168759.0
2010-09-29 20:30:00,NASDAQ:NXPI,12.63,12.88,12.49,12.55,238483.0
2010-09-30 20:30:00,NASDAQ:NXPI,12.62,12.95,12.26,12.39,196787.0
2010-10-01 20:30:00,NASDAQ:NXPI,12.47,12.77,12.26,12.36,170466.0
2010-10-04 20:30:00,NASDAQ:NXPI,12.38,12.7099,12.25,12.35,140715.0
2010-10-05 20:30:00,NASDAQ:NXPI,12.43,12.69,12.22,12.35,256858.0
2010-10-06 20:30:00,NASDAQ:NXPI,12.32,12.49,12.13,12.47,90378.0
2010-10-07 20:30:00,NASDAQ:NXPI,12.5,12.5,11.61,11.85,252790.0
2010-10-08 20:30:00,NASDAQ:NXPI,11.8,12.11,11.72,11.98,251877.0
2010-10-11 20:30:00,NASDAQ:NXPI,11.95,12.15,11.91,12.05,63685.0
2010-10-12 20:30:00,NASDAQ:NXPI,12.01,12.3,11.9118,12.3,59597.0
2010-10-13 20:30:00,NASDAQ:NXPI,12.31,12.33,12.02,12.07,222010.0
2010-10-14 20:30:00,NASDAQ:NXPI,12.07,12.23,12.0,12.15,223688.0
2010-10-15 20:30:00,NASDAQ:NXPI,12.35,12.35,11.855,11.94,396195.0
2010-10-18 20:30:00,NASDAQ:NXPI,11.96,12.29,11.65,12.24,53545.0
2010-10-19 20:30:00,NASDAQ:NXPI,12.06,12.25,12.01,12.11,130104.0
2010-10-20 20:30:00,NASDAQ:NXPI,12.17,12.45,11.52,12.2,124758.0
2010-10-21 20:30:00,NASDAQ:NXPI,12.11,12.4,12.11,12.25,58771.0
2010-10-22 20:30:00,NASDAQ:NXPI,12.2,12.61,12.18,12.33,94233.0
2010-10-25 20:30:00,NASDAQ:NXPI,12.201,12.59,12.201,12.37,128276.0
2010-10-26 20:30:00,NASDAQ:NXPI,12.25,12.49,11.91,12.28,186145.0
2010-10-27 20:30:00,NASDAQ:NXPI,12.28,12.8,12.28,12.77,263757.0
2010-10-28 20:30:00,NASDAQ:NXPI,12.82,13.35,12.6,13.19,409914.0
2010-10-29 20:30:00,NASDAQ:NXPI,13.16,13.47,12.88,13.19,434606.0
2010-11-01 20:30:00,NASDAQ:NXPI,13.27,13.5,12.56,12.69,432059.0
2010-11-02 20:30:00,NASDAQ:NXPI,12.9,13.43,12.47,13.27,300886.0
2010-11-03 20:30:00,NASDAQ:NXPI,13.21,13.8,13.11,13.6356,359900.0
