datetime,symbol,open,high,low,close,volume
2006-04-03 20:30:00,NASDAQ:REGN,16.55,16.69,15.86,15.96,464074.0
2006-04-04 20:30:00,NASDAQ:REGN,15.96,16.14999,15.69,15.72,327655.0
2006-04-05 20:30:00,NASDAQ:REGN,15.79,15.88,15.56,15.69,274535.0
2006-04-06 20:30:00,NASDAQ:REGN,15.68,15.74,15.12,15.27,408352.0
2006-04-07 20:30:00,NASDAQ:REGN,15.37,15.66,15.1,15.15,269711.0
2006-04-10 20:30:00,NASDAQ:REGN,15.06,15.23,14.37,14.41,581189.0
2006-04-11 20:30:00,NASDAQ:REGN,14.48,14.79,13.83,13.92,382330.0
2006-04-12 20:30:00,NASDAQ:REGN,13.97,14.35,13.76,13.89,569955.0
2006-04-13 20:30:00,NASDAQ:REGN,13.88,14.43,13.77,14.23,495261.0
2006-04-17 20:30:00,NASDAQ:REGN,14.28,14.85,14.21,14.59,350584.0
2006-04-18 20:30:00,NASDAQ:REGN,14.69,15.44,14.57,15.12,337930.0
2006-04-19 20:30:00,NASDAQ:REGN,15.2,15.33,14.81,15.25,553236.0
2006-04-20 20:30:00,NASDAQ:REGN,15.23,15.31,14.68,15.09,318650.0
2006-04-21 20:30:00,NASDAQ:REGN,15.21,15.21,14.73,14.98,265456.0
2006-04-24 20:30:00,NASDAQ:REGN,15.3,15.33,14.42,14.52,406763.0
2006-04-25 20:30:00,NASDAQ:REGN,14.56,14.58,13.85,13.99,291020.0
2006-04-26 20:30:00,NASDAQ:REGN,14.05,14.22,13.6,13.78,164920.0
2006-04-27 20:30:00,NASDAQ:REGN,13.63,14.4,13.58,14.23,440261.0
2006-04-28 20:30:00,NASDAQ:REGN,14.05,14.84,14.05,14.52,290363.0
2006-05-01 20:30:00,NASDAQ:REGN,14.66,14.8,14.2,14.21,227400.0
2006-05-02 20:30:00,NASDAQ:REGN,14.18,14.58,14.15,14.51,471720.0
2006-05-03 20:30:00,NASDAQ:REGN,14.41,15.365,14.0,15.34,290269.0
2006-05-04 20:30:00,NASDAQ:REGN,15.34,15.59,15.09,15.17,302955.0
2006-05-05 20:30:00,NASDAQ:REGN,15.06,15.32,14.88,15.17,328276.0
2006-05-08 20:30:00,NASDAQ:REGN,15.09,15.78,15.08,15.45,383747.0
2006-05-09 20:30:00,NASDAQ:REGN,15.45,15.6,15.19,15.23,282868.0
2006-05-10 20:30:00,NASDAQ:REGN,15.2,15.424,15.05,15.25,236500.0
2006-05-11 20:30:00,NASDAQ:REGN,15.25,15.28,14.53,14.54,280236.0
2006-05-12 20:30:00,NASDAQ:REGN,14.52,14.56,13.58,13.72,381376.0
2006-05-15 20:30:00,NASDAQ:REGN,13.61,13.82,12.83,12.99,518360.0
2006-05-16 20:30:00,NASDAQ:REGN,12.96,13.5,12.76,12.82,566028.0
2006-05-17 20:30:00,NASDAQ:REGN,12.79,12.95,12.03,12.33,564549.0
2006-05-18 20:30:00,NASDAQ:REGN,12.35,12.79,12.0,12.02,360226.0
2006-05-19 20:30:00,NASDAQ:REGN,12.0,12.47,11.39,11.99,765224.0
2006-05-22 20:30:00,NASDAQ:REGN,11.95,12.17,11.41,11.9,470591.0
2006-05-23 20:30:00,NASDAQ:REGN,11.98,12.45,11.28,11.42,525818.0
2006-05-24 20:30:00,NASDAQ:REGN,11.49,11.66,10.97,11.58,541284.0
2006-05-25 20:30:00,NASDAQ:REGN,11.74,12.02,11.49,12.0,454199.0
2006-05-26 20:30:00,NASDAQ:REGN,12.09,12.24,11.88,12.09,314646.0
2006-05-30 20:30:00,NASDAQ:REGN,12.0,12.16,11.45,11.56,401441.0
2006-05-31 20:30:00,NASDAQ:REGN,11.54,12.94,11.54,12.94,585262.0
2006-06-01 20:30:00,NASDAQ:REGN,12.93,13.0,12.38,12.85,399436.0
2006-06-02 20:30:00,NASDAQ:REGN,12.98,13.4,12.76,13.2,275096.0
2006-06-05 20:30:00,NASDAQ:REGN,13.07,13.27,12.82,12.92,410084.0
2006-06-06 20:30:00,NASDAQ:REGN,12.98,13.09,12.63,12.98,288517.0
2006-06-07 20:30:00,NASDAQ:REGN,12.98,13.42,12.86,13.17,266703.0
2006-06-08 20:30:00,NASDAQ:REGN,13.04,13.144,12.22,13.03,435333.0
2006-06-09 20:30:00,NASDAQ:REGN,13.1,13.3,12.61,12.71,240699.0
2006-06-12 20:30:00,NASDAQ:REGN,12.64,12.78,12.09,12.09,238121.0
2006-06-13 20:30:00,NASDAQ:REGN,12.14,12.5,11.79,12.01,245427.0
2006-06-14 20:30:00,NASDAQ:REGN,12.01,12.34,11.81,12.22,283596.0
2006-06-15 20:30:00,NASDAQ:REGN,12.27,12.65,12.16,12.62,236764.0
2006-06-16 20:30:00,NASDAQ:REGN,12.56,12.6,12.0,12.48,985565.0
2006-06-19 20:30:00,NASDAQ:REGN,12.58,12.58,12.22,12.35,402888.0
2006-06-20 20:30:00,NASDAQ:REGN,12.37,12.47,12.25,12.31,298301.0
2006-06-21 20:30:00,NASDAQ:REGN,12.31,12.55,12.22,12.38,245584.0
2006-06-22 20:30:00,NASDAQ:REGN,12.32,12.44,12.07,12.32,167498.0
2006-06-23 20:30:00,NASDAQ:REGN,12.21,12.47,12.12,12.3,144846.0
2006-06-26 20:30:00,NASDAQ:REGN,12.39,12.5,12.24,12.46,249688.0
2006-06-27 20:30:00,NASDAQ:REGN,12.48,12.63,12.07,12.18,361249.0
2006-06-28 20:30:00,NASDAQ:REGN,12.29,12.4,11.97,12.27,372987.0
2006-06-29 20:30:00,NASDAQ:REGN,12.41,13.0,12.32,12.9,346510.0
2006-06-30 20:30:00,NASDAQ:REGN,13.02,13.184,12.63,12.82,1654197.0
2006-07-03 20:30:00,NASDAQ:REGN,12.82,13.25,12.82,13.22,251238.0
2006-07-05 20:30:00,NASDAQ:REGN,13.02,13.25,12.57,12.86,584798.0
2006-07-06 20:30:00,NASDAQ:REGN,12.9,13.06,12.6,12.8,570474.0
2006-07-07 20:30:00,NASDAQ:REGN,12.8,13.2,12.56,12.74,307380.0
2006-07-10 20:30:00,NASDAQ:REGN,12.84,13.03,12.66,12.79,282751.0
2006-07-11 20:30:00,NASDAQ:REGN,12.74,13.04,12.6,13.02,235536.0
2006-07-12 20:30:00,NASDAQ:REGN,12.96,13.5,12.63,12.69,213144.0
2006-07-13 20:30:00,NASDAQ:REGN,12.61,12.74,12.13,12.16,204618.0
2006-07-14 20:30:00,NASDAQ:REGN,12.13,12.2,11.88,11.92,328390.0
2006-07-17 20:30:00,NASDAQ:REGN,11.91,12.1,11.61,11.68,180160.0
2006-07-18 20:30:00,NASDAQ:REGN,11.75,11.96,11.1,11.23,306061.0
2006-07-19 20:30:00,NASDAQ:REGN,11.2,12.34,11.2,12.29,371140.0
2006-07-20 20:30:00,NASDAQ:REGN,12.27,12.4,11.51,11.58,227570.0
2006-07-21 20:30:00,NASDAQ:REGN,11.5,11.51,10.88,11.12,263521.0
2006-07-24 20:30:00,NASDAQ:REGN,11.23,12.16,11.23,12.09,190592.0
2006-07-25 20:30:00,NASDAQ:REGN,12.14,12.81,11.98,12.5,214028.0
2006-07-26 20:30:00,NASDAQ:REGN,12.48,12.83,12.0,12.66,267327.0
2006-07-27 20:30:00,NASDAQ:REGN,12.98,13.53,12.7,13.53,897357.0
2006-07-28 20:30:00,NASDAQ:REGN,13.67,13.93,13.31,13.8,333662.0
