datetime,symbol,open,high,low,close,volume
2006-04-04 20:30:00,NASDAQ:SIRI,50.7,51.0,50.4,50.6,1578950.8
2006-04-05 20:30:00,NASDAQ:SIRI,50.7,50.8,49.8,50.4,2629121.6
2006-04-06 20:30:00,NASDAQ:SIRI,50.6,54.2,50.4,54.1,12819006.4
2006-04-07 20:30:00,NASDAQ:SIRI,54.5,55.7,52.8,53.1,7837700.8
2006-04-10 20:30:00,NASDAQ:SIRI,53.2,54.2,52.7,53.0,3228236.8
2006-04-11 20:30:00,NASDAQ:SIRI,53.1,53.5,51.8,52.0,2013032.0
2006-04-12 20:30:00,NASDAQ:SIRI,52.3,52.501,51.4,52.0,2566272.0
2006-04-13 20:30:00,NASDAQ:SIRI,52.4,53.9,51.8,53.2,5674184.0
2006-04-17 20:30:00,NASDAQ:SIRI,53.3,53.3,51.0,51.2,3186571.2
2006-04-18 20:30:00,NASDAQ:SIRI,51.9,52.301,51.2,51.7,3500732.8
2006-04-19 20:30:00,NASDAQ:SIRI,51.8,52.201,51.0,51.3,2916094.4
2006-04-20 20:30:00,NASDAQ:SIRI,51.2,51.7,50.6,50.7,2138200.0
2006-04-21 20:30:00,NASDAQ:SIRI,51.0,51.2,49.9,50.0,1956059.2
2006-04-24 20:30:00,NASDAQ:SIRI,49.8,49.9,48.0,48.1,5633126.4
2006-04-25 20:30:00,NASDAQ:SIRI,48.5,49.7,48.3,48.7,3499302.4
2006-04-26 20:30:00,NASDAQ:SIRI,48.6,49.3,47.5,48.1,2960124.8
2006-04-27 20:30:00,NASDAQ:SIRI,47.2,48.4,46.5,48.2,3918328.0
2006-04-28 20:30:00,NASDAQ:SIRI,47.9,48.3,46.5,46.8,5194435.2
2006-05-01 20:30:00,NASDAQ:SIRI,47.1,47.809,45.8,46.2,5135393.6
2006-05-02 20:30:00,NASDAQ:SIRI,48.9,50.1,47.5,48.8,9485668.8
2006-05-03 20:30:00,NASDAQ:SIRI,48.9,49.0,47.0,47.2,6006457.6
2006-05-04 20:30:00,NASDAQ:SIRI,47.85,48.3,47.1,47.2,2713737.6
2006-05-05 20:30:00,NASDAQ:SIRI,47.5,47.7,47.0,47.3,2060636.8
2006-05-08 20:30:00,NASDAQ:SIRI,47.2,47.9,47.0,47.2,2199561.6
2006-05-09 20:30:00,NASDAQ:SIRI,46.9,47.0,45.3,46.3,6051888.0
2006-05-10 20:30:00,NASDAQ:SIRI,46.2,46.4,45.3,45.4,2960908.8
2006-05-11 20:30:00,NASDAQ:SIRI,45.49,45.9,44.1,44.2,4154761.6
2006-05-12 20:30:00,NASDAQ:SIRI,44.25,44.4,42.34,43.4,4682891.2
2006-05-15 20:30:00,NASDAQ:SIRI,43.0,43.1,41.8,42.4,4929467.2
2006-05-16 20:30:00,NASDAQ:SIRI,42.9,43.501,42.0,42.2,3698622.4
2006-05-17 20:30:00,NASDAQ:SIRI,41.9,42.0,39.9,40.2,8019512.0
2006-05-18 20:30:00,NASDAQ:SIRI,40.7,41.0,39.9,40.1,3595574.4
2006-05-19 20:30:00,NASDAQ:SIRI,40.3,40.4,39.0,40.0,4946483.2
2006-05-22 20:30:00,NASDAQ:SIRI,39.7,40.7,39.2,39.6,3675420.8
2006-05-23 20:30:00,NASDAQ:SIRI,40.4,40.601,39.0,39.0,2921446.4
2006-05-24 20:30:00,NASDAQ:SIRI,39.1,39.2,36.0,36.8,7765232.0
2006-05-25 20:30:00,NASDAQ:SIRI,38.4,43.0,37.6,42.2,10185062.4
2006-05-26 20:30:00,NASDAQ:SIRI,43.5,44.501,40.8,41.8,8863156.8
2006-05-30 20:30:00,NASDAQ:SIRI,44.3,45.4,43.3,43.9,7780825.6
2006-05-31 20:30:00,NASDAQ:SIRI,45.3,45.6,44.4,45.0,4260116.8
2006-06-01 20:30:00,NASDAQ:SIRI,45.75,45.9,43.2,45.1,5408795.2
2006-06-02 20:30:00,NASDAQ:SIRI,45.0,45.1,43.1,44.1,4768104.0
2006-06-05 20:30:00,NASDAQ:SIRI,43.6,44.0,42.3,42.6,3209755.2
2006-06-06 20:30:00,NASDAQ:SIRI,43.0,43.1,41.7,42.0,3822088.0
2006-06-07 20:30:00,NASDAQ:SIRI,42.4,43.3,42.1,42.6,2283526.4
2006-06-08 20:30:00,NASDAQ:SIRI,42.01,43.6,41.8,42.7,3850825.6
2006-06-09 20:30:00,NASDAQ:SIRI,43.2,43.3,42.5,42.6,1693881.6
2006-06-12 20:30:00,NASDAQ:SIRI,42.49,42.5,41.0,41.1,3097700.8
2006-06-13 20:30:00,NASDAQ:SIRI,40.9,41.2,40.1,40.9,4714561.6
2006-06-14 20:30:00,NASDAQ:SIRI,40.95,41.6,40.4,41.0,2528206.4
2006-06-15 20:30:00,NASDAQ:SIRI,41.3,42.1,40.4,41.4,3682491.2
2006-06-16 20:30:00,NASDAQ:SIRI,40.9,41.3,40.4,40.7,2156843.2
2006-06-19 20:30:00,NASDAQ:SIRI,41.0,41.3,39.6,39.8,3779833.6
2006-06-20 20:30:00,NASDAQ:SIRI,39.75,40.601,39.2,40.1,2246465.6
2006-06-21 20:30:00,NASDAQ:SIRI,40.0,42.41,40.0,42.1,3315790.4
2006-06-22 20:30:00,NASDAQ:SIRI,42.3,42.5,41.5,41.9,2045025.6
2006-06-23 20:30:00,NASDAQ:SIRI,41.95,45.0,41.299,44.7,8422768.0
2006-06-26 20:30:00,NASDAQ:SIRI,44.1,48.4,43.6,47.0,9300574.4
2006-06-27 20:30:00,NASDAQ:SIRI,46.5,46.801,45.2,45.7,4371606.4
2006-06-28 20:30:00,NASDAQ:SIRI,46.2,47.001,45.5,46.6,3782089.6
2006-06-29 20:30:00,NASDAQ:SIRI,47.0,47.601,46.5,47.3,4402595.2
2006-06-30 20:30:00,NASDAQ:SIRI,47.5,47.8,46.7,47.5,1631391.0
2006-07-03 20:30:00,NASDAQ:SIRI,47.4,47.7,45.5,46.1,1617044.5
2006-07-05 20:30:00,NASDAQ:SIRI,45.6,45.6,44.7,44.8,3657348.8
2006-07-06 20:30:00,NASDAQ:SIRI,46.6,47.2,45.2,45.3,4802116.8
2006-07-07 20:30:00,NASDAQ:SIRI,45.5,45.5,43.999,44.1,2395572.8
2006-07-10 20:30:00,NASDAQ:SIRI,44.3,44.4,42.6,42.8,2453235.2
2006-07-11 20:30:00,NASDAQ:SIRI,42.5,44.0,42.1,43.2,3065172.8
2006-07-12 20:30:00,NASDAQ:SIRI,43.0,43.501,42.0,42.2,2748371.2
2006-07-13 20:30:00,NASDAQ:SIRI,41.8,42.0,40.0,40.9,2051860.8
2006-07-14 20:30:00,NASDAQ:SIRI,41.1,41.15,39.9,40.3,2441552.0
2006-07-17 20:30:00,NASDAQ:SIRI,40.1,41.8,40.1,41.7,2151411.2
2006-07-18 20:30:00,NASDAQ:SIRI,42.0,42.801,40.4,40.8,2892254.4
2006-07-19 20:30:00,NASDAQ:SIRI,41.0,42.201,40.9,41.3,2393624.0
2006-07-20 20:30:00,NASDAQ:SIRI,40.3,41.0,39.8,39.9,3406809.6
2006-07-21 20:30:00,NASDAQ:SIRI,40.2,40.473,38.3,39.0,4189828.8
2006-07-24 20:30:00,NASDAQ:SIRI,39.65,40.201,38.3,39.4,3892280.0
2006-07-25 20:30:00,NASDAQ:SIRI,40.2,40.2,38.8,39.2,3134979.2
2006-07-26 20:30:00,NASDAQ:SIRI,39.3,40.1,38.6,39.6,2459928.0
2006-07-27 20:30:00,NASDAQ:SIRI,39.0,40.6,38.6,39.7,4409254.4
2006-07-28 20:30:00,NASDAQ:SIRI,40.0,41.4,39.3,41.4,3304094.4
2006-07-31 20:30:00,NASDAQ:SIRI,42.05,44.3,41.6,42.0,5459321.6
2006-08-01 20:30:00,NASDAQ:SIRI,43.0,43.2,40.5,40.8,4870339.2
2006-08-02 20:30:00,NASDAQ:SIRI,41.0,41.6,40.0,40.2,4175283.2
2006-08-03 20:30:00,NASDAQ:SIRI,39.9,40.2,39.3,39.6,3095433.6
2006-08-04 20:30:00,NASDAQ:SIRI,40.15,40.4,38.999,39.4,3016952.0
2006-08-07 20:30:00,NASDAQ:SIRI,39.2,39.5,37.7,38.1,2668211.2
2006-08-08 20:30:00,NASDAQ:SIRI,38.7,39.1,38.4,38.67,1701027.2
2006-08-09 20:30:00,NASDAQ:SIRI,39.2,39.4,38.5,38.8,1461482.8
2006-08-10 20:30:00,NASDAQ:SIRI,38.9,39.2,37.6,37.7,3781454.4
2006-08-11 20:30:00,NASDAQ:SIRI,37.8,38.0,37.5,37.7,1184081.3
2006-08-14 20:30:00,NASDAQ:SIRI,38.45,38.5,37.2,37.3,1559252.7
2006-08-15 20:30:00,NASDAQ:SIRI,37.6,37.7,36.2,37.5,5260827.2
2006-08-16 20:30:00,NASDAQ:SIRI,37.5,38.101,36.3,36.5,4881467.2
2006-08-17 20:30:00,NASDAQ:SIRI,36.6,37.8,36.5,37.5,3567755.2
2006-08-18 20:30:00,NASDAQ:SIRI,38.0,39.6,37.5,39.1,4008830.4
2006-08-21 20:30:00,NASDAQ:SIRI,38.8,39.5,38.2,38.9,2837480.0
2006-08-22 20:30:00,NASDAQ:SIRI,40.4,40.7,39.3,40.3,6285108.8
2006-08-23 20:30:00,NASDAQ:SIRI,40.0,41.101,39.9,40.4,3340038.4
2006-08-24 20:30:00,NASDAQ:SIRI,40.75,41.2,40.4,40.6,2168472.0
2006-08-25 20:30:00,NASDAQ:SIRI,40.59,41.6,40.5,41.2,3136316.8
