datetime,symbol,open,high,low,close,volume
2012-03-23 20:30:00,NYSE:VIPS,0.6,0.623,0.542,0.55,51735040.0
2012-03-26 20:30:00,NYSE:VIPS,0.561,0.574,0.47,0.47,10417150.0
2012-03-27 20:30:00,NYSE:VIPS,0.465,0.499,0.458,0.46,3147860.0
2012-03-28 20:30:00,NYSE:VIPS,0.453,0.4683,0.445,0.45,2095620.0
2012-03-29 20:30:00,NYSE:VIPS,0.446,0.45,0.425,0.435,1815690.0
2012-03-30 20:30:00,NYSE:VIPS,0.447,0.454,0.425,0.439,1271940.0
2012-04-02 20:30:00,NYSE:VIPS,0.435,0.464,0.435,0.43788,1971790.0
2012-04-03 20:30:00,NYSE:VIPS,0.456,0.468,0.423,0.426,1865970.0
2012-04-04 20:30:00,NYSE:VIPS,0.423,0.43,0.412,0.43,1366070.0
2012-04-05 20:30:00,NYSE:VIPS,0.425,0.45,0.425,0.435,514350.0
2012-04-09 20:30:00,NYSE:VIPS,0.448,0.46,0.43,0.438,839180.0
2012-04-10 20:30:00,NYSE:VIPS,0.436,0.465,0.436,0.452,1593130.0
2012-04-11 20:30:00,NYSE:VIPS,0.455,0.475,0.44501,0.465,1018550.0
2012-04-12 20:30:00,NYSE:VIPS,0.461,0.48,0.461,0.465,1333770.0
2012-04-13 20:30:00,NYSE:VIPS,0.462,0.484,0.461,0.482,2416460.0
2012-04-16 20:30:00,NYSE:VIPS,0.485,0.512,0.482,0.501,2002310.0
2012-04-17 20:30:00,NYSE:VIPS,0.504,0.5649,0.504,0.544,2818900.0
2012-04-18 20:30:00,NYSE:VIPS,0.541,0.59,0.541,0.59,3351900.0
2012-04-19 20:30:00,NYSE:VIPS,0.59,0.598,0.577,0.595,1855880.0
2012-04-20 20:30:00,NYSE:VIPS,0.593,0.598,0.581,0.596,1070490.0
2012-04-23 20:30:00,NYSE:VIPS,0.59,0.6,0.567,0.6,1281580.0
2012-04-24 20:30:00,NYSE:VIPS,0.61,0.61,0.59,0.602,1568870.0
2012-04-25 20:30:00,NYSE:VIPS,0.605,0.605,0.523,0.525,3281450.0
2012-04-26 20:30:00,NYSE:VIPS,0.525,0.563,0.5111,0.531,1345330.0
2012-04-27 20:30:00,NYSE:VIPS,0.532,0.553,0.525,0.53,589080.0
2012-04-30 20:30:00,NYSE:VIPS,0.527,0.561,0.527,0.54,931540.0
2012-05-01 20:30:00,NYSE:VIPS,0.545,0.559,0.534,0.546,730910.0
2012-05-02 20:30:00,NYSE:VIPS,0.571,0.576,0.558,0.569,829890.0
2012-05-03 20:30:00,NYSE:VIPS,0.571,0.575,0.55,0.556,508500.0
2012-05-04 20:30:00,NYSE:VIPS,0.526,0.573,0.526,0.549,235330.0
2012-05-07 20:30:00,NYSE:VIPS,0.547,0.56,0.53108,0.538,458650.0
2012-05-08 20:30:00,NYSE:VIPS,0.534,0.55,0.522,0.53,832090.0
2012-05-09 20:30:00,NYSE:VIPS,0.522,0.549,0.52,0.537,310560.0
2012-05-10 20:30:00,NYSE:VIPS,0.537,0.558,0.509,0.517,1597490.0
2012-05-11 20:30:00,NYSE:VIPS,0.516,0.548,0.51,0.54,484220.0
2012-05-14 20:30:00,NYSE:VIPS,0.546,0.575,0.546,0.565,1722280.0
2012-05-15 20:30:00,NYSE:VIPS,0.57,0.582,0.5174,0.529,832130.0
2012-05-16 20:30:00,NYSE:VIPS,0.533,0.54,0.501,0.505,647820.0
2012-05-17 20:30:00,NYSE:VIPS,0.505,0.517,0.5,0.511,644290.0
2012-05-18 20:30:00,NYSE:VIPS,0.516,0.53,0.515,0.515,1081570.0
2012-05-21 20:30:00,NYSE:VIPS,0.524,0.539,0.5,0.503,277440.0
2012-05-22 20:30:00,NYSE:VIPS,0.503,0.518,0.462,0.486,516660.0
2012-05-23 20:30:00,NYSE:VIPS,0.479,0.486,0.431,0.469,682760.0
2012-05-24 20:30:00,NYSE:VIPS,0.474,0.486,0.474,0.48,201000.0
2012-05-25 20:30:00,NYSE:VIPS,0.481,0.51,0.481,0.5,291850.0
2012-05-29 20:30:00,NYSE:VIPS,0.504,0.514,0.494,0.506,696360.0
2012-05-30 20:30:00,NYSE:VIPS,0.506,0.531,0.5,0.529,2236650.0
2012-05-31 20:30:00,NYSE:VIPS,0.529,0.552,0.529,0.55,909170.0
2012-06-01 20:30:00,NYSE:VIPS,0.54,0.554,0.528,0.551,668420.0
2012-06-04 20:30:00,NYSE:VIPS,0.557,0.56,0.5371,0.55,221070.0
2012-06-05 20:30:00,NYSE:VIPS,0.55,0.567,0.55,0.562,482690.0
2012-06-06 20:30:00,NYSE:VIPS,0.563,0.588,0.559,0.588,1162110.0
2012-06-07 20:30:00,NYSE:VIPS,0.586,0.6,0.56,0.569,916060.0
2012-06-08 20:30:00,NYSE:VIPS,0.563,0.586,0.56,0.573,303280.0
2012-06-11 20:30:00,NYSE:VIPS,0.585,0.589,0.562,0.583,672940.0
2012-06-12 20:30:00,NYSE:VIPS,0.586,0.594,0.574,0.59,1674790.0
2012-06-13 20:30:00,NYSE:VIPS,0.59,0.59,0.569,0.574,637500.0
2012-06-14 20:30:00,NYSE:VIPS,0.583,0.59,0.56,0.576,1344080.0
2012-06-15 20:30:00,NYSE:VIPS,0.587,0.59,0.581,0.589,684390.0
2012-06-18 20:30:00,NYSE:VIPS,0.598,0.61,0.5937,0.6,692950.0
2012-06-19 20:30:00,NYSE:VIPS,0.6,0.638,0.59811,0.614,2154420.0
2012-06-20 20:30:00,NYSE:VIPS,0.615,0.615,0.607,0.61,867640.0
2012-06-21 20:30:00,NYSE:VIPS,0.611,0.615,0.60701,0.61,1643100.0
2012-06-22 20:30:00,NYSE:VIPS,0.615,0.615,0.605,0.61,1124750.0
2012-06-25 20:30:00,NYSE:VIPS,0.61,0.6112,0.605,0.6105,225470.0
2012-06-26 20:30:00,NYSE:VIPS,0.611,0.615,0.606,0.615,305770.0
2012-06-27 20:30:00,NYSE:VIPS,0.609,0.61,0.606,0.61,95300.0
2012-06-28 20:30:00,NYSE:VIPS,0.61,0.61,0.605,0.61,104000.0
2012-06-29 20:30:00,NYSE:VIPS,0.615,0.615,0.6,0.61,168210.0
2012-07-02 20:30:00,NYSE:VIPS,0.605,0.61,0.60001,0.61,140050.0
2012-07-03 20:30:00,NYSE:VIPS,0.61,0.61,0.606,0.609,243350.0
2012-07-05 20:30:00,NYSE:VIPS,0.61,0.633,0.606,0.619,900930.0
2012-07-06 20:30:00,NYSE:VIPS,0.615,0.6175,0.588,0.612,400380.0
2012-07-09 20:30:00,NYSE:VIPS,0.61,0.612,0.588,0.611,294870.0
2012-07-10 20:30:00,NYSE:VIPS,0.61,0.61,0.59,0.597,280400.0
2012-07-11 20:30:00,NYSE:VIPS,0.6,0.6,0.588,0.6,183520.0
2012-07-12 20:30:00,NYSE:VIPS,0.598,0.6,0.587,0.6,213110.0
2012-07-13 20:30:00,NYSE:VIPS,0.6,0.6,0.589,0.595,128450.0
2012-07-16 20:30:00,NYSE:VIPS,0.597,0.6,0.588,0.594,154220.0
2012-07-17 20:30:00,NYSE:VIPS,0.596,0.596,0.585,0.594,149690.0
2012-07-18 20:30:00,NYSE:VIPS,0.591,0.591,0.584,0.584,28000.0
2012-07-19 20:30:00,NYSE:VIPS,0.582,0.584,0.55,0.554,441380.0
2012-07-20 20:30:00,NYSE:VIPS,0.558,0.567,0.555,0.555,59000.0
2012-07-23 20:30:00,NYSE:VIPS,0.555,0.556,0.531,0.538,230020.0
2012-07-24 20:30:00,NYSE:VIPS,0.53613,0.53613,0.509,0.515,173140.0
2012-07-25 20:30:00,NYSE:VIPS,0.521,0.53299,0.51,0.525,106430.0
2012-07-26 20:30:00,NYSE:VIPS,0.525,0.538,0.51702,0.538,123370.0
2012-07-27 20:30:00,NYSE:VIPS,0.54,0.574,0.53714,0.57,209260.0
2012-07-30 20:30:00,NYSE:VIPS,0.572,0.5845,0.547,0.557,190700.0
2012-07-31 20:30:00,NYSE:VIPS,0.56,0.56,0.555,0.556,56050.0
2012-08-01 20:30:00,NYSE:VIPS,0.56,0.56,0.542,0.55,251580.0
2012-08-02 20:30:00,NYSE:VIPS,0.549,0.56,0.531,0.551,339800.0
2012-08-03 20:30:00,NYSE:VIPS,0.55,0.56,0.532,0.5545,90030.0
2012-08-06 20:30:00,NYSE:VIPS,0.55,0.55,0.534,0.547,122000.0
2012-08-07 20:30:00,NYSE:VIPS,0.545,0.548,0.518,0.544,115400.0
2012-08-08 20:30:00,NYSE:VIPS,0.547,0.56399,0.538,0.552,504100.0
2012-08-09 20:30:00,NYSE:VIPS,0.554,0.564,0.546,0.546,405000.0
2012-08-10 20:30:00,NYSE:VIPS,0.56,0.566,0.531,0.535,2658750.0
