datetime,symbol,open,high,low,close,volume
2016-10-17 20:30:00,NYSE:YUMC,30.0,30.0,25.65,25.65,251862.0
2016-10-18 20:30:00,NYSE:YUMC,26.1723,26.1723,23.79,24.44,349338.0
2016-10-19 20:30:00,NYSE:YUMC,24.86,24.86,24.15,24.26,222719.0
2016-10-20 20:30:00,NYSE:YUMC,24.27,24.36,23.82,24.25,123099.0
2016-10-21 20:30:00,NYSE:YUMC,24.25,25.11,24.25,24.92,354550.0
2016-10-24 20:30:00,NYSE:YUMC,25.21,25.43,24.85,25.23,384563.0
2016-10-25 20:30:00,NYSE:YUMC,25.0,25.7,24.5,24.52,1305611.0
2016-10-26 20:30:00,NYSE:YUMC,24.26,24.89,24.08,24.75,1537732.0
2016-10-27 20:30:00,NYSE:YUMC,24.82,24.97,24.66,24.83,847113.0
2016-10-28 20:30:00,NYSE:YUMC,24.83,24.83,24.0,24.36,1666790.0
2016-10-31 20:30:00,NYSE:YUMC,24.5,24.77,24.0,24.24,4294716.0
2016-11-01 20:30:00,NYSE:YUMC,24.51,27.135,24.0,26.19,87710160.0
2016-11-02 20:30:00,NYSE:YUMC,26.5,27.4,26.19,26.59,16035599.0
2016-11-03 20:30:00,NYSE:YUMC,26.78,27.1,26.64,26.85,7706486.0
2016-11-04 20:30:00,NYSE:YUMC,26.98,28.14,26.8508,27.58,9971956.0
2016-11-07 21:30:00,NYSE:YUMC,27.87,28.6599,26.35,26.71,12851261.0
2016-11-08 21:30:00,NYSE:YUMC,25.98,27.26,25.61,26.59,11444774.0
2016-11-09 21:30:00,NYSE:YUMC,25.96,26.61,25.96,26.0,8522512.0
2016-11-10 21:30:00,NYSE:YUMC,26.26,26.78,25.85,26.0,8073539.0
2016-11-11 21:30:00,NYSE:YUMC,25.83,28.0348,25.83,26.98,7137154.0
2016-11-14 21:30:00,NYSE:YUMC,27.09,27.38,25.6803,25.88,4946633.0
2016-11-15 21:30:00,NYSE:YUMC,25.9,26.65,25.5,26.56,8663073.0
2016-11-16 21:30:00,NYSE:YUMC,26.4,27.61,26.4,26.94,4773691.0
2016-11-17 21:30:00,NYSE:YUMC,27.16,27.215,26.93,27.09,2739245.0
2016-11-18 21:30:00,NYSE:YUMC,27.14,28.62,27.03,28.25,4080359.0
2016-11-21 21:30:00,NYSE:YUMC,28.16,28.99,27.97,28.92,3358678.0
2016-11-22 21:30:00,NYSE:YUMC,28.96,30.37,28.96,29.98,6464906.0
2016-11-23 21:30:00,NYSE:YUMC,29.75,30.275,29.08,29.79,2783814.0
2016-11-25 21:30:00,NYSE:YUMC,29.78,29.88,27.69,29.45,2468737.0
2016-11-28 21:30:00,NYSE:YUMC,29.31,29.38,28.22,28.35,3883979.0
2016-11-29 21:30:00,NYSE:YUMC,28.4,28.7,27.81,28.59,3001155.0
2016-11-30 21:30:00,NYSE:YUMC,28.59,28.77,27.76,28.12,7216836.0
2016-12-01 21:30:00,NYSE:YUMC,28.2,28.585,27.82,28.25,3484603.0
2016-12-02 21:30:00,NYSE:YUMC,27.87,28.79,27.5,28.15,2818281.0
2016-12-05 21:30:00,NYSE:YUMC,28.23,28.54,27.99,28.0,2724151.0
2016-12-06 21:30:00,NYSE:YUMC,28.05,28.39,27.67,28.35,8361584.0
2016-12-07 21:30:00,NYSE:YUMC,28.27,28.48,27.9,28.02,3596309.0
2016-12-08 21:30:00,NYSE:YUMC,28.19,28.29,27.44,28.02,4637338.0
2016-12-09 21:30:00,NYSE:YUMC,27.94,28.44,27.92,28.0,2989380.0
2016-12-12 21:30:00,NYSE:YUMC,27.75,27.84,26.32,26.45,3768235.0
2016-12-13 21:30:00,NYSE:YUMC,26.48,27.26,26.29,27.02,2702424.0
2016-12-14 21:30:00,NYSE:YUMC,26.68,27.945,26.68,27.04,1795161.0
