datetime,symbol,open,high,low,close,volume
2016-10-27 20:30:00,NYSE:ZTO,18.4,18.45,16.5,16.57,55328699.0
2016-10-28 20:30:00,NYSE:ZTO,16.79,17.25,16.68,16.99,12646833.0
2016-10-31 20:30:00,NYSE:ZTO,17.19,17.19,16.85,16.93,3226590.0
2016-11-01 20:30:00,NYSE:ZTO,17.0,17.05,15.545,16.0,9863756.0
2016-11-02 20:30:00,NYSE:ZTO,16.33,16.39,15.82,16.0,4431182.0
2016-11-03 20:30:00,NYSE:ZTO,16.05,16.05,15.78,15.99,2318106.0
2016-11-04 20:30:00,NYSE:ZTO,15.9,15.9,15.14,15.2,2848352.0
2016-11-07 21:30:00,NYSE:ZTO,15.33,15.55,15.2,15.43,2959085.0
2016-11-08 21:30:00,NYSE:ZTO,15.49,15.51,15.32,15.44,1799974.0
2016-11-09 21:30:00,NYSE:ZTO,15.02,15.28,14.15,14.32,4002053.0
2016-11-10 21:30:00,NYSE:ZTO,14.69,14.82,14.43,14.5,3791638.0
2016-11-11 21:30:00,NYSE:ZTO,14.6,14.6,14.18,14.58,2051168.0
2016-11-14 21:30:00,NYSE:ZTO,14.72,14.89,14.27,14.29,3205567.0
2016-11-15 21:30:00,NYSE:ZTO,14.42,14.63,14.32,14.48,3027180.0
2016-11-16 21:30:00,NYSE:ZTO,14.45,14.72,14.43,14.61,1354542.0
2016-11-17 21:30:00,NYSE:ZTO,14.75,15.35,14.61,15.26,3598390.0
2016-11-18 21:30:00,NYSE:ZTO,15.54,16.49,15.52,16.3,3806098.0
2016-11-21 21:30:00,NYSE:ZTO,16.65,16.9,15.81,15.89,4361050.0
2016-11-22 21:30:00,NYSE:ZTO,16.0,16.03,15.03,15.07,3633259.0
2016-11-23 21:30:00,NYSE:ZTO,15.2499,15.47,15.01,15.32,2328836.0
2016-11-25 21:30:00,NYSE:ZTO,15.45,15.99,15.4,15.9,1313211.0
2016-11-28 21:30:00,NYSE:ZTO,15.96,16.0,15.57,15.81,2098079.0
2016-11-29 21:30:00,NYSE:ZTO,16.07,16.15,15.02,15.63,4114476.0
2016-11-30 21:30:00,NYSE:ZTO,15.98,16.0,15.05,15.13,4132962.0
2016-12-01 21:30:00,NYSE:ZTO,15.04,15.19,14.6,14.61,2497402.0
2016-12-02 21:30:00,NYSE:ZTO,14.5,14.611,13.8,13.83,3014934.0
2016-12-05 21:30:00,NYSE:ZTO,14.0,14.0789,13.38,13.48,3167162.0
2016-12-06 21:30:00,NYSE:ZTO,13.56,13.62,13.5,13.58,1832313.0
2016-12-07 21:30:00,NYSE:ZTO,13.65,13.74,13.37,13.56,2198603.0
2016-12-08 21:30:00,NYSE:ZTO,13.61,14.56,13.56,14.46,3036745.0
2016-12-09 21:30:00,NYSE:ZTO,14.32,14.41,14.06,14.13,1160149.0
2016-12-12 21:30:00,NYSE:ZTO,14.25,14.25,13.32,13.36,1997992.0
2016-12-13 21:30:00,NYSE:ZTO,13.5,13.5,12.75,12.83,4004386.0
2016-12-14 21:30:00,NYSE:ZTO,12.8,13.24,12.75,13.17,2946029.0
2016-12-15 21:30:00,NYSE:ZTO,13.05,13.16,12.88,12.91,1041807.0
2016-12-16 21:30:00,NYSE:ZTO,12.85,12.9099,12.48,12.64,2294063.0
2016-12-19 21:30:00,NYSE:ZTO,12.65,12.8558,12.4,12.67,1112774.0
2016-12-20 21:30:00,NYSE:ZTO,12.7,13.25,12.665,13.09,1309168.0
2016-12-21 21:30:00,NYSE:ZTO,13.06,13.27,13.06,13.16,1013725.0
2016-12-22 21:30:00,NYSE:ZTO,13.07,13.2,12.82,12.91,1301925.0
2016-12-23 21:30:00,NYSE:ZTO,12.94,12.9499,12.5,12.57,855289.0
2016-12-27 21:30:00,NYSE:ZTO,12.52,12.79,12.36,12.59,1817528.0
2016-12-28 21:30:00,NYSE:ZTO,12.7,12.76,12.09,12.31,2851496.0
2016-12-29 21:30:00,NYSE:ZTO,12.41,12.58,12.28,12.44,2447237.0
2016-12-30 21:30:00,NYSE:ZTO,12.5,12.55,12.01,12.07,3146519.0
2017-01-03 21:30:00,NYSE:ZTO,12.21,12.29,12.12,12.19,2293658.0
2017-01-04 21:30:00,NYSE:ZTO,12.16,12.5,12.12,12.27,1975320.0
2017-01-05 21:30:00,NYSE:ZTO,12.32,13.1,12.32,12.97,4092961.0
2017-01-06 21:30:00,NYSE:ZTO,13.04,13.54,13.02,13.34,2212558.0
2017-01-09 21:30:00,NYSE:ZTO,13.33,13.3462,12.9,13.0,1226968.0
2017-01-10 21:30:00,NYSE:ZTO,13.03,13.84,12.95,13.53,2196793.0
2017-01-11 21:30:00,NYSE:ZTO,13.54,13.8,13.23,13.65,1863293.0
2017-01-12 21:30:00,NYSE:ZTO,13.76,13.86,13.0,13.26,1287933.0
2017-01-13 21:30:00,NYSE:ZTO,13.11,13.1159,12.83,12.84,1436484.0
2017-01-17 21:30:00,NYSE:ZTO,12.89,13.41,12.82,12.92,2141142.0
2017-01-18 21:30:00,NYSE:ZTO,13.05,13.25,12.91,13.21,1589366.0
2017-01-19 21:30:00,NYSE:ZTO,13.26,13.6,12.9,13.57,3111991.0
2017-01-20 21:30:00,NYSE:ZTO,13.55,13.8,13.44,13.6,1878664.0
2017-01-23 21:30:00,NYSE:ZTO,13.74,13.9,13.4114,13.46,1110868.0
2017-01-24 21:30:00,NYSE:ZTO,13.66,13.75,13.15,13.29,1478691.0
2017-01-25 21:30:00,NYSE:ZTO,13.34,13.55,12.81,12.89,2424733.0
2017-01-26 21:30:00,NYSE:ZTO,13.0,13.06,12.18,12.31,2888690.0
2017-01-27 21:30:00,NYSE:ZTO,12.44,12.53,12.14,12.42,1199009.0
2017-01-30 21:30:00,NYSE:ZTO,12.34,12.4354,12.11,12.34,771988.0
2017-01-31 21:30:00,NYSE:ZTO,12.28,12.47,12.24,12.47,839950.0
2017-02-01 21:30:00,NYSE:ZTO,12.52,12.78,12.5,12.77,1099860.0
2017-02-02 21:30:00,NYSE:ZTO,12.66,12.81,12.5,12.53,1511336.0
2017-02-03 21:30:00,NYSE:ZTO,12.59,12.59,12.2,12.24,1238032.0
2017-02-06 21:30:00,NYSE:ZTO,12.3,12.57,12.28,12.39,1242510.0
2017-02-07 21:30:00,NYSE:ZTO,12.53,12.78,12.33,12.64,2289425.0
2017-02-08 21:30:00,NYSE:ZTO,12.66,12.66,12.49,12.58,1560391.0
2017-02-09 21:30:00,NYSE:ZTO,12.64,12.6464,12.22,12.26,1450730.0
2017-02-10 21:30:00,NYSE:ZTO,12.3,12.69,12.2,12.41,1727224.0
2017-02-13 21:30:00,NYSE:ZTO,12.38,13.15,12.35,13.04,2122569.0
2017-02-14 21:30:00,NYSE:ZTO,13.05,13.24,12.81,13.08,2195647.0
2017-02-15 21:30:00,NYSE:ZTO,13.3,14.4799,13.23,14.27,4378700.0
2017-02-16 21:30:00,NYSE:ZTO,14.27,14.4797,13.75,13.99,3269534.0
2017-02-17 21:30:00,NYSE:ZTO,13.9,14.03,13.81,14.01,834477.0
2017-02-21 21:30:00,NYSE:ZTO,14.55,14.7,14.05,14.23,2225750.0
2017-02-22 21:30:00,NYSE:ZTO,14.22,14.43,14.05,14.42,1574897.0
