datetime,symbol,open,high,low,close,volume
2022-01-11 09:00:00,SET:BCH,19.9,20.1,19.8,19.8,16430400.0
2022-01-12 09:00:00,SET:BCH,19.9,20.1,19.8,20.1,23396600.0
2022-01-13 09:00:00,SET:BCH,20.2,20.2,19.8,20.0,13456300.0
2022-01-14 09:00:00,SET:BCH,20.0,20.4,19.9,19.9,29349700.0
2022-01-17 09:00:00,SET:BCH,19.9,20.0,19.4,19.6,31404400.0
2022-01-18 09:00:00,SET:BCH,19.6,19.7,19.4,19.5,12360600.0
2022-01-19 09:00:00,SET:BCH,19.4,19.5,18.8,18.8,25870000.0
2022-01-20 09:00:00,SET:BCH,18.9,18.9,18.6,18.7,12073600.0
2022-01-21 09:00:00,SET:BCH,18.7,19.0,18.4,18.6,18422700.0
2022-01-24 09:00:00,SET:BCH,18.6,18.7,18.2,18.3,8979200.0
2022-01-25 09:00:00,SET:BCH,18.2,18.6,18.0,18.2,21615200.0
2022-01-26 09:00:00,SET:BCH,18.3,18.5,18.1,18.4,20289400.0
2022-01-27 09:00:00,SET:BCH,18.3,18.4,18.0,18.1,9730100.0
2022-01-28 09:00:00,SET:BCH,18.2,18.7,18.2,18.5,13783300.0
2022-01-31 09:00:00,SET:BCH,18.7,18.8,18.5,18.7,6651900.0
2022-02-01 09:00:00,SET:BCH,18.7,18.8,18.3,18.5,13499500.0
2022-02-02 09:00:00,SET:BCH,18.5,18.8,18.5,18.7,12045100.0
2022-02-03 09:00:00,SET:BCH,18.8,18.9,18.5,18.7,17144600.0
2022-02-04 09:00:00,SET:BCH,18.9,18.9,18.4,18.7,24089600.0
2022-02-07 09:00:00,SET:BCH,18.7,18.7,18.3,18.5,15606300.0
2022-02-08 09:00:00,SET:BCH,18.5,18.6,18.4,18.4,12910600.0
2022-02-09 09:00:00,SET:BCH,18.5,18.9,18.4,18.5,21233100.0
2022-02-10 09:00:00,SET:BCH,18.6,18.6,18.1,18.3,22683900.0
2022-02-11 09:00:00,SET:BCH,18.3,18.3,18.0,18.0,16457800.0
2022-02-14 09:00:00,SET:BCH,18.0,18.4,17.7,18.2,18612300.0
2022-02-15 09:00:00,SET:BCH,18.2,18.4,18.0,18.2,13012200.0
2022-02-17 09:00:00,SET:BCH,18.4,18.6,18.2,18.4,11911800.0
2022-02-18 09:00:00,SET:BCH,18.4,18.4,18.1,18.4,8899000.0
2022-02-21 09:00:00,SET:BCH,18.4,18.9,18.3,18.8,25233800.0
2022-02-22 09:00:00,SET:BCH,19.3,19.9,19.1,19.6,92619600.0
2022-02-23 09:00:00,SET:BCH,19.7,19.7,19.2,19.5,38495600.0
2022-02-24 09:00:00,SET:BCH,19.5,19.5,18.8,19.1,23973400.0
2022-02-25 09:00:00,SET:BCH,19.3,19.4,18.9,19.0,16918400.0
2022-02-28 09:00:00,SET:BCH,19.0,19.3,19.0,19.1,21760900.0
2022-03-01 09:00:00,SET:BCH,19.4,19.9,19.3,19.4,36246300.0
2022-03-02 09:00:00,SET:BCH,19.5,19.8,19.4,19.6,27525100.0
2022-03-03 09:00:00,SET:BCH,19.8,20.0,19.6,20.0,29217600.0
2022-03-04 09:00:00,SET:BCH,20.0,20.0,19.6,19.8,27165800.0
2022-03-07 09:00:00,SET:BCH,19.7,20.1,19.5,19.9,36439700.0
2022-03-08 09:00:00,SET:BCH,19.9,20.4,19.8,20.2,50981000.0
2022-03-09 09:00:00,SET:BCH,20.2,20.2,19.7,20.1,32524700.0
2022-03-10 09:00:00,SET:BCH,20.2,20.2,19.7,20.1,46135600.0
2022-03-11 09:00:00,SET:BCH,20.0,20.6,20.0,20.5,22968000.0
2022-03-14 09:00:00,SET:BCH,20.5,21.0,20.4,20.9,44295000.0
2022-03-15 09:00:00,SET:BCH,21.0,21.2,20.8,21.0,35638100.0
2022-03-16 09:00:00,SET:BCH,21.1,21.2,20.8,21.0,21343700.0
2022-03-17 09:00:00,SET:BCH,20.9,21.3,20.9,21.0,21164700.0
2022-03-18 09:00:00,SET:BCH,20.9,21.3,20.8,21.2,22128100.0
2022-03-21 09:00:00,SET:BCH,21.4,21.9,21.3,21.8,31991800.0
2022-03-22 09:00:00,SET:BCH,21.8,21.9,21.4,21.5,15422000.0
2022-03-23 09:00:00,SET:BCH,21.5,21.8,21.3,21.3,8311800.0
2022-03-24 09:00:00,SET:BCH,21.3,21.6,21.3,21.4,9585900.0
2022-03-25 09:00:00,SET:BCH,21.4,21.5,21.3,21.4,4318400.0
2022-03-28 09:00:00,SET:BCH,21.4,21.6,21.4,21.4,7603400.0
2022-03-29 09:00:00,SET:BCH,21.5,21.5,20.5,20.7,35032000.0
2022-03-30 09:00:00,SET:BCH,20.8,20.8,20.5,20.7,17817700.0
2022-03-31 09:00:00,SET:BCH,20.8,20.8,20.5,20.6,12262600.0
2022-04-01 09:00:00,SET:BCH,20.5,20.6,20.3,20.4,10781600.0
2022-04-04 09:00:00,SET:BCH,20.4,20.9,20.4,20.9,12593400.0
2022-04-05 09:00:00,SET:BCH,20.8,20.9,20.6,20.7,7974600.0
2022-04-07 09:00:00,SET:BCH,20.8,21.4,20.7,21.4,34137200.0
2022-04-08 09:00:00,SET:BCH,21.4,21.9,21.2,21.7,29618600.0
2022-04-11 09:00:00,SET:BCH,21.8,22.5,21.8,22.4,31543600.0
2022-04-12 09:00:00,SET:BCH,22.3,22.4,22.0,22.2,16326100.0
2022-04-18 09:00:00,SET:BCH,22.4,23.1,22.4,22.6,34120000.0
2022-04-19 09:00:00,SET:BCH,22.7,22.9,22.2,22.4,37058900.0
2022-04-20 09:00:00,SET:BCH,22.6,22.8,22.2,22.7,21299000.0
2022-04-21 09:00:00,SET:BCH,22.6,22.7,22.3,22.4,27731900.0
2022-04-22 09:00:00,SET:BCH,22.5,22.7,22.3,22.6,15466200.0
2022-04-25 09:00:00,SET:BCH,22.4,22.6,22.2,22.2,12508300.0
2022-04-26 09:00:00,SET:BCH,22.2,22.3,21.7,21.9,14993800.0
2022-04-27 09:00:00,SET:BCH,22.0,22.3,21.7,22.0,25057900.0
2022-04-28 09:00:00,SET:BCH,22.1,22.2,21.8,21.9,12730200.0
2022-04-29 09:00:00,SET:BCH,21.9,22.0,21.3,21.5,28218600.0
2022-05-03 09:00:00,SET:BCH,21.5,21.6,21.1,21.1,22363300.0
2022-05-05 09:00:00,SET:BCH,21.2,21.5,21.1,21.2,24583100.0
2022-05-06 09:00:00,SET:BCH,21.0,21.3,20.9,21.2,12735700.0
2022-05-09 09:00:00,SET:BCH,21.2,21.2,20.7,20.8,22244300.0
2022-05-10 09:00:00,SET:BCH,19.8,19.9,19.4,19.6,22277900.0
2022-05-11 09:00:00,SET:BCH,19.6,19.7,19.1,19.2,21483100.0
2022-05-12 09:00:00,SET:BCH,19.2,19.5,19.0,19.0,18880800.0
2022-05-13 09:00:00,SET:BCH,19.2,20.0,19.2,20.0,21121500.0
2022-05-17 09:00:00,SET:BCH,19.9,20.0,18.6,18.8,60290600.0
2022-05-18 09:00:00,SET:BCH,18.9,19.0,18.5,18.7,21954700.0
2022-05-19 09:00:00,SET:BCH,18.5,18.7,18.3,18.6,19168800.0
2022-05-20 09:00:00,SET:BCH,18.8,18.9,18.6,18.8,15357700.0
2022-05-23 09:00:00,SET:BCH,19.0,19.0,18.7,18.8,13248727.0
2022-05-24 09:00:00,SET:BCH,18.8,18.9,18.6,18.8,14556600.0
2022-05-25 09:00:00,SET:BCH,18.9,18.9,18.5,18.7,25425966.0
2022-05-26 09:00:00,SET:BCH,18.8,18.8,18.5,18.6,14084559.0
2022-05-27 09:00:00,SET:BCH,18.6,19.2,18.5,19.0,22765959.0
2022-05-30 09:00:00,SET:BCH,19.2,20.0,19.2,19.9,26335429.0
2022-05-31 09:00:00,SET:BCH,19.8,20.3,19.8,20.3,19310970.0
2022-06-01 09:00:00,SET:BCH,20.3,20.3,20.0,20.2,9409062.0
2022-06-02 09:00:00,SET:BCH,20.1,20.2,19.8,19.9,12326653.0
2022-06-06 09:00:00,SET:BCH,20.0,20.1,19.6,19.9,6851260.0
2022-06-07 09:00:00,SET:BCH,19.8,19.9,19.2,19.3,14637743.0
2022-06-08 09:00:00,SET:BCH,19.5,19.7,19.3,19.3,15168854.0
2022-06-09 09:00:00,SET:BCH,19.3,19.4,19.2,19.3,7785876.0
2022-06-10 09:00:00,SET:BCH,19.2,19.3,18.9,19.1,14301615.0
2022-06-13 09:00:00,SET:BCH,18.9,19.0,18.7,18.7,6206083.0
2022-06-14 09:00:00,SET:BCH,18.7,19.1,18.7,18.9,6544037.0
2022-06-15 09:00:00,SET:BCH,19.0,19.0,18.5,18.7,12990009.0
2022-06-16 09:00:00,SET:BCH,18.8,18.9,18.3,18.4,16710756.0
2022-06-17 09:00:00,SET:BCH,18.3,18.4,18.0,18.1,16339515.0
2022-06-20 09:00:00,SET:BCH,18.2,18.4,18.0,18.2,7479761.0
2022-06-21 09:00:00,SET:BCH,18.3,18.3,18.0,18.1,7329781.0
2022-06-22 09:00:00,SET:BCH,18.1,18.1,17.8,18.0,10699857.0
2022-06-23 09:00:00,SET:BCH,18.2,18.5,17.9,18.3,12173765.0
2022-06-24 09:00:00,SET:BCH,18.4,18.9,18.3,18.9,19637628.0
2022-06-27 09:00:00,SET:BCH,18.7,19.0,18.6,18.8,22355068.0
2022-06-28 09:00:00,SET:BCH,18.9,19.0,18.7,18.8,10079169.0
2022-06-29 09:00:00,SET:BCH,18.7,19.0,18.6,18.8,8007851.0
2022-06-30 09:00:00,SET:BCH,18.8,19.2,18.4,18.7,22369603.0
2022-07-01 09:00:00,SET:BCH,18.7,18.9,18.6,18.8,7717783.0
2022-07-04 09:00:00,SET:BCH,19.0,19.5,19.0,19.3,24410222.0
2022-07-05 09:00:00,SET:BCH,19.6,20.6,19.6,20.4,54172462.0
2022-07-06 09:00:00,SET:BCH,20.4,20.6,20.0,20.5,46111123.0
2022-07-07 09:00:00,SET:BCH,20.5,20.6,20.3,20.3,13540883.0
2022-07-08 09:00:00,SET:BCH,20.5,20.5,20.0,20.2,18415770.0
2022-07-11 09:00:00,SET:BCH,20.1,20.1,19.6,19.8,27126354.0
2022-07-12 09:00:00,SET:BCH,20.0,20.4,20.0,20.3,22684047.0
2022-07-14 09:00:00,SET:BCH,20.2,20.5,20.0,20.1,17016048.0
2022-07-15 09:00:00,SET:BCH,20.1,20.4,19.9,20.4,21359277.0
2022-07-18 09:00:00,SET:BCH,20.6,20.6,20.0,20.3,11474442.0
