datetime,symbol,open,high,low,close,volume
2022-01-11 09:00:00,SET:CPF,27.0,27.5,26.75,27.25,51532600.0
2022-01-12 09:00:00,SET:CPF,27.25,27.25,26.5,26.75,46067400.0
2022-01-13 09:00:00,SET:CPF,26.75,27.0,26.25,26.5,40405500.0
2022-01-14 09:00:00,SET:CPF,26.25,26.5,26.0,26.5,13698600.0
2022-01-17 09:00:00,SET:CPF,26.5,26.75,26.25,26.5,8349300.0
2022-01-18 09:00:00,SET:CPF,26.25,26.5,25.75,25.75,33377200.0
2022-01-19 09:00:00,SET:CPF,25.75,26.25,25.5,25.5,36676600.0
2022-01-20 09:00:00,SET:CPF,25.5,25.75,25.25,25.25,25719300.0
2022-01-21 09:00:00,SET:CPF,25.25,26.0,25.25,25.75,22070600.0
2022-01-24 09:00:00,SET:CPF,25.75,26.0,25.5,26.0,8801300.0
2022-01-25 09:00:00,SET:CPF,25.75,26.0,25.25,25.5,14706400.0
2022-01-26 09:00:00,SET:CPF,25.5,25.75,25.5,25.75,6443600.0
2022-01-27 09:00:00,SET:CPF,25.5,25.75,25.25,25.5,17615100.0
2022-01-28 09:00:00,SET:CPF,25.5,25.75,25.25,25.5,18580500.0
2022-01-31 09:00:00,SET:CPF,25.25,25.5,25.0,25.25,21631100.0
2022-02-01 09:00:00,SET:CPF,25.5,25.75,25.25,25.75,8929900.0
2022-02-02 09:00:00,SET:CPF,25.5,25.75,25.25,25.25,17600600.0
2022-02-03 09:00:00,SET:CPF,25.25,25.5,25.25,25.25,8749300.0
2022-02-04 09:00:00,SET:CPF,25.25,25.5,25.0,25.25,13233400.0
2022-02-07 09:00:00,SET:CPF,25.25,25.5,25.0,25.5,17992500.0
2022-02-08 09:00:00,SET:CPF,25.25,25.5,25.0,25.25,23562000.0
2022-02-09 09:00:00,SET:CPF,25.25,25.5,25.0,25.5,27513000.0
2022-02-10 09:00:00,SET:CPF,25.5,25.75,25.5,25.75,11803000.0
2022-02-11 09:00:00,SET:CPF,25.5,25.75,25.25,25.5,15524600.0
2022-02-14 09:00:00,SET:CPF,25.5,25.5,25.25,25.5,8894300.0
2022-02-15 09:00:00,SET:CPF,25.25,25.5,25.25,25.5,7897700.0
2022-02-17 09:00:00,SET:CPF,25.5,25.75,25.25,25.75,23431700.0
2022-02-18 09:00:00,SET:CPF,25.75,26.0,25.5,26.0,15347300.0
2022-02-21 09:00:00,SET:CPF,26.25,26.75,26.0,26.25,41696100.0
2022-02-22 09:00:00,SET:CPF,26.0,26.25,25.75,26.25,26475300.0
2022-02-23 09:00:00,SET:CPF,26.25,26.5,26.0,26.25,27095100.0
2022-02-24 09:00:00,SET:CPF,26.0,26.25,24.6,25.25,63277200.0
2022-02-25 09:00:00,SET:CPF,25.5,26.25,25.25,25.75,29487000.0
2022-02-28 09:00:00,SET:CPF,25.25,25.5,25.0,25.25,36619900.0
2022-03-01 09:00:00,SET:CPF,25.25,25.5,24.9,25.0,40049600.0
2022-03-02 09:00:00,SET:CPF,25.0,25.25,24.7,24.9,32981800.0
2022-03-03 09:00:00,SET:CPF,25.0,25.0,24.7,24.8,26457600.0
2022-03-04 09:00:00,SET:CPF,24.7,24.7,24.3,24.3,39748900.0
2022-03-07 09:00:00,SET:CPF,24.0,24.1,23.5,23.6,66432100.0
2022-03-08 09:00:00,SET:CPF,23.5,23.7,22.7,23.2,80816800.0
2022-03-09 09:00:00,SET:CPF,23.3,24.0,23.1,23.8,50169400.0
2022-03-10 09:00:00,SET:CPF,23.9,24.1,23.7,23.8,19297700.0
2022-03-11 09:00:00,SET:CPF,23.8,23.9,23.6,23.8,10460400.0
2022-03-14 09:00:00,SET:CPF,23.7,24.0,23.7,23.9,17759300.0
2022-03-15 09:00:00,SET:CPF,24.3,24.7,24.0,24.0,51426400.0
2022-03-16 09:00:00,SET:CPF,24.4,24.6,24.3,24.4,26083300.0
2022-03-17 09:00:00,SET:CPF,24.6,24.8,24.2,24.6,32744800.0
2022-03-18 09:00:00,SET:CPF,24.5,24.6,24.2,24.4,87377500.0
2022-03-21 09:00:00,SET:CPF,24.5,24.5,24.1,24.1,15794400.0
2022-03-22 09:00:00,SET:CPF,24.2,24.4,24.1,24.2,10547600.0
2022-03-23 09:00:00,SET:CPF,24.3,24.5,24.0,24.0,9607300.0
2022-03-24 09:00:00,SET:CPF,24.0,24.1,23.9,24.1,12096200.0
2022-03-25 09:00:00,SET:CPF,24.2,24.2,24.1,24.2,5393900.0
2022-03-28 09:00:00,SET:CPF,24.2,24.3,24.2,24.2,5977100.0
2022-03-29 09:00:00,SET:CPF,24.3,24.4,24.2,24.3,13307800.0
2022-03-30 09:00:00,SET:CPF,24.3,24.6,24.2,24.5,32265100.0
2022-03-31 09:00:00,SET:CPF,24.5,24.6,24.0,24.1,28898300.0
2022-04-01 09:00:00,SET:CPF,24.1,24.3,24.0,24.2,11849600.0
2022-04-04 09:00:00,SET:CPF,24.1,24.3,24.1,24.3,6203900.0
2022-04-05 09:00:00,SET:CPF,24.3,24.3,23.8,23.9,30765800.0
2022-04-07 09:00:00,SET:CPF,23.9,23.9,23.6,23.6,24449100.0
