datetime,symbol,open,high,low,close,volume
2022-01-11 09:00:00,SET:EPG,12.2,12.6,12.2,12.4,13735200.0
2022-01-12 09:00:00,SET:EPG,12.3,12.4,12.1,12.2,18108000.0
2022-01-13 09:00:00,SET:EPG,12.2,12.3,12.1,12.3,6622700.0
2022-01-14 09:00:00,SET:EPG,12.2,12.3,12.1,12.3,9229800.0
2022-01-17 09:00:00,SET:EPG,12.2,12.3,11.8,11.9,20313400.0
2022-01-18 09:00:00,SET:EPG,11.9,12.1,11.8,11.9,8250700.0
2022-01-19 09:00:00,SET:EPG,11.8,11.8,11.2,11.3,21915400.0
2022-01-20 09:00:00,SET:EPG,11.3,11.4,10.9,10.9,22797800.0
2022-01-21 09:00:00,SET:EPG,11.0,11.0,10.5,10.8,18843900.0
2022-01-24 09:00:00,SET:EPG,10.8,10.8,10.4,10.4,24230000.0
2022-01-25 09:00:00,SET:EPG,10.4,10.6,10.3,10.6,18893300.0
2022-01-26 09:00:00,SET:EPG,10.6,10.7,10.1,10.4,17787700.0
2022-01-27 09:00:00,SET:EPG,10.3,10.3,10.0,10.3,9328800.0
2022-01-28 09:00:00,SET:EPG,10.3,10.4,10.1,10.3,13163100.0
2022-01-31 09:00:00,SET:EPG,10.3,10.4,10.2,10.2,6533100.0
2022-02-01 09:00:00,SET:EPG,10.4,10.5,10.2,10.4,9501100.0
2022-02-02 09:00:00,SET:EPG,10.4,10.5,10.3,10.4,6337100.0
2022-02-03 09:00:00,SET:EPG,10.5,10.6,10.4,10.4,8072700.0
2022-02-04 09:00:00,SET:EPG,10.5,10.5,10.2,10.3,12256500.0
2022-02-07 09:00:00,SET:EPG,10.4,10.7,10.4,10.5,18036900.0
2022-02-08 09:00:00,SET:EPG,10.6,10.9,10.6,10.7,17219700.0
2022-02-09 09:00:00,SET:EPG,10.8,10.8,10.4,10.5,15993600.0
2022-02-10 09:00:00,SET:EPG,10.6,10.7,10.5,10.5,10801700.0
2022-02-11 09:00:00,SET:EPG,10.5,10.6,10.4,10.5,4437200.0
2022-02-14 09:00:00,SET:EPG,10.3,10.4,10.0,10.1,27333300.0
2022-02-15 09:00:00,SET:EPG,10.2,10.5,10.1,10.4,11951500.0
2022-02-17 09:00:00,SET:EPG,10.5,10.7,10.4,10.6,8127000.0
2022-02-18 09:00:00,SET:EPG,10.5,10.6,10.3,10.5,11202900.0
2022-02-21 09:00:00,SET:EPG,10.4,10.5,10.3,10.3,8933100.0
2022-02-22 09:00:00,SET:EPG,10.2,10.3,10.1,10.1,11198300.0
2022-02-23 09:00:00,SET:EPG,10.2,10.3,10.1,10.3,9302500.0
2022-02-24 09:00:00,SET:EPG,10.2,10.3,9.9,9.9,22639600.0
2022-02-25 09:00:00,SET:EPG,9.95,10.1,9.9,10.0,12515100.0
2022-02-28 09:00:00,SET:EPG,10.0,10.1,9.75,9.85,10626200.0
2022-03-01 09:00:00,SET:EPG,9.85,10.1,9.85,10.0,5515000.0
2022-03-02 09:00:00,SET:EPG,9.95,10.1,9.8,9.85,7019900.0
2022-03-03 09:00:00,SET:EPG,9.95,9.95,9.8,9.9,4090000.0
2022-03-04 09:00:00,SET:EPG,9.85,9.85,9.45,9.6,12345200.0
2022-03-07 09:00:00,SET:EPG,9.45,9.45,8.6,9.05,47351600.0
2022-03-08 09:00:00,SET:EPG,9.0,9.1,8.65,8.8,17040600.0
2022-03-09 09:00:00,SET:EPG,8.9,9.2,8.9,9.15,7581700.0
2022-03-10 09:00:00,SET:EPG,9.6,9.7,9.35,9.45,22325700.0
2022-03-11 09:00:00,SET:EPG,9.35,9.45,9.3,9.35,7535600.0
2022-03-14 09:00:00,SET:EPG,9.45,9.6,9.35,9.4,7325800.0
2022-03-15 09:00:00,SET:EPG,9.5,9.85,9.5,9.55,19477300.0
2022-03-16 09:00:00,SET:EPG,9.65,9.7,9.55,9.65,7786700.0
2022-03-17 09:00:00,SET:EPG,9.9,9.9,9.75,9.75,7864900.0
2022-03-18 09:00:00,SET:EPG,9.7,9.85,9.6,9.85,9595100.0
2022-03-21 09:00:00,SET:EPG,9.8,9.8,9.6,9.65,5780200.0
2022-03-22 09:00:00,SET:EPG,9.6,9.65,9.5,9.55,7715800.0
2022-03-23 09:00:00,SET:EPG,9.6,9.7,9.6,9.65,2208400.0
2022-03-24 09:00:00,SET:EPG,9.6,9.65,9.55,9.55,5813100.0
2022-03-25 09:00:00,SET:EPG,9.6,9.6,9.45,9.5,5873500.0
2022-03-28 09:00:00,SET:EPG,9.5,9.6,9.3,9.45,8235000.0
2022-03-29 09:00:00,SET:EPG,9.55,9.55,9.3,9.35,10254100.0
2022-03-30 09:00:00,SET:EPG,9.45,9.65,9.4,9.45,13714200.0
2022-03-31 09:00:00,SET:EPG,9.5,9.55,9.4,9.5,7234800.0
2022-04-01 09:00:00,SET:EPG,9.45,9.5,9.4,9.45,2180000.0
2022-04-04 09:00:00,SET:EPG,9.45,9.45,9.2,9.35,6395500.0
2022-04-05 09:00:00,SET:EPG,9.4,9.45,9.3,9.3,2210500.0
2022-04-07 09:00:00,SET:EPG,9.3,9.3,9.1,9.2,5864800.0
2022-04-08 09:00:00,SET:EPG,9.15,9.2,9.1,9.15,2715200.0
2022-04-11 09:00:00,SET:EPG,9.15,9.2,9.0,9.0,4036500.0
2022-04-12 09:00:00,SET:EPG,9.05,9.2,9.0,9.1,5532500.0
2022-04-18 09:00:00,SET:EPG,9.0,9.1,8.9,9.05,4661600.0
2022-04-19 09:00:00,SET:EPG,9.15,9.25,9.1,9.25,4753200.0
2022-04-20 09:00:00,SET:EPG,9.3,9.55,9.25,9.55,11654100.0
2022-04-21 09:00:00,SET:EPG,9.6,9.7,9.5,9.6,13107700.0
2022-04-22 09:00:00,SET:EPG,9.6,9.75,9.55,9.7,10253900.0
2022-04-25 09:00:00,SET:EPG,9.6,10.1,9.5,10.0,27504000.0
2022-04-26 09:00:00,SET:EPG,10.1,10.3,9.9,9.95,12739700.0
2022-04-27 09:00:00,SET:EPG,9.95,10.3,9.8,10.2,16247600.0
2022-04-28 09:00:00,SET:EPG,10.2,10.3,10.0,10.2,9364900.0
2022-04-29 09:00:00,SET:EPG,10.2,10.5,10.2,10.2,7217700.0
2022-05-03 09:00:00,SET:EPG,10.3,10.4,10.1,10.1,7957200.0
2022-05-05 09:00:00,SET:EPG,10.2,10.3,10.1,10.1,5220700.0
2022-05-06 09:00:00,SET:EPG,9.9,10.1,9.8,10.1,5883300.0
2022-05-09 09:00:00,SET:EPG,10.0,10.1,9.75,9.8,5531200.0
2022-05-10 09:00:00,SET:EPG,9.85,10.2,9.85,10.2,7071300.0
2022-05-11 09:00:00,SET:EPG,10.2,10.2,10.0,10.1,9308500.0
2022-05-12 09:00:00,SET:EPG,10.0,10.0,9.65,9.65,9999500.0
2022-05-13 09:00:00,SET:EPG,9.7,9.8,9.6,9.7,4515000.0
