datetime,symbol,open,high,low,close,volume
2021-12-27 09:00:00,SET:GULF,43.75,44.25,43.5,44.0,16312000.0
2021-12-28 09:00:00,SET:GULF,44.0,44.25,43.75,44.0,11614800.0
2021-12-29 09:00:00,SET:GULF,44.0,44.0,43.5,44.0,20332000.0
2021-12-30 09:00:00,SET:GULF,44.0,46.25,44.0,45.75,71017900.0
2022-01-04 09:00:00,SET:GULF,46.25,48.5,46.0,47.5,68966300.0
2022-01-05 09:00:00,SET:GULF,47.5,47.75,46.75,47.25,29551700.0
2022-01-06 09:00:00,SET:GULF,46.5,47.0,46.25,46.5,32391500.0
2022-01-07 09:00:00,SET:GULF,46.5,47.0,45.5,46.25,33306900.0
2022-01-10 09:00:00,SET:GULF,46.5,47.0,46.25,46.5,10467100.0
2022-01-11 09:00:00,SET:GULF,46.75,47.5,46.25,46.5,28056600.0
2022-01-12 09:00:00,SET:GULF,47.25,49.5,47.0,49.5,65169300.0
2022-01-13 09:00:00,SET:GULF,49.0,49.25,48.0,49.0,40009000.0
2022-01-14 09:00:00,SET:GULF,49.0,51.5,48.75,50.25,96399700.0
2022-01-17 09:00:00,SET:GULF,50.5,52.75,50.25,52.0,84748800.0
2022-01-18 09:00:00,SET:GULF,50.75,51.75,50.25,50.5,93181900.0
2022-01-19 09:00:00,SET:GULF,50.5,51.75,50.25,50.75,45433500.0
2022-01-20 09:00:00,SET:GULF,50.75,51.25,50.25,50.5,30015100.0
2022-01-21 09:00:00,SET:GULF,50.0,50.5,49.25,50.0,37335600.0
2022-01-24 09:00:00,SET:GULF,49.75,50.5,49.5,50.25,19207000.0
2022-01-25 09:00:00,SET:GULF,50.25,50.5,49.5,50.25,27160100.0
2022-01-26 09:00:00,SET:GULF,50.25,50.5,49.75,49.75,18206300.0
2022-01-27 09:00:00,SET:GULF,49.25,49.5,48.25,49.25,33125300.0
2022-01-28 09:00:00,SET:GULF,49.0,49.25,48.5,49.0,15740600.0
2022-01-31 09:00:00,SET:GULF,49.0,50.0,49.0,49.0,11637700.0
2022-02-01 09:00:00,SET:GULF,49.5,51.25,49.5,50.5,38479900.0
2022-02-02 09:00:00,SET:GULF,50.75,51.0,50.25,50.5,13441900.0
2022-02-03 09:00:00,SET:GULF,50.5,50.5,49.75,50.0,13251300.0
2022-02-04 09:00:00,SET:GULF,50.25,51.5,50.25,51.0,39890800.0
2022-02-07 09:00:00,SET:GULF,51.0,51.25,50.0,50.0,31662500.0
2022-02-08 09:00:00,SET:GULF,50.0,50.25,49.25,50.0,29779000.0
2022-02-09 09:00:00,SET:GULF,50.0,51.5,49.75,51.0,52213800.0
2022-02-10 09:00:00,SET:GULF,51.0,51.25,50.25,50.5,30100400.0
2022-02-11 09:00:00,SET:GULF,50.0,50.5,49.5,50.5,36614500.0
2022-02-14 09:00:00,SET:GULF,50.0,50.25,49.75,50.0,15627800.0
2022-02-15 09:00:00,SET:GULF,50.25,51.5,50.25,51.5,37451600.0
2022-02-17 09:00:00,SET:GULF,52.0,52.5,51.5,51.5,32443600.0
2022-02-18 09:00:00,SET:GULF,52.25,52.5,51.5,52.0,29474100.0
2022-02-21 09:00:00,SET:GULF,52.0,52.25,50.5,50.75,29974700.0
2022-02-22 09:00:00,SET:GULF,50.0,50.5,49.5,50.5,32112900.0
2022-02-23 09:00:00,SET:GULF,50.25,51.0,50.25,50.75,12423500.0
2022-02-24 09:00:00,SET:GULF,50.25,50.75,49.5,49.75,29313400.0
2022-02-25 09:00:00,SET:GULF,50.25,50.5,49.75,50.0,15325500.0
2022-02-28 09:00:00,SET:GULF,50.25,51.0,49.75,50.5,20522600.0
2022-03-01 09:00:00,SET:GULF,50.5,51.0,50.5,51.0,16695800.0
2022-03-02 09:00:00,SET:GULF,50.5,51.0,50.0,50.25,21155000.0
2022-03-03 09:00:00,SET:GULF,50.75,50.75,50.0,50.5,18887600.0
2022-03-04 09:00:00,SET:GULF,50.0,50.25,49.25,49.75,23294800.0
2022-03-07 09:00:00,SET:GULF,49.0,49.25,46.0,46.5,83517300.0
2022-03-08 09:00:00,SET:GULF,46.0,47.25,45.25,47.0,77215300.0
2022-03-09 09:00:00,SET:GULF,47.0,47.75,46.25,47.75,51717900.0
2022-03-10 09:00:00,SET:GULF,48.25,49.0,48.0,48.25,40240800.0
2022-03-11 09:00:00,SET:GULF,48.0,48.0,47.0,47.75,33759400.0
2022-03-14 09:00:00,SET:GULF,47.75,48.5,47.5,48.25,15976700.0
2022-03-15 09:00:00,SET:GULF,48.5,49.0,47.5,47.75,19539000.0
2022-03-16 09:00:00,SET:GULF,48.0,49.0,48.0,48.75,16363100.0
2022-03-17 09:00:00,SET:GULF,49.0,50.0,49.0,49.75,21028400.0
2022-03-18 09:00:00,SET:GULF,50.0,50.25,49.25,49.5,22969900.0
2022-03-21 09:00:00,SET:GULF,50.0,50.0,48.75,49.25,14552700.0
2022-03-22 09:00:00,SET:GULF,49.0,49.5,48.0,49.25,23080700.0
2022-03-23 09:00:00,SET:GULF,49.5,49.5,48.75,49.0,4409500.0
2022-03-24 09:00:00,SET:GULF,48.5,49.25,48.25,49.0,12038800.0
2022-03-25 09:00:00,SET:GULF,49.25,49.25,48.75,49.0,3880200.0
2022-03-28 09:00:00,SET:GULF,49.0,49.5,48.75,49.0,9618600.0
2022-03-29 09:00:00,SET:GULF,49.5,50.25,49.25,50.0,29306900.0
2022-03-30 09:00:00,SET:GULF,50.5,52.25,50.25,51.25,63001200.0
2022-03-31 09:00:00,SET:GULF,51.5,51.75,51.0,51.25,22599500.0
2022-04-01 09:00:00,SET:GULF,51.0,51.5,50.75,51.25,15943300.0
2022-04-04 09:00:00,SET:GULF,51.5,51.75,51.0,51.5,15195600.0
2022-04-05 09:00:00,SET:GULF,51.25,51.5,50.0,50.5,23613800.0
2022-04-07 09:00:00,SET:GULF,50.0,50.25,49.5,49.75,33179300.0
2022-04-08 09:00:00,SET:GULF,49.75,50.25,49.5,50.0,11914400.0
2022-04-11 09:00:00,SET:GULF,49.75,50.0,48.75,49.0,20164300.0
2022-04-12 09:00:00,SET:GULF,48.75,49.5,48.5,49.25,11718100.0
2022-04-18 09:00:00,SET:GULF,49.0,50.25,49.0,49.5,15669200.0
2022-04-19 09:00:00,SET:GULF,50.0,50.5,49.5,49.5,24544900.0
