datetime,symbol,open,high,low,close,volume
2022-01-11 09:00:00,SET:JMT,66.0,67.0,65.25,66.5,10275800.0
2022-01-12 09:00:00,SET:JMT,67.25,68.25,66.0,67.75,9676900.0
2022-01-13 09:00:00,SET:JMT,67.75,68.25,67.25,67.75,4005600.0
2022-01-14 09:00:00,SET:JMT,67.75,67.75,65.5,66.0,9327900.0
2022-01-17 09:00:00,SET:JMT,66.0,66.5,64.75,66.25,7985400.0
2022-01-18 09:00:00,SET:JMT,66.25,66.5,64.0,64.25,8591600.0
2022-01-19 09:00:00,SET:JMT,63.5,64.0,61.5,61.75,22583500.0
2022-01-20 09:00:00,SET:JMT,62.0,63.0,60.5,61.5,13874700.0
2022-01-21 09:00:00,SET:JMT,61.0,64.0,61.0,63.75,11494000.0
2022-01-24 09:00:00,SET:JMT,63.5,63.5,62.0,62.75,6893200.0
2022-01-25 09:00:00,SET:JMT,62.75,63.5,62.0,63.0,12210200.0
2022-01-26 09:00:00,SET:JMT,63.25,63.5,60.75,61.0,11560500.0
2022-01-27 09:00:00,SET:JMT,60.75,62.5,60.5,62.5,7801000.0
2022-01-28 09:00:00,SET:JMT,62.75,62.75,60.5,60.75,6918500.0
2022-01-31 09:00:00,SET:JMT,60.75,64.25,60.75,64.0,10833200.0
2022-02-01 09:00:00,SET:JMT,64.75,67.0,64.25,67.0,16345200.0
2022-02-02 09:00:00,SET:JMT,67.25,67.5,66.0,66.5,9257800.0
2022-02-03 09:00:00,SET:JMT,66.25,66.5,64.0,65.25,11147000.0
2022-02-04 09:00:00,SET:JMT,65.5,65.75,64.5,65.0,5966600.0
2022-02-07 09:00:00,SET:JMT,64.5,65.0,63.75,63.75,4276300.0
2022-02-08 09:00:00,SET:JMT,64.0,64.25,62.5,63.5,6210000.0
2022-02-09 09:00:00,SET:JMT,63.5,63.75,61.75,62.75,9639600.0
2022-02-10 09:00:00,SET:JMT,62.75,63.5,59.5,60.75,18422300.0
2022-02-11 09:00:00,SET:JMT,58.0,63.0,58.0,61.25,14298700.0
2022-02-14 09:00:00,SET:JMT,60.75,62.75,59.75,61.75,8568100.0
2022-02-15 09:00:00,SET:JMT,61.75,63.5,61.75,63.5,6379300.0
2022-02-17 09:00:00,SET:JMT,63.5,64.0,62.5,62.75,4708800.0
2022-02-18 09:00:00,SET:JMT,63.0,63.25,62.25,62.75,3282800.0
2022-02-21 09:00:00,SET:JMT,62.5,64.75,62.5,63.75,8806200.0
2022-02-22 09:00:00,SET:JMT,63.5,64.5,62.25,64.0,6224600.0
2022-02-23 09:00:00,SET:JMT,65.5,67.75,65.25,67.25,23295600.0
2022-02-24 09:00:00,SET:JMT,67.5,68.75,65.75,67.0,28287000.0
2022-02-25 09:00:00,SET:JMT,67.25,68.25,66.75,67.5,11214800.0
2022-02-28 09:00:00,SET:JMT,67.75,68.75,66.75,68.0,7143400.0
2022-03-01 09:00:00,SET:JMT,68.25,68.75,67.5,68.0,6517100.0
2022-03-02 09:00:00,SET:JMT,68.25,68.25,67.25,67.5,6043800.0
2022-03-03 09:00:00,SET:JMT,67.5,68.0,65.25,65.75,10942000.0
2022-03-04 09:00:00,SET:JMT,65.5,66.75,65.0,65.5,6800700.0
2022-03-07 09:00:00,SET:JMT,64.5,64.5,62.5,64.5,13498800.0
