datetime,symbol,open,high,low,close,volume
2022-01-11 09:00:00,SET:KCE,85.25,85.5,84.0,84.75,8616300.0
2022-01-12 09:00:00,SET:KCE,85.75,86.25,84.75,84.75,8623100.0
2022-01-13 09:00:00,SET:KCE,85.0,85.25,84.25,84.25,6552100.0
2022-01-14 09:00:00,SET:KCE,83.75,84.0,81.5,82.0,18165400.0
2022-01-17 09:00:00,SET:KCE,82.25,83.25,81.75,82.0,7893500.0
2022-01-18 09:00:00,SET:KCE,82.25,82.25,79.25,79.75,18469600.0
2022-01-19 09:00:00,SET:KCE,78.25,78.25,76.25,76.5,27025900.0
2022-01-20 09:00:00,SET:KCE,77.25,77.75,75.5,75.75,16017900.0
2022-01-21 09:00:00,SET:KCE,74.75,76.25,74.25,75.0,12018800.0
2022-01-24 09:00:00,SET:KCE,75.0,75.5,73.25,73.5,11918600.0
2022-01-25 09:00:00,SET:KCE,73.0,75.25,73.0,74.75,15579700.0
2022-01-26 09:00:00,SET:KCE,76.0,76.75,75.0,76.25,23906300.0
2022-01-27 09:00:00,SET:KCE,74.0,75.0,73.25,75.0,16122400.0
2022-01-28 09:00:00,SET:KCE,75.0,75.0,70.5,70.5,28162000.0
2022-01-31 09:00:00,SET:KCE,72.25,72.5,71.5,71.75,11218800.0
2022-02-01 09:00:00,SET:KCE,73.25,75.25,73.0,74.0,20341400.0
2022-02-02 09:00:00,SET:KCE,75.5,75.5,73.5,74.75,13922800.0
2022-02-03 09:00:00,SET:KCE,74.25,74.5,72.25,73.25,12913900.0
2022-02-04 09:00:00,SET:KCE,72.75,73.5,72.25,72.75,10035800.0
2022-02-07 09:00:00,SET:KCE,73.25,73.25,71.75,72.25,6368300.0
2022-02-08 09:00:00,SET:KCE,72.5,73.5,72.5,73.25,7994100.0
2022-02-09 09:00:00,SET:KCE,72.0,73.25,64.25,64.75,90740100.0
2022-02-10 09:00:00,SET:KCE,63.25,64.5,61.5,62.0,57102400.0
2022-02-11 09:00:00,SET:KCE,62.25,62.75,59.5,59.75,46689900.0
2022-02-14 09:00:00,SET:KCE,58.5,59.75,57.5,59.0,37388400.0
2022-02-15 09:00:00,SET:KCE,60.0,62.0,59.25,61.75,34657900.0
2022-02-17 09:00:00,SET:KCE,62.5,62.5,61.25,62.0,21909500.0
2022-02-18 09:00:00,SET:KCE,61.0,63.25,61.0,62.75,21572200.0
2022-02-21 09:00:00,SET:KCE,63.0,63.0,61.25,62.5,12059800.0
2022-02-22 09:00:00,SET:KCE,61.25,62.0,60.75,62.0,11660800.0
2022-02-23 09:00:00,SET:KCE,61.75,63.0,61.75,62.5,10057600.0
2022-02-24 09:00:00,SET:KCE,62.0,62.0,59.75,60.5,16557400.0
2022-02-25 09:00:00,SET:KCE,61.25,62.0,61.0,61.5,10693100.0
2022-02-28 09:00:00,SET:KCE,60.0,61.0,58.25,60.5,24460400.0
2022-03-01 09:00:00,SET:KCE,61.0,61.5,60.25,60.75,7267100.0
2022-03-02 09:00:00,SET:KCE,60.5,60.75,58.25,58.25,21573800.0
2022-03-03 09:00:00,SET:KCE,58.25,59.5,54.5,58.5,34058100.0
2022-03-04 09:00:00,SET:KCE,58.5,60.5,58.25,58.5,20263300.0
2022-03-07 09:00:00,SET:KCE,56.5,57.0,55.25,55.75,18529700.0
2022-03-08 09:00:00,SET:KCE,55.25,56.75,53.5,54.75,24815100.0
2022-03-09 09:00:00,SET:KCE,55.0,58.0,54.75,56.75,25697800.0
2022-03-10 09:00:00,SET:KCE,58.5,60.5,58.0,58.25,23656000.0
