datetime,symbol,open,high,low,close,volume
2022-01-11 09:00:00,SET:LH,8.65,8.75,8.65,8.75,21415200.0
2022-01-12 09:00:00,SET:LH,8.75,8.85,8.75,8.8,21672900.0
2022-01-13 09:00:00,SET:LH,8.8,8.8,8.75,8.75,7383800.0
2022-01-14 09:00:00,SET:LH,8.8,9.0,8.8,8.95,66451800.0
2022-01-17 09:00:00,SET:LH,8.95,9.0,8.85,8.9,35073900.0
2022-01-18 09:00:00,SET:LH,8.9,8.95,8.75,8.8,37976500.0
2022-01-19 09:00:00,SET:LH,8.8,8.95,8.8,8.9,30995300.0
2022-01-20 09:00:00,SET:LH,8.95,9.3,8.9,9.25,115593000.0
2022-01-21 09:00:00,SET:LH,9.2,9.3,9.15,9.15,67942200.0
2022-01-24 09:00:00,SET:LH,9.15,9.25,9.15,9.15,51324000.0
2022-01-25 09:00:00,SET:LH,9.15,9.25,9.05,9.25,47254200.0
2022-01-26 09:00:00,SET:LH,9.3,9.4,9.25,9.35,65542800.0
2022-01-27 09:00:00,SET:LH,9.4,9.45,9.2,9.4,102253300.0
2022-01-28 09:00:00,SET:LH,9.5,9.9,9.5,9.9,192840100.0
2022-01-31 09:00:00,SET:LH,9.9,9.9,9.7,9.8,54593000.0
2022-02-01 09:00:00,SET:LH,9.8,9.8,9.6,9.7,39136700.0
2022-02-02 09:00:00,SET:LH,9.7,9.75,9.55,9.75,36588200.0
2022-02-03 09:00:00,SET:LH,9.8,9.8,9.65,9.75,42087400.0
2022-02-04 09:00:00,SET:LH,9.7,9.75,9.6,9.65,48216000.0
2022-02-07 09:00:00,SET:LH,9.7,9.75,9.55,9.7,58728200.0
2022-02-08 09:00:00,SET:LH,9.7,9.8,9.6,9.7,62081500.0
2022-02-09 09:00:00,SET:LH,9.75,9.85,9.75,9.85,60810000.0
2022-02-10 09:00:00,SET:LH,9.8,9.9,9.7,9.85,66525500.0
2022-02-11 09:00:00,SET:LH,9.8,9.85,9.65,9.7,72199100.0
2022-02-14 09:00:00,SET:LH,9.7,9.75,9.6,9.65,35621700.0
2022-02-15 09:00:00,SET:LH,9.7,9.85,9.65,9.75,49732600.0
2022-02-17 09:00:00,SET:LH,9.75,9.9,9.7,9.75,53112800.0
2022-02-18 09:00:00,SET:LH,9.75,9.85,9.7,9.8,36980500.0
2022-02-21 09:00:00,SET:LH,9.8,9.8,9.6,9.65,46125500.0
2022-02-22 09:00:00,SET:LH,9.6,9.65,9.4,9.45,63500800.0
2022-02-23 09:00:00,SET:LH,9.4,9.6,9.4,9.55,43829700.0
2022-02-24 09:00:00,SET:LH,9.5,9.55,9.25,9.4,94650800.0
2022-02-25 09:00:00,SET:LH,9.4,9.6,9.4,9.6,56128900.0
2022-02-28 09:00:00,SET:LH,9.5,9.65,9.4,9.6,53685400.0
2022-03-01 09:00:00,SET:LH,9.65,9.7,9.55,9.6,71167500.0
2022-03-02 09:00:00,SET:LH,9.6,9.7,9.6,9.65,36262800.0
2022-03-03 09:00:00,SET:LH,9.65,9.75,9.55,9.55,50256000.0
2022-03-04 09:00:00,SET:LH,9.55,9.65,9.5,9.5,54821000.0
2022-03-07 09:00:00,SET:LH,9.35,9.45,9.2,9.3,81626500.0
2022-03-08 09:00:00,SET:LH,9.2,9.3,8.9,9.15,99189900.0
2022-03-09 09:00:00,SET:LH,9.2,9.35,9.1,9.3,56576600.0
2022-03-10 09:00:00,SET:LH,9.35,9.4,9.2,9.25,41005300.0
2022-03-11 09:00:00,SET:LH,9.25,9.3,9.15,9.25,44274700.0
2022-03-14 09:00:00,SET:LH,9.2,9.2,9.05,9.05,52520500.0
2022-03-15 09:00:00,SET:LH,9.05,9.15,9.0,9.1,40116500.0
2022-03-16 09:00:00,SET:LH,9.15,9.25,9.1,9.2,34930000.0
2022-03-17 09:00:00,SET:LH,9.2,9.35,9.2,9.3,49222500.0
2022-03-18 09:00:00,SET:LH,9.35,9.55,9.25,9.55,111966500.0
2022-03-21 09:00:00,SET:LH,9.55,9.6,9.2,9.25,64559900.0
2022-03-22 09:00:00,SET:LH,9.3,9.4,9.2,9.3,24521500.0
2022-03-23 09:00:00,SET:LH,9.4,9.45,9.35,9.35,18164000.0
2022-03-24 09:00:00,SET:LH,9.35,9.4,9.3,9.35,13044800.0
2022-03-25 09:00:00,SET:LH,9.35,9.45,9.3,9.35,27980100.0
2022-03-28 09:00:00,SET:LH,9.35,9.5,9.35,9.4,28318500.0
2022-03-29 09:00:00,SET:LH,9.45,9.5,9.4,9.45,18043700.0
2022-03-30 09:00:00,SET:LH,9.5,9.6,9.45,9.55,31202400.0
2022-03-31 09:00:00,SET:LH,9.6,9.6,9.45,9.5,22890400.0
2022-04-01 09:00:00,SET:LH,9.45,9.5,9.45,9.45,11653600.0
2022-04-04 09:00:00,SET:LH,9.5,9.5,9.4,9.5,18272900.0
2022-04-05 09:00:00,SET:LH,9.5,9.5,9.4,9.45,22614200.0
2022-04-07 09:00:00,SET:LH,9.45,9.45,9.3,9.35,44859500.0
2022-04-08 09:00:00,SET:LH,9.3,9.45,9.3,9.4,20240700.0
2022-04-11 09:00:00,SET:LH,9.4,9.5,9.35,9.4,25192300.0
2022-04-12 09:00:00,SET:LH,9.35,9.45,9.35,9.4,23041600.0
2022-04-18 09:00:00,SET:LH,9.4,9.55,9.3,9.3,36769900.0
2022-04-19 09:00:00,SET:LH,9.3,9.45,9.3,9.3,25993700.0
