datetime,symbol,open,high,low,close,volume
2022-01-11 09:00:00,SET:MAJOR,19.3,19.5,18.9,19.1,4645400.0
2022-01-12 09:00:00,SET:MAJOR,19.4,19.5,19.2,19.3,2664800.0
2022-01-13 09:00:00,SET:MAJOR,19.3,19.6,19.2,19.2,2159300.0
2022-01-14 09:00:00,SET:MAJOR,19.2,19.4,19.2,19.2,1309100.0
2022-01-17 09:00:00,SET:MAJOR,19.4,19.9,19.3,19.8,4932100.0
2022-01-18 09:00:00,SET:MAJOR,19.9,19.9,19.5,19.5,3218200.0
2022-01-19 09:00:00,SET:MAJOR,19.5,19.8,19.5,19.7,1812100.0
2022-01-20 09:00:00,SET:MAJOR,19.9,20.1,19.7,19.8,2896600.0
2022-01-21 09:00:00,SET:MAJOR,19.6,19.8,19.5,19.6,2517400.0
2022-01-24 09:00:00,SET:MAJOR,19.6,19.6,19.2,19.4,2395400.0
2022-01-25 09:00:00,SET:MAJOR,19.3,19.5,18.9,19.2,2970800.0
2022-01-26 09:00:00,SET:MAJOR,19.3,19.5,19.1,19.1,2223700.0
2022-01-27 09:00:00,SET:MAJOR,19.1,19.1,18.6,18.9,2299000.0
2022-01-28 09:00:00,SET:MAJOR,18.9,19.0,18.6,18.7,2656300.0
2022-01-31 09:00:00,SET:MAJOR,18.8,19.2,18.8,19.1,1242900.0
2022-02-01 09:00:00,SET:MAJOR,19.1,20.3,19.1,19.8,15555300.0
2022-02-02 09:00:00,SET:MAJOR,20.1,20.5,20.0,20.4,14987800.0
2022-02-03 09:00:00,SET:MAJOR,20.3,20.4,20.1,20.2,4193500.0
2022-02-04 09:00:00,SET:MAJOR,20.4,20.6,20.1,20.1,5223400.0
2022-02-07 09:00:00,SET:MAJOR,20.2,20.8,20.2,20.5,4568200.0
2022-02-08 09:00:00,SET:MAJOR,20.6,20.7,20.2,20.3,6689100.0
2022-02-09 09:00:00,SET:MAJOR,20.4,20.5,20.1,20.1,3773000.0
2022-02-10 09:00:00,SET:MAJOR,20.2,21.1,20.2,20.5,8764400.0
2022-02-11 09:00:00,SET:MAJOR,20.3,20.6,20.2,20.3,2484500.0
2022-02-14 09:00:00,SET:MAJOR,20.3,20.4,20.1,20.4,2018100.0
2022-02-15 09:00:00,SET:MAJOR,20.4,20.5,20.1,20.3,2583500.0
2022-02-17 09:00:00,SET:MAJOR,20.3,20.7,19.9,20.2,5119000.0
2022-02-18 09:00:00,SET:MAJOR,21.2,22.0,20.8,20.8,14136400.0
