datetime,symbol,open,high,low,close,volume
2014-11-26 09:00:00,SET:MTC,9.5,11.9,8.6,11.9,1204126000.0
2014-11-27 09:00:00,SET:MTC,11.6,12.8,11.3,12.0,672459500.0
2014-11-28 09:00:00,SET:MTC,12.2,12.6,11.7,11.7,233913300.0
2014-12-01 09:00:00,SET:MTC,12.0,12.3,11.8,11.9,133392000.0
2014-12-02 09:00:00,SET:MTC,12.0,12.1,11.4,11.5,80042400.0
2014-12-03 09:00:00,SET:MTC,11.6,12.1,11.4,12.0,99232200.0
2014-12-04 09:00:00,SET:MTC,12.0,12.1,11.6,11.6,67495400.0
2014-12-08 09:00:00,SET:MTC,11.5,12.0,11.0,11.7,49135900.0
2014-12-09 09:00:00,SET:MTC,11.8,12.2,11.6,12.0,51534500.0
2014-12-11 09:00:00,SET:MTC,11.9,12.1,11.2,11.8,48638200.0
2014-12-12 09:00:00,SET:MTC,11.9,12.6,11.4,12.4,83605100.0
2014-12-15 09:00:00,SET:MTC,12.0,12.2,9.0,11.6,73769300.0
2014-12-16 09:00:00,SET:MTC,11.3,12.0,10.8,11.8,37771900.0
2014-12-17 09:00:00,SET:MTC,11.8,11.9,11.6,11.7,19094700.0
2014-12-18 09:00:00,SET:MTC,11.9,12.2,11.7,12.1,31014200.0
2014-12-19 09:00:00,SET:MTC,12.1,12.2,11.8,11.9,14551600.0
2014-12-22 09:00:00,SET:MTC,11.9,12.9,11.8,12.6,49971800.0
2014-12-23 09:00:00,SET:MTC,12.7,12.8,12.3,12.6,22923500.0
2014-12-24 09:00:00,SET:MTC,12.6,12.7,12.0,12.4,20890700.0
2014-12-25 09:00:00,SET:MTC,12.3,12.3,11.8,11.9,13367300.0
2014-12-26 09:00:00,SET:MTC,12.0,12.2,11.9,12.1,3662800.0
2014-12-29 09:00:00,SET:MTC,12.0,12.1,11.9,12.0,3283000.0
2014-12-30 09:00:00,SET:MTC,12.0,12.3,11.7,12.2,7649700.0
2015-01-05 09:00:00,SET:MTC,12.2,12.2,12.0,12.0,2090700.0
2015-01-06 09:00:00,SET:MTC,11.9,12.5,11.9,12.4,17457200.0
2015-01-07 09:00:00,SET:MTC,12.4,12.7,12.3,12.5,10926800.0
2015-01-08 09:00:00,SET:MTC,12.5,12.7,12.5,12.6,11753300.0
2015-01-09 09:00:00,SET:MTC,12.7,14.0,12.7,14.0,82570500.0
2015-01-12 09:00:00,SET:MTC,13.9,14.2,13.6,14.0,35211500.0
2015-01-13 09:00:00,SET:MTC,13.9,14.3,13.7,14.3,25726000.0
2015-01-14 09:00:00,SET:MTC,14.4,14.5,13.9,14.0,29501200.0
2015-01-15 09:00:00,SET:MTC,14.1,15.2,13.9,14.9,51877700.0
2015-01-16 09:00:00,SET:MTC,14.7,15.0,14.6,14.9,27810100.0
2015-01-19 09:00:00,SET:MTC,14.9,15.0,14.2,14.7,24963400.0
2015-01-20 09:00:00,SET:MTC,14.7,14.9,14.4,14.6,13212900.0
2015-01-21 09:00:00,SET:MTC,14.8,15.3,14.8,15.0,32318200.0
2015-01-22 09:00:00,SET:MTC,15.2,16.0,15.0,15.9,40824500.0
2015-01-23 09:00:00,SET:MTC,15.9,16.4,15.9,16.0,27092500.0
2015-01-26 09:00:00,SET:MTC,16.1,16.8,15.9,16.7,32364900.0
2015-01-27 09:00:00,SET:MTC,16.8,18.3,16.7,17.9,51656900.0
2015-01-28 09:00:00,SET:MTC,18.1,18.4,17.2,18.1,38560700.0
2015-01-29 09:00:00,SET:MTC,17.9,18.0,17.7,18.0,12452100.0
2015-01-30 09:00:00,SET:MTC,18.0,18.4,17.8,18.3,18608700.0
2015-02-02 09:00:00,SET:MTC,18.1,19.1,18.0,19.1,24728100.0
