datetime,symbol,open,high,low,close,volume
2021-02-10 09:00:00,SET:OR,18.0,18.0,18.0,18.0,0.0
2021-02-11 09:00:00,SET:OR,26.5,29.5,22.1,29.25,1818125500.0
2021-02-15 09:00:00,SET:OR,30.75,36.5,30.5,34.0,1149682700.0
2021-02-16 09:00:00,SET:OR,35.0,35.0,32.0,32.75,479377100.0
2021-02-17 09:00:00,SET:OR,31.5,32.5,29.5,29.5,338385400.0
2021-02-18 09:00:00,SET:OR,30.25,31.5,29.75,30.25,280945100.0
2021-02-19 09:00:00,SET:OR,31.0,31.5,30.0,31.5,221276300.0
2021-02-22 09:00:00,SET:OR,32.25,32.5,31.25,31.75,175380100.0
2021-02-23 09:00:00,SET:OR,32.0,32.25,30.75,31.0,184256000.0
2021-02-24 09:00:00,SET:OR,30.75,31.25,30.0,30.75,156591000.0
2021-02-25 09:00:00,SET:OR,31.0,31.5,29.5,29.5,436978200.0
2021-03-01 09:00:00,SET:OR,29.25,30.0,28.5,28.75,138645300.0
2021-03-02 09:00:00,SET:OR,29.0,29.75,28.75,29.25,96852000.0
2021-03-03 09:00:00,SET:OR,29.5,30.0,29.0,29.75,107158800.0
2021-03-04 09:00:00,SET:OR,29.5,29.75,29.25,29.75,79489200.0
2021-03-05 09:00:00,SET:OR,29.75,31.25,29.75,30.25,183251300.0
2021-03-08 09:00:00,SET:OR,30.5,30.75,29.5,29.75,113311000.0
2021-03-09 09:00:00,SET:OR,29.75,30.25,29.5,29.75,64545400.0
2021-03-10 09:00:00,SET:OR,29.5,30.5,29.5,30.5,130051100.0
2021-03-11 09:00:00,SET:OR,31.0,31.0,30.0,30.25,74421600.0
2021-03-12 09:00:00,SET:OR,30.0,30.25,29.5,30.25,90126700.0
2021-03-15 09:00:00,SET:OR,30.0,30.25,29.75,30.0,44782100.0
2021-03-16 09:00:00,SET:OR,30.0,30.25,29.75,29.75,27863800.0
2021-03-17 09:00:00,SET:OR,30.0,33.0,29.75,33.0,379372800.0
2021-03-18 09:00:00,SET:OR,33.25,33.5,32.25,33.0,143643000.0
2021-03-19 09:00:00,SET:OR,32.5,33.0,31.5,32.0,138127800.0
2021-03-22 09:00:00,SET:OR,31.75,32.0,30.75,31.75,111719700.0
2021-03-23 09:00:00,SET:OR,32.75,33.0,31.75,32.25,143290300.0
2021-03-24 09:00:00,SET:OR,32.0,33.0,31.75,33.0,151559700.0
2021-03-25 09:00:00,SET:OR,33.0,33.5,32.0,32.0,152526000.0
2021-03-26 09:00:00,SET:OR,32.25,32.75,31.75,32.75,75549200.0
2021-03-29 09:00:00,SET:OR,32.75,33.0,32.25,32.75,42527400.0
2021-03-30 09:00:00,SET:OR,32.75,32.75,32.0,32.5,58296300.0
2021-03-31 09:00:00,SET:OR,32.5,32.75,32.0,32.25,52500600.0
2021-04-01 09:00:00,SET:OR,32.25,32.75,32.25,32.25,44728300.0
2021-04-02 09:00:00,SET:OR,32.25,32.75,32.0,32.25,46369600.0
2021-04-05 09:00:00,SET:OR,32.25,32.5,31.5,31.75,43836000.0
2021-04-07 09:00:00,SET:OR,31.5,31.75,31.0,31.25,52073600.0
2021-04-08 09:00:00,SET:OR,31.25,31.75,31.0,31.5,43692900.0
2021-04-09 09:00:00,SET:OR,31.5,31.75,30.75,31.0,53156300.0
2021-04-12 09:00:00,SET:OR,30.75,30.75,30.25,30.25,33425700.0
2021-04-16 09:00:00,SET:OR,30.5,30.5,29.75,30.5,62477200.0
2021-04-19 09:00:00,SET:OR,30.5,31.0,30.25,30.75,36415100.0
2021-04-20 09:00:00,SET:OR,30.5,30.75,30.0,30.25,47373500.0
2021-04-21 09:00:00,SET:OR,30.0,30.5,30.0,30.25,16878000.0
2021-04-22 09:00:00,SET:OR,30.25,30.5,30.0,30.0,33233000.0
2021-04-23 09:00:00,SET:OR,30.0,30.25,29.75,30.0,28225200.0
2021-04-26 09:00:00,SET:OR,30.0,30.0,29.5,29.5,38268900.0
2021-04-27 09:00:00,SET:OR,29.5,30.0,29.25,29.75,44864200.0
2021-04-28 09:00:00,SET:OR,30.0,30.25,29.75,30.0,34751200.0
2021-04-29 09:00:00,SET:OR,30.0,30.75,30.0,30.75,49083000.0
2021-04-30 09:00:00,SET:OR,30.75,30.75,30.0,30.5,27832400.0
2021-05-05 09:00:00,SET:OR,30.25,30.25,29.5,29.5,58179900.0
2021-05-06 09:00:00,SET:OR,29.75,30.0,29.5,29.75,28525900.0
2021-05-07 09:00:00,SET:OR,29.75,30.0,29.5,29.75,24411000.0
2021-05-10 09:00:00,SET:OR,29.75,30.0,29.0,29.25,55446100.0
2021-05-11 09:00:00,SET:OR,29.25,29.5,28.75,29.0,46240000.0
2021-05-12 09:00:00,SET:OR,29.5,29.75,28.5,28.5,69385600.0
2021-05-13 09:00:00,SET:OR,28.0,28.75,27.5,28.5,69097200.0
2021-05-14 09:00:00,SET:OR,28.75,29.0,28.25,28.5,36635000.0
2021-05-17 09:00:00,SET:OR,28.25,28.75,28.0,28.25,35807700.0
2021-05-18 09:00:00,SET:OR,28.5,29.25,28.5,29.25,37234400.0
2021-05-19 09:00:00,SET:OR,29.0,29.5,29.0,29.25,25068700.0
2021-05-20 09:00:00,SET:OR,29.5,29.75,29.0,29.25,38446900.0
2021-05-21 09:00:00,SET:OR,29.5,29.5,29.0,29.5,25516500.0
2021-05-24 09:00:00,SET:OR,29.75,30.25,29.5,29.75,41397300.0
2021-05-25 09:00:00,SET:OR,30.0,30.25,29.75,30.0,23760600.0
2021-05-27 09:00:00,SET:OR,30.0,30.75,29.75,30.0,85248300.0
2021-05-28 09:00:00,SET:OR,30.25,30.75,30.0,30.25,43238300.0
2021-05-31 09:00:00,SET:OR,30.25,30.25,30.0,30.0,17945100.0
2021-06-01 09:00:00,SET:OR,30.25,32.0,30.0,32.0,139797700.0
2021-06-02 09:00:00,SET:OR,31.75,32.0,31.0,31.25,79986400.0
2021-06-04 09:00:00,SET:OR,31.25,31.5,31.0,31.25,25454200.0
2021-06-07 09:00:00,SET:OR,31.25,32.0,31.0,31.0,74439700.0
2021-06-08 09:00:00,SET:OR,31.0,31.25,30.0,30.0,56885600.0
2021-06-09 09:00:00,SET:OR,30.25,30.75,30.0,30.75,49612000.0
2021-06-10 09:00:00,SET:OR,31.0,31.25,30.25,30.25,44326800.0
2021-06-11 09:00:00,SET:OR,30.5,31.25,30.25,31.0,46296300.0
2021-06-14 09:00:00,SET:OR,31.25,31.25,30.5,31.25,44898200.0
2021-06-15 09:00:00,SET:OR,31.25,31.5,30.75,31.0,38978300.0
2021-06-16 09:00:00,SET:OR,31.0,31.5,30.75,31.25,54634200.0
2021-06-17 09:00:00,SET:OR,31.0,31.25,30.75,31.0,20793200.0
2021-06-18 09:00:00,SET:OR,31.0,31.25,30.75,31.25,131493400.0
2021-06-21 09:00:00,SET:OR,31.0,31.0,30.5,30.75,28457400.0
2021-06-22 09:00:00,SET:OR,31.0,31.25,30.5,30.75,23329500.0
2021-06-23 09:00:00,SET:OR,31.0,31.0,30.5,30.5,21214800.0
2021-06-24 09:00:00,SET:OR,30.5,30.5,30.0,30.25,29902000.0
2021-06-25 09:00:00,SET:OR,30.25,30.75,30.0,30.5,13936700.0
2021-06-28 09:00:00,SET:OR,30.25,30.5,29.75,30.0,24971500.0
2021-06-29 09:00:00,SET:OR,30.0,30.25,29.75,30.25,12295400.0
2021-06-30 09:00:00,SET:OR,30.25,30.75,30.25,30.5,24175000.0
2021-07-01 09:00:00,SET:OR,30.5,30.75,30.0,30.25,22246700.0
2021-07-02 09:00:00,SET:OR,30.25,30.5,29.75,30.0,27853900.0
2021-07-05 09:00:00,SET:OR,30.0,30.25,29.75,29.75,13209500.0
2021-07-06 09:00:00,SET:OR,30.0,30.25,29.75,30.0,13238200.0
2021-07-07 09:00:00,SET:OR,29.75,30.0,29.5,29.75,15771400.0
2021-07-08 09:00:00,SET:OR,29.5,29.75,29.0,29.0,30391500.0
2021-07-09 09:00:00,SET:OR,29.0,29.5,28.75,29.0,15189800.0
2021-07-12 09:00:00,SET:OR,29.25,29.5,28.75,29.0,20450500.0
2021-07-13 09:00:00,SET:OR,29.0,29.5,28.75,29.0,21329500.0
2021-07-14 09:00:00,SET:OR,29.25,29.25,28.75,29.0,16542500.0
2021-07-15 09:00:00,SET:OR,29.25,29.25,28.75,28.75,19211500.0
2021-07-16 09:00:00,SET:OR,28.75,29.25,28.5,28.75,16343500.0
2021-07-19 09:00:00,SET:OR,28.5,29.0,28.25,28.75,19979900.0
2021-07-20 09:00:00,SET:OR,28.5,28.75,28.25,28.5,24421800.0
2021-07-21 09:00:00,SET:OR,28.5,28.75,28.25,28.5,9912800.0
2021-07-22 09:00:00,SET:OR,28.75,29.0,28.25,28.5,20003200.0
2021-07-23 09:00:00,SET:OR,28.25,28.5,28.0,28.5,13511500.0
2021-07-27 09:00:00,SET:OR,28.5,28.75,28.25,28.75,18569100.0
2021-07-29 09:00:00,SET:OR,28.75,28.75,28.0,28.25,21719700.0
2021-07-30 09:00:00,SET:OR,28.0,28.25,27.5,27.75,29540700.0
2021-08-02 09:00:00,SET:OR,27.75,28.0,27.5,28.0,12234900.0
2021-08-03 09:00:00,SET:OR,27.75,28.75,27.75,28.5,17835500.0
2021-08-04 09:00:00,SET:OR,28.5,28.75,28.0,28.0,24269400.0
2021-08-05 09:00:00,SET:OR,28.25,28.25,27.75,28.0,15140800.0
2021-08-06 09:00:00,SET:OR,28.0,28.25,27.5,27.5,14291200.0
2021-08-09 09:00:00,SET:OR,27.75,28.5,27.5,28.25,19133100.0
2021-08-10 09:00:00,SET:OR,28.0,28.5,28.0,28.0,12317800.0
2021-08-11 09:00:00,SET:OR,28.5,28.5,28.0,28.25,11527000.0
2021-08-13 09:00:00,SET:OR,28.25,28.25,27.5,28.0,13875500.0
2021-08-16 09:00:00,SET:OR,28.0,28.25,27.5,28.0,18170700.0
2021-08-17 09:00:00,SET:OR,28.25,28.75,28.0,28.25,27542600.0
