datetime,symbol,open,high,low,close,volume
2018-10-29 09:00:00,SET:PR9,11.6,11.6,11.6,11.6,0.0
2018-10-30 09:00:00,SET:PR9,11.7,12.3,11.5,11.6,158168500.0
2018-10-31 09:00:00,SET:PR9,11.8,12.1,11.7,11.8,69722600.0
2018-11-01 09:00:00,SET:PR9,11.9,12.6,11.9,12.4,105114800.0
2018-11-02 09:00:00,SET:PR9,12.5,12.6,12.3,12.3,36237800.0
2018-11-05 09:00:00,SET:PR9,12.2,12.4,12.1,12.2,19584900.0
2018-11-06 09:00:00,SET:PR9,12.3,12.8,12.3,12.6,27620000.0
2018-11-07 09:00:00,SET:PR9,12.5,12.6,12.1,12.3,18959900.0
2018-11-08 09:00:00,SET:PR9,12.4,12.4,12.2,12.2,6246500.0
2018-11-09 09:00:00,SET:PR9,12.2,12.2,11.9,11.9,10529500.0
2018-11-12 09:00:00,SET:PR9,12.0,12.2,11.9,11.9,7530300.0
2018-11-13 09:00:00,SET:PR9,11.9,12.1,11.8,12.0,6427200.0
2018-11-14 09:00:00,SET:PR9,12.0,12.1,11.7,11.7,10921900.0
2018-11-15 09:00:00,SET:PR9,11.7,11.9,11.7,11.8,5014900.0
2018-11-16 09:00:00,SET:PR9,11.7,11.8,11.5,11.6,9792200.0
2018-11-19 09:00:00,SET:PR9,11.6,11.7,11.6,11.6,1187600.0
2018-11-20 09:00:00,SET:PR9,11.6,11.6,11.5,11.6,2738800.0
2018-11-21 09:00:00,SET:PR9,11.6,11.8,11.5,11.7,2686200.0
2018-11-22 09:00:00,SET:PR9,11.7,12.0,11.6,11.6,5236400.0
2018-11-23 09:00:00,SET:PR9,11.6,11.9,11.6,11.6,2326000.0
2018-11-26 09:00:00,SET:PR9,11.7,11.7,11.5,11.6,1680200.0
2018-11-27 09:00:00,SET:PR9,11.7,11.7,11.6,11.6,758000.0
2018-11-28 09:00:00,SET:PR9,11.6,11.9,11.6,11.7,3885100.0
2018-11-29 09:00:00,SET:PR9,11.7,11.8,11.6,11.6,3078500.0
2018-11-30 09:00:00,SET:PR9,11.6,11.7,11.5,11.5,1141800.0
2018-12-03 09:00:00,SET:PR9,11.6,11.6,11.5,11.5,1631300.0
2018-12-04 09:00:00,SET:PR9,11.6,12.0,11.6,11.9,12683600.0
2018-12-06 09:00:00,SET:PR9,11.7,11.8,11.7,11.8,2489700.0
2018-12-07 09:00:00,SET:PR9,11.7,11.9,11.7,11.8,1796300.0
2018-12-11 09:00:00,SET:PR9,11.8,12.1,11.8,12.0,8896200.0
2018-12-12 09:00:00,SET:PR9,12.0,12.3,12.0,12.1,7124200.0
2018-12-13 09:00:00,SET:PR9,12.1,12.2,11.9,12.0,3999900.0
2018-12-14 09:00:00,SET:PR9,11.9,12.0,11.8,11.8,2002900.0
