datetime,symbol,open,high,low,close,volume
2022-01-11 09:00:00,SET:RCL,53.75,54.25,53.0,54.0,6817200.0
2022-01-12 09:00:00,SET:RCL,53.5,54.0,52.5,53.0,6846100.0
2022-01-13 09:00:00,SET:RCL,53.25,54.25,53.0,53.25,4207300.0
2022-01-14 09:00:00,SET:RCL,53.25,53.75,50.25,50.5,11700500.0
2022-01-17 09:00:00,SET:RCL,49.5,50.0,47.75,48.0,12867300.0
2022-01-18 09:00:00,SET:RCL,48.0,49.5,47.75,49.25,6604200.0
2022-01-19 09:00:00,SET:RCL,49.5,49.5,46.25,47.0,10663200.0
2022-01-20 09:00:00,SET:RCL,47.25,47.25,45.0,45.0,7165700.0
2022-01-21 09:00:00,SET:RCL,44.0,45.75,42.5,43.0,11366200.0
2022-01-24 09:00:00,SET:RCL,42.75,42.75,39.75,39.75,13557000.0
2022-01-25 09:00:00,SET:RCL,40.25,41.75,37.75,38.75,21237700.0
2022-01-26 09:00:00,SET:RCL,39.5,40.5,39.25,40.0,10201300.0
2022-01-27 09:00:00,SET:RCL,40.25,40.25,38.75,39.25,6274500.0
2022-01-28 09:00:00,SET:RCL,40.0,40.5,39.75,39.75,3718900.0
2022-01-31 09:00:00,SET:RCL,41.0,42.75,41.0,42.0,9357900.0
2022-02-01 09:00:00,SET:RCL,43.0,43.5,42.25,43.25,6445300.0
2022-02-02 09:00:00,SET:RCL,43.25,43.5,42.25,42.75,3589600.0
2022-02-03 09:00:00,SET:RCL,42.25,43.25,42.25,42.5,2755700.0
2022-02-04 09:00:00,SET:RCL,42.75,42.75,42.0,42.25,2310900.0
2022-02-07 09:00:00,SET:RCL,42.25,43.75,42.25,43.25,4857100.0
2022-02-08 09:00:00,SET:RCL,43.0,43.75,43.0,43.5,3630100.0
2022-02-09 09:00:00,SET:RCL,44.5,44.5,43.5,43.75,5428400.0
2022-02-10 09:00:00,SET:RCL,44.25,46.0,44.25,45.5,9003700.0
2022-02-11 09:00:00,SET:RCL,46.0,46.25,43.5,43.5,8978100.0
2022-02-14 09:00:00,SET:RCL,43.25,43.5,40.5,41.25,8416700.0
2022-02-15 09:00:00,SET:RCL,42.25,42.75,41.5,42.25,2969500.0
2022-02-17 09:00:00,SET:RCL,43.0,44.5,42.75,43.5,5160800.0
2022-02-18 09:00:00,SET:RCL,44.0,44.0,43.25,43.75,3384300.0
2022-02-21 09:00:00,SET:RCL,44.25,44.75,43.75,43.75,5417800.0
2022-02-22 09:00:00,SET:RCL,43.5,44.75,43.25,44.5,5810700.0
2022-02-23 09:00:00,SET:RCL,45.25,47.0,44.75,47.0,13560300.0
2022-02-24 09:00:00,SET:RCL,47.0,47.25,43.75,44.0,13772800.0
2022-02-25 09:00:00,SET:RCL,44.75,49.0,44.75,47.75,30329900.0
2022-02-28 09:00:00,SET:RCL,48.5,49.25,47.0,47.25,14053100.0
2022-03-01 09:00:00,SET:RCL,47.75,48.25,47.5,48.0,5990900.0
2022-03-02 09:00:00,SET:RCL,48.0,49.0,47.5,49.0,8287400.0
2022-03-03 09:00:00,SET:RCL,49.5,49.75,49.0,49.25,7693200.0
2022-03-04 09:00:00,SET:RCL,49.25,52.0,48.5,50.5,20749100.0
2022-03-07 09:00:00,SET:RCL,49.75,51.0,48.75,49.25,13497400.0
2022-03-08 09:00:00,SET:RCL,49.5,50.25,46.5,48.0,19249700.0
2022-03-09 09:00:00,SET:RCL,48.75,48.75,47.0,48.75,9529500.0
2022-03-10 09:00:00,SET:RCL,49.25,50.5,49.0,49.25,7154100.0
2022-03-11 09:00:00,SET:RCL,49.25,50.5,49.25,50.0,10326300.0
2022-03-14 09:00:00,SET:RCL,50.5,51.5,50.25,51.0,11499600.0
2022-03-15 09:00:00,SET:RCL,51.0,51.5,50.0,50.0,7155800.0
2022-03-16 09:00:00,SET:RCL,50.5,51.5,50.5,51.0,5645500.0
2022-03-17 09:00:00,SET:RCL,51.5,52.25,50.75,51.25,8638400.0
2022-03-18 09:00:00,SET:RCL,51.25,51.5,50.25,50.5,6197500.0
2022-03-21 09:00:00,SET:RCL,51.0,51.75,50.5,51.25,8090600.0
2022-03-22 09:00:00,SET:RCL,51.0,51.25,50.0,50.5,11270500.0
2022-03-23 09:00:00,SET:RCL,47.75,47.75,47.25,47.5,4635800.0
2022-03-24 09:00:00,SET:RCL,47.0,47.25,45.0,45.5,14597900.0
2022-03-25 09:00:00,SET:RCL,45.5,45.5,43.5,43.75,11519800.0
2022-03-28 09:00:00,SET:RCL,43.25,43.5,41.0,42.0,14495400.0
2022-03-29 09:00:00,SET:RCL,42.25,43.5,42.25,43.0,5852700.0
2022-03-30 09:00:00,SET:RCL,43.0,44.75,43.0,43.5,7781800.0
2022-03-31 09:00:00,SET:RCL,43.5,44.25,43.25,43.5,3696100.0
2022-04-01 09:00:00,SET:RCL,43.5,44.25,43.25,44.0,5985200.0
2022-04-04 09:00:00,SET:RCL,43.75,44.0,43.25,43.25,2756500.0
2022-04-05 09:00:00,SET:RCL,43.25,43.5,41.5,42.25,8818700.0
2022-04-07 09:00:00,SET:RCL,41.5,42.0,40.25,40.75,8462000.0
2022-04-08 09:00:00,SET:RCL,41.25,42.75,41.25,42.25,7281900.0
2022-04-11 09:00:00,SET:RCL,42.25,42.75,41.75,42.0,4055500.0
2022-04-12 09:00:00,SET:RCL,42.0,42.75,41.5,42.5,3742700.0
2022-04-18 09:00:00,SET:RCL,42.75,43.5,42.75,43.0,3747200.0
2022-04-19 09:00:00,SET:RCL,43.5,44.75,43.25,44.5,7638400.0
2022-04-20 09:00:00,SET:RCL,44.75,45.0,44.25,44.5,2542300.0
2022-04-21 09:00:00,SET:RCL,44.75,45.0,44.25,44.5,3418600.0
2022-04-22 09:00:00,SET:RCL,44.75,45.75,44.25,45.25,7377100.0
