datetime,symbol,open,high,low,close,volume
2004-12-03 09:00:00,SET:TIPH,6.6,6.6,6.56,6.6,175750.0
2004-12-07 09:00:00,SET:TIPH,6.6,6.6,6.52,6.56,157500.0
2004-12-08 09:00:00,SET:TIPH,6.56,6.56,6.44,6.52,242250.0
2004-12-09 09:00:00,SET:TIPH,6.6,6.6,6.6,6.6,1250.0
2004-12-14 09:00:00,SET:TIPH,6.48,6.56,6.48,6.56,30000.0
2004-12-15 09:00:00,SET:TIPH,6.56,6.56,6.52,6.52,108750.0
2004-12-16 09:00:00,SET:TIPH,6.56,6.56,6.56,6.56,25000.0
2004-12-17 09:00:00,SET:TIPH,6.56,6.6,6.48,6.52,91500.0
2004-12-20 09:00:00,SET:TIPH,6.52,6.6,6.52,6.6,21000.0
2004-12-21 09:00:00,SET:TIPH,6.6,6.64,6.6,6.64,4750.0
2004-12-22 09:00:00,SET:TIPH,6.6,6.68,6.52,6.52,34000.0
2004-12-23 09:00:00,SET:TIPH,6.6,6.6,6.56,6.6,71000.0
2004-12-24 09:00:00,SET:TIPH,6.56,6.56,6.52,6.52,125000.0
2004-12-27 09:00:00,SET:TIPH,6.48,6.52,6.48,6.48,93500.0
2004-12-28 09:00:00,SET:TIPH,6.48,6.48,6.44,6.48,102500.0
2004-12-29 09:00:00,SET:TIPH,6.48,6.48,6.36,6.4,216250.0
2004-12-30 09:00:00,SET:TIPH,6.4,6.44,6.4,6.44,55250.0
2005-01-04 09:00:00,SET:TIPH,6.36,6.44,6.36,6.44,27500.0
2005-01-05 09:00:00,SET:TIPH,6.4,6.4,6.4,6.4,30000.0
2005-01-06 09:00:00,SET:TIPH,6.44,6.56,6.44,6.56,23250.0
2005-01-07 09:00:00,SET:TIPH,6.52,6.52,6.52,6.52,27750.0
2005-01-10 09:00:00,SET:TIPH,6.48,6.56,6.48,6.56,82500.0
2005-01-11 09:00:00,SET:TIPH,6.56,6.56,6.52,6.52,21750.0
2005-01-12 09:00:00,SET:TIPH,6.48,6.48,6.48,6.48,12500.0
2005-01-13 09:00:00,SET:TIPH,6.52,6.52,6.52,6.52,5000.0
2005-01-14 09:00:00,SET:TIPH,6.56,6.56,6.56,6.56,36250.0
2005-01-17 09:00:00,SET:TIPH,6.56,6.56,6.4,6.4,289000.0
2005-01-18 09:00:00,SET:TIPH,6.4,6.44,6.36,6.4,199750.0
2005-01-19 09:00:00,SET:TIPH,6.4,6.44,6.4,6.4,132500.0
