datetime,symbol,open,high,low,close,volume
2022-01-11 09:00:00,SET:TQM,47.0,47.25,46.75,46.75,3577200.0
2022-01-12 09:00:00,SET:TQM,47.0,49.375,47.0,49.0,7119800.0
2022-01-13 09:00:00,SET:TQM,49.75,50.25,49.0,49.0,2203500.0
2022-01-14 09:00:00,SET:TQM,49.25,49.5,48.25,48.25,1351800.0
2022-01-17 09:00:00,SET:TQM,48.5,49.0,48.0,48.5,1076300.0
2022-01-18 09:00:00,SET:TQM,48.75,49.0,47.0,47.25,1305800.0
2022-01-19 09:00:00,SET:TQM,47.25,47.75,46.5,47.0,873000.0
2022-01-20 09:00:00,SET:TQM,47.0,47.75,47.0,47.75,822500.0
2022-01-21 09:00:00,SET:TQM,47.75,48.25,47.25,47.5,798900.0
2022-01-24 09:00:00,SET:TQM,47.75,48.0,46.25,46.75,552500.0
2022-01-25 09:00:00,SET:TQM,46.75,48.0,44.75,47.5,4928000.0
2022-01-26 09:00:00,SET:TQM,47.75,48.0,46.0,46.5,1018200.0
2022-01-27 09:00:00,SET:TQM,46.0,46.0,44.5,45.25,2107900.0
2022-01-28 09:00:00,SET:TQM,45.25,46.75,45.25,46.0,800400.0
2022-01-31 09:00:00,SET:TQM,46.25,49.0,46.25,48.25,1386000.0
2022-02-01 09:00:00,SET:TQM,47.75,48.75,47.25,47.5,1397000.0
2022-02-02 09:00:00,SET:TQM,47.5,47.5,46.5,47.0,1220900.0
2022-02-03 09:00:00,SET:TQM,47.0,48.0,46.75,46.75,776800.0
2022-02-04 09:00:00,SET:TQM,47.0,47.75,46.5,46.75,1032800.0
2022-02-07 09:00:00,SET:TQM,47.0,47.25,45.75,46.5,2218500.0
2022-02-08 09:00:00,SET:TQM,46.75,47.0,45.75,46.25,1591600.0
2022-02-09 09:00:00,SET:TQM,46.5,47.5,46.5,47.0,2339800.0
2022-02-10 09:00:00,SET:TQM,47.0,47.25,46.25,46.25,694100.0
2022-02-11 09:00:00,SET:TQM,46.5,47.0,46.0,46.25,2686800.0
2022-02-14 09:00:00,SET:TQM,46.5,46.75,45.25,46.0,1560100.0
