tp,max_hold,sl,stocks_passing,total_trades,win_rate,rrr,expectancy,tp_rate,sl_rate,max_hold_rate,max_hold_return,avg_hold_days,max_hold_days,hold_over_7_pct,score
3.5,5,1.0,10,2988,61.47925033467202,1.91691231525203,0.7932958243366732,0.3681392235609103,38.52074966532798,0.0,0,1.0284471218206157,3,0.0,8
3.5,5,1.2,10,2988,62.14859437751004,1.5948723370951878,0.7352120200746036,0.3681392235609103,37.851405622489956,0.0,0,1.0468540829986612,4,0.0,8
3.5,6,1.0,10,2986,61.520428667113194,1.91691231525203,0.794496960186865,0.3683858004018754,38.479571332886806,0.0,0,1.0284661754855995,3,0.0,8
3.5,6,1.2,10,2986,62.19022103148024,1.5948723370951876,0.736508210309081,0.3683858004018754,37.80977896851976,0.0,0,1.0468854655056932,4,0.0,8
3.5,7,1.0,10,2984,61.52815013404825,1.9169083468775874,0.794719746939427,0.3686327077747989,38.47184986595174,0.0,0,1.028485254691689,3,0.0,8
3.5,7,1.2,10,2984,62.19839142091153,1.5948676893553282,0.7367591547359877,0.3686327077747989,37.801608579088466,0.0,0,1.0469168900804289,4,0.0,8
4.0,5,1.0,10,2988,61.47925033467202,1.9192224308265915,0.794716066073778,0.33467202141900937,38.52074966532798,0.0,0,1.0287817938420347,3,0.0,8
4.0,5,1.2,10,2988,62.14859437751004,1.596776700006007,0.7366322618117086,0.33467202141900937,37.851405622489956,0.0,0,1.0471887550200802,4,0.0,8
4.0,6,1.0,10,2986,61.520428667113194,1.9192224308265915,0.795918153191041,0.33489618218352313,38.479571332886806,0.0,0,1.028801071667783,3,0.0,8
4.0,6,1.2,10,2986,62.19022103148024,1.5967767000060067,0.737929403313257,0.33489618218352313,37.80977896851976,0.0,0,1.0472203616878768,4,0.0,8
4.0,7,1.0,10,2984,61.52815013404825,1.9192197206850323,0.796141892485831,0.3351206434316354,38.47184986595174,0.0,0,1.0288203753351206,3,0.0,8
4.0,7,1.2,10,2984,62.19839142091153,1.5967730783237502,0.7381813002823916,0.3351206434316354,37.801608579088466,0.0,0,1.0472520107238605,4,0.0,8
4.5,5,1.0,10,2988,61.47925033467202,1.9198762687935598,0.7951180407542738,0.2677376171352075,38.52074966532798,0.0,0,1.0294511378848727,3,0.0,8
4.5,5,1.2,10,2988,62.14859437751004,1.597315696750452,0.7370342364922043,0.2677376171352075,37.851405622489956,0.0,0,1.0478580990629183,4,0.0,8
4.5,6,1.0,10,2986,61.520428667113194,1.9198762687935598,0.7963203971111082,0.26791694574681846,38.479571332886806,0.0,0,1.02947086403215,3,0.0,8
4.5,6,1.2,10,2986,62.19022103148024,1.5973156967504518,0.7383316472333243,0.26791694574681846,37.80977896851976,0.0,0,1.0478901540522438,4,0.0,8
4.5,7,1.0,10,2984,61.52815013404825,1.9198739147728978,0.796544406006381,0.2680965147453083,38.47184986595174,0.0,0,1.029490616621984,3,0.0,8
4.5,7,1.2,10,2984,62.19839142091153,1.5973123654759238,0.7385838138029416,0.2680965147453083,37.801608579088466,0.0,0,1.0479222520107239,4,0.0,8
