symbol,exchange,total,correct,accuracy,test_date_from,test_date_to,avg_win,avg_loss,risk_reward,production_mode,skipped_low_volume,group
AAPL,NASDAQ,610,351,57.5,2016-03-10,2026-02-18,1.70108,1.3603,1.25,False,0,GROUP_B_US
MSFT,NASDAQ,30,21,70.0,2016-03-10,2026-02-18,1.5861,1.75212,0.91,False,0,GROUP_B_US
AMZN,NASDAQ,83,50,60.2,2016-03-10,2026-02-18,1.85332,1.695,1.09,False,0,GROUP_B_US
GOOGL,NASDAQ,427,230,53.9,2016-03-10,2026-02-18,1.71647,1.46896,1.17,False,0,GROUP_B_US
GOOG,NASDAQ,106,70,66.0,2020-03-06,2026-02-18,1.73588,1.76294,0.98,False,0,GROUP_B_US
META,NASDAQ,160,107,66.9,2019-04-04,2026-02-18,1.86189,1.82712,1.02,False,0,GROUP_B_US
TSLA,NASDAQ,345,244,70.7,2018-04-23,2026-02-18,1.86391,1.99653,0.93,False,0,GROUP_B_US
NVDA,NASDAQ,100,65,65.0,2016-03-10,2026-02-18,1.48215,1.95603,0.76,False,0,GROUP_B_US
AVGO,NASDAQ,417,250,60.0,2017-11-08,2026-02-18,1.94786,1.76151,1.11,False,0,GROUP_B_US
PEP,NASDAQ,93,44,47.3,2016-03-10,2026-02-18,1.64725,1.32333,1.24,False,0,GROUP_B_US
COST,NASDAQ,88,47,53.4,2016-03-10,2026-02-18,1.48402,1.42145,1.04,False,0,GROUP_B_US
CSCO,NASDAQ,80,52,65.0,2016-03-10,2026-02-18,2.02197,1.64083,1.23,False,0,GROUP_B_US
TMUS,NASDAQ,83,40,48.2,2016-09-15,2026-02-18,1.79025,1.55822,1.15,False,0,GROUP_B_US
ADBE,NASDAQ,457,272,59.5,2016-03-10,2026-02-18,1.74627,1.50547,1.16,False,0,GROUP_B_US
TXN,NASDAQ,60,40,66.7,2016-03-10,2026-02-18,1.92054,1.80624,1.06,False,0,GROUP_B_US
CMCSA,NASDAQ,456,242,53.1,2016-03-10,2026-02-18,1.64447,1.40666,1.17,False,0,GROUP_B_US
NFLX,NASDAQ,72,39,54.2,2016-03-10,2026-02-18,1.70509,1.92947,0.88,False,0,GROUP_B_US
AMD,NASDAQ,157,117,74.5,2016-03-10,2026-02-18,1.5198,1.99304,0.76,False,0,GROUP_B_US
