symbol,Country,Tier,Prob%,RR_Ratio,Expectancy,Composite_Score,AvgWin%,AvgLoss%,Count,Position_Size_Pct,Stop_Loss_Pct,Take_Profit_Pct
PTTEP,TH,ELITE,75.0,4.21,2.79,142.1,4.04,0.96,40,3.0,1.44,3.232
BYD,TH,ELITE,68.6,1.25,2.2106199999999996,74.5462,5.09,4.08,490,0.6455381537387512,6.12,4.072
DOHOME,TH,ELITE,69.7,3.44,1.79557,114.63570000000001,2.95,0.86,66,1.4661123549834412,1.29,2.3600000000000003
THG,TH,ELITE,68.8,1.05,0.9955999999999998,58.47599999999999,2.54,2.41,336,0.24492680509794904,3.615,2.032
SUPER,TH,GOOD,62.3,1.67,1.6108099999999999,74.4281,4.05,2.42,53,0.5707192576473492,3.63,3.24
TQM,TH,GOOD,64.2,1.41,0.8297200000000002,62.177200000000006,2.14,1.52,318,0.25577576461573825,2.2800000000000002,1.7120000000000002
BGRIM,TH,GOOD,64.8,1.38,0.8133599999999999,61.6536,2.07,1.5,349,0.2476912101754654,2.25,1.656
AP,TH,GOOD,61.2,1.31,0.8101200000000001,58.781200000000005,2.56,1.95,67,0.22117995433300136,2.925,2.048
BCH,TH,GOOD,62.1,1.69,0.7799400000000001,66.4394,1.97,1.17,438,0.27874891855030265,1.755,1.576
THANI,TH,GOOD,63.7,1.3,0.7642300000000001,59.1223,2.14,1.65,80,0.21551651657173995,2.4749999999999996,1.7120000000000002
NEX,TH,GOOD,62.3,1.03,0.73979,52.9179,2.9,2.83,950,0.16166180372725802,4.245,2.32
JMART,TH,GOOD,62.2,1.15,0.7285200000000001,55.165200000000006,2.49,2.17,148,0.17746119275662148,3.255,1.9920000000000002
SINGER,TH,GOOD,62.2,1.02,0.7156399999999998,52.4364,2.84,2.78,241,0.15461757433657694,4.17,2.272
GFPT,TH,GOOD,63.5,1.52,0.6969000000000001,62.769,1.77,1.17,353,0.229066441907389,1.755,1.4160000000000001
CPF,TH,GOOD,67.8,1.57,0.6729599999999998,65.2496,1.42,0.9,740,0.24394520695732125,1.35,1.136
SPRC,TH,GOOD,60.2,1.35,0.6675999999999999,57.756,2.18,1.62,93,0.18476524404260208,2.43,1.7440000000000002
TPIPP,TH,GOOD,68.8,2.32,0.6595999999999999,80.516,1.19,0.51,215,0.35853434338790546,0.765,0.952
BTS,TH,GOOD,64.6,1.57,0.6356199999999999,63.5962,1.51,0.96,2630,0.2195348219889493,1.44,1.2080000000000002
CBG,TH,GOOD,60.4,1.42,0.6271599999999998,58.8316,1.93,1.36,280,0.18317969293115036,2.04,1.544
OR,TH,GOOD,63.3,1.35,0.61368,58.4568,1.7,1.26,638,0.1785883564477818,1.8900000000000001,1.36
MDLZ,US,GOOD,65.2,1.36,0.6108400000000002,59.388400000000004,1.54,1.13,23,0.18445382467073623,1.6949999999999998,1.2320000000000002
CK,TH,GOOD,62.8,1.32,0.5991200000000001,57.5112,1.73,1.31,247,0.16913016974433634,1.965,1.3840000000000001
TKS,TH,GOOD,60.7,1.3,0.5984299999999999,56.2643,1.97,1.52,346,0.1608122367804936,2.2800000000000002,1.576
BCP,TH,GOOD,60.9,1.35,0.5888,57.248,1.84,1.36,302,0.16485136771128647,2.04,1.4720000000000002
HMPRO,TH,GOOD,63.0,1.38,0.5877000000000002,58.677,1.62,1.17,1874,0.1739999080530228,1.755,1.2960000000000003
SNNP,TH,GOOD,66.7,1.58,0.5873700000000001,64.1537,1.29,0.82,21,0.2107989164559549,1.23,1.032
BJC,TH,GOOD,61.5,1.43,0.5827499999999999,59.0275,1.68,1.17,1802,0.17452881005286947,1.755,1.344
TTB,TH,GOOD,63.9,1.32,0.5819799999999999,57.77980000000001,1.6,1.22,202,0.16716930687303652,1.83,1.2800000000000002
AWC,TH,GOOD,61.2,1.3,0.5812400000000001,56.29240000000001,1.85,1.42,1198,0.15747947590222974,2.13,1.4800000000000002
BAM,TH,GOOD,60.7,1.3,0.57738,56.0538,1.89,1.45,300,0.15515560595612088,2.175,1.512
TISCO,TH,GOOD,67.2,1.19,0.56392,56.3192,1.42,1.19,189,0.1535703677368273,1.785,1.136
QH,TH,GOOD,62.3,1.52,0.5501199999999999,60.8212,1.47,0.97,763,0.1774037358397398,1.455,1.176
VRTX,US,GOOD,68.8,1.02,0.5319999999999998,53.24,1.39,1.36,144,0.12713757821878266,2.04,1.1119999999999999
BDMS,TH,GOOD,63.8,1.53,0.53084,61.4284,1.32,0.86,1963,0.17646128695119145,1.29,1.056
KTB,TH,GOOD,61.4,1.51,0.53044,60.064400000000006,1.48,0.98,469,0.1674770401927481,1.47,1.184
LH,TH,GOOD,61.3,1.65,0.52925,62.8125,1.4,0.85,1369,0.1822967716394657,1.275,1.1199999999999999
BEM,TH,GOOD,61.3,1.62,0.5276399999999999,62.1964,1.41,0.87,1278,0.17843781350088112,1.305,1.128
MEGA,TH,GOOD,61.3,1.25,0.5241699999999999,54.7617,1.72,1.37,685,0.1367780289292434,2.055,1.3760000000000001
FORTH,TH,GOOD,60.2,1.07,0.51064,50.586400000000005,2.23,2.09,299,0.1120130937944304,3.135,1.784
ENPH,US,FAIR,57.1,1.34,0.9015900000000003,58.6559,3.6,2.69,98,0.23492199749699905,4.035,2.8800000000000003
ORI,TH,FAIR,57.5,1.5,0.716,60.16,2.45,1.63,127,0.2103031696166322,2.445,1.9600000000000002
JTS,TH,FAIR,57.6,1.1,0.6218400000000006,51.25840000000001,3.31,3.03,158,0.13417373687840028,4.545,2.648
CKP,TH,FAIR,57.9,1.47,0.6122899999999998,58.682900000000004,2.09,1.42,235,0.17747073879396208,2.13,1.672
MELI,US,FAIR,58.3,0.96,0.5964299999999991,48.48429999999999,4.02,4.19,48,0.11367709324955921,6.285,3.2159999999999997
ODFL,US,FAIR,59.0,1.27,0.5868999999999998,54.869,2.19,1.72,105,0.1497592078938182,2.58,1.752
KCE,TH,FAIR,58.1,1.2,0.56869,52.9269,2.45,2.04,93,0.13502266084335812,3.06,1.9600000000000002
ZM,US,FAIR,57.1,1.61,0.5615800000000004,60.65580000000001,1.84,1.14,35,0.17581151203398648,1.71,1.4720000000000002
BPP,TH,FAIR,58.5,1.6,0.5453499999999998,60.853500000000004,1.67,1.04,265,0.17383005133706222,1.56,1.336
AMATA,TH,FAIR,57.0,1.37,0.5418999999999998,55.619,2.12,1.55,491,0.14410805813092223,2.325,1.6960000000000002
CENTEL,TH,FAIR,59.1,1.23,0.5039599999999997,53.2796,1.96,1.6,2846,0.12475626143590522,2.4000000000000004,1.568
PLANB,TH,FAIR,59.0,1.26,0.5001,53.800999999999995,1.89,1.5,1368,0.12660565473910043,2.25,1.512
MU,US,FAIR,56.5,1.08,0.4965499999999996,49.1655,3.05,2.82,124,0.10318317370316443,4.2299999999999995,2.44
EPG,TH,FAIR,55.6,1.4,0.49604000000000004,55.2004,2.09,1.5,214,0.13149014924356583,2.25,1.672
CHG,TH,FAIR,61.3,1.26,0.48930999999999997,54.613099999999996,1.6,1.27,1754,0.12870303946057773,1.905,1.2800000000000002
BANPU,TH,FAIR,61.5,1.13,0.48639999999999994,52.064,1.78,1.58,1023,0.11511205782443232,2.37,1.4240000000000002
IVL,TH,FAIR,59.5,1.23,0.48540000000000005,53.254000000000005,1.83,1.49,753,0.12097497509769367,2.235,1.4640000000000002
BCPG,TH,FAIR,62.3,1.14,0.48375999999999986,52.557599999999994,1.66,1.46,486,0.11700287834904091,2.19,1.328
ZS,US,FAIR,55.6,1.09,0.4828000000000001,48.86800000000001,3.28,3.02,108,0.09964195574626042,4.53,2.624
TIDLOR,TH,FAIR,59.6,1.17,0.4642799999999999,51.8828,1.85,1.58,530,0.11025182560723312,2.37,1.4800000000000002
PTT,TH,FAIR,59.5,1.57,0.46280000000000004,59.828,1.37,0.87,504,0.14722571109919208,1.305,1.096
TU,TH,FAIR,61.4,1.32,0.4611399999999999,55.571400000000004,1.43,1.08,321,0.1272766657982785,1.62,1.144
CRWD,US,FAIR,61.1,1.04,0.4579099999999998,49.8191,1.94,1.87,36,0.09908966716896955,2.805,1.552
EA,TH,FAIR,57.9,1.07,0.4560399999999999,49.120400000000004,2.46,2.3,749,0.09621415513498326,3.4499999999999997,1.968
STGT,TH,FAIR,57.7,1.19,0.4556800000000002,51.4368,2.08,1.76,858,0.10655073119982295,2.64,1.6640000000000001
SCGP,TH,FAIR,60.1,1.06,0.45389999999999986,49.77900000000001,2.01,1.89,391,0.09847232957883173,2.835,1.6079999999999999
TIPH,TH,FAIR,60.3,1.2,0.44488000000000005,52.5688,1.62,1.34,723,0.10962639491226725,2.0100000000000002,1.2960000000000003
DLTR,US,FAIR,66.7,0.98,0.44425000000000026,50.722500000000004,1.36,1.39,12,0.09889015060574335,2.085,1.088
PDD,US,FAIR,58.9,1.0,0.4426699999999997,47.9867,2.51,2.52,90,0.08879102665610972,3.7800000000000002,2.008
RATCH,TH,FAIR,60.1,1.45,0.44229999999999997,57.46300000000001,1.36,0.94,2043,0.13126021335104165,1.41,1.088
SIRI,US,FAIR,57.0,1.17,0.4384999999999998,50.585,2.18,1.87,128,0.0995873113171404,2.805,1.7440000000000002
WHAUP,TH,FAIR,61.1,1.29,0.43749999999999983,54.615,1.41,1.09,581,0.1174309759150001,1.6350000000000002,1.128
SPALI,TH,FAIR,61.4,1.18,0.43533999999999995,52.5134,1.52,1.29,166,0.10741196053090862,1.935,1.2160000000000002
SCC,TH,FAIR,60.3,1.36,0.4352899999999999,55.672900000000006,1.4,1.03,877,0.12156501356217912,1.545,1.1199999999999999
SIRI,TH,FAIR,60.3,1.08,0.43462,50.066199999999995,1.84,1.7,290,0.09638833254156769,2.55,1.4720000000000002
TRUE,TH,FAIR,65.0,1.15,0.43400000000000005,53.34,1.26,1.1,40,0.11047769860121404,1.6500000000000001,1.008
MAJOR,TH,FAIR,58.3,1.36,0.4299299999999999,54.8193,1.56,1.15,391,0.1160857485250172,1.7249999999999999,1.2480000000000002
SCB,TH,FAIR,57.0,1.6,0.42669999999999986,59.06699999999999,1.42,0.89,498,0.13252297397389723,1.335,1.136
CRC,TH,FAIR,58.7,1.24,0.41578000000000015,52.4378,1.63,1.31,824,0.10306164581683824,1.965,1.304
TOA,TH,FAIR,59.1,1.17,0.4043699999999999,51.0837,1.66,1.41,115,0.09521951451996014,2.1149999999999998,1.328
TPIPL,TH,FAIR,62.9,1.0,0.3973200000000001,49.133199999999995,1.54,1.54,159,0.08510689857737595,2.31,1.2320000000000002
MSFT,US,FAIR,55.7,1.17,0.39370000000000027,49.617000000000004,2.21,1.89,230,0.08737358669833735,2.835,1.768
TCAP,TH,FAIR,59.9,1.3,0.37373999999999996,53.6974,1.28,0.98,287,0.09910908078563582,1.47,1.024
CPALL,TH,FAIR,57.5,1.53,0.3687499999999999,57.2875,1.24,0.81,724,0.11047525093862534,1.215,0.992
HANA,TH,FAIR,57.3,1.07,0.36502999999999997,47.97030000000001,2.12,1.99,1077,0.07621503445457563,2.985,1.6960000000000002
CPN,TH,FAIR,58.9,1.19,0.36385999999999996,50.998599999999996,1.49,1.25,834,0.0868500881499076,1.875,1.192
ADVANC,TH,FAIR,58.7,1.41,0.36096000000000017,55.28960000000001,1.22,0.86,2007,0.10173959022297147,1.29,0.976
3711,TW,FAIR,56.5,1.12,0.35699999999999976,48.57,2.01,1.79,69,0.07693224018593717,2.685,1.6079999999999999
GLOBAL,TH,FAIR,59.4,1.1,0.34636,49.223600000000005,1.54,1.4,1848,0.07706914719178606,2.0999999999999996,1.2320000000000002
PR9,TH,FAIR,56.5,1.24,0.33589999999999987,50.75900000000001,1.58,1.28,214,0.08014082871470041,1.92,1.2640000000000002
KKP,TH,FAIR,61.6,1.18,0.32976,51.5376,1.14,0.97,359,0.08162710351697186,1.455,0.9119999999999999
3008,TW,FAIR,55.7,1.16,0.3295000000000001,48.775000000000006,1.88,1.62,490,0.07250071599451727,2.43,1.504
CHTR,US,FAIR,60.4,0.94,0.32479999999999987,46.20799999999999,1.79,1.91,139,0.0627992569322061,2.8649999999999998,1.4320000000000002
EGCO,TH,FAIR,57.9,1.28,0.32011999999999996,51.961200000000005,1.28,1.0,1777,0.080793241692846,1.5,1.024
BH,TH,FAIR,58.6,1.13,0.3146199999999998,49.1862,1.42,1.25,1196,0.07094733365685042,1.875,1.136
