config,symbol,exchange,trades,accuracy,avg_win,avg_loss,rrr,total_return,expectancy,tp_count,sl_count,hold_count,market
BASELINE_55%_SL2_TP4_H5,NVDA,NASDAQ,15,53.3,4.0,2.0,2.0,18.0,1.2,8,7,0,US
PROB58_SL2_TP4_H5,NVDA,NASDAQ,4,0.0,0.0,2.0,0.0,-8.0,-2.0,0,4,0,US
PROB60_SL2_TP4_H5,NVDA,NASDAQ,2,0.0,0.0,2.0,0.0,-4.0,-2.0,0,2,0,US
PROB55_SL1.5_TP3_H5,NVDA,NASDAQ,15,46.7,3.0,1.5,2.0,9.0,0.6,7,8,0,US
PROB55_SL1.5_TP4.5_H5,NVDA,NASDAQ,15,46.7,4.5,1.5,3.0,19.5,1.3,7,8,0,US
PROB55_SL2_TP6_H7,NVDA,NASDAQ,15,40.0,6.0,2.0,3.0,18.0,1.2,6,9,0,US
ATR_1x_2x_H5,NVDA,NASDAQ,15,26.7,7.72,4.32,1.79,-16.64,-1.1091,2,7,6,US
ATR_1x_2.5x_H5,NVDA,NASDAQ,15,26.7,6.22,4.32,1.44,-22.62,-1.5081,0,7,8,US
ATR_1x_3x_H7,NVDA,NASDAQ,15,33.3,6.82,5.71,1.19,-22.98,-1.5321,0,9,6,US
ATR_1.5x_3x_H5,NVDA,NASDAQ,15,33.3,5.43,5.76,0.94,-30.51,-2.0342,0,4,11,US
BEST_P58_ATR1x2.5_H5,NVDA,NASDAQ,4,0.0,0.0,6.28,0.0,-25.12,-6.2801,0,4,0,US
BEST_P60_ATR1x2.5_H5,NVDA,NASDAQ,2,0.0,0.0,5.6,0.0,-11.2,-5.6022,0,2,0,US
BEST_P58_ATR1x3_H7,NVDA,NASDAQ,4,0.0,0.0,6.28,0.0,-25.12,-6.2801,0,4,0,US
TIGHT_SL1_TP3_H5,NVDA,NASDAQ,15,26.7,3.0,1.0,3.0,1.0,0.0667,4,11,0,US
TIGHT_P58_SL1_TP3_H5,NVDA,NASDAQ,4,0.0,0.0,1.0,0.0,-4.0,-1.0,0,4,0,US
WIDE_SL3_TP6_H7,NVDA,NASDAQ,15,46.7,6.0,3.0,2.0,18.0,1.2,7,8,0,US
QUALITY_P55_WgtL_SL2_TP4,NVDA,NASDAQ,13,61.5,4.0,2.0,2.0,22.0,1.6923,8,5,0,US
QUALITY_P58_WgtL_ATR1x2.5,NVDA,NASDAQ,2,0.0,0.0,6.96,0.0,-13.92,-6.958,0,2,0,US
BASELINE_55%_SL2_TP4_H5,AAPL,NASDAQ,6,33.3,1.01,2.0,0.51,-5.97,-0.9951,0,4,2,US
PROB58_SL2_TP4_H5,AAPL,NASDAQ,6,33.3,1.01,2.0,0.51,-5.97,-0.9951,0,4,2,US
PROB60_SL2_TP4_H5,AAPL,NASDAQ,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,US
