scan_date,target_date,symbol,exchange,pattern,forecast,prob,conf,stats,price_at_scan,change_pct,threshold,avg_return,total_bars,actual,price_actual,correct,last_update
2026-02-16,2026-02-17,AWC,SET,+,UP,75.0,10.534108527131792,100/100 (5000),2.54,1.6000000000000014,2.400000000000002,1.2800000000000011,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,BANPU,SET,+,UP,65.88449843462166,5.4422492173108346,100/100 (5000),5.8,0.8695652173913012,1.3043478260869519,0.695652173913041,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,BCP,SET,+,UP,71.1111111111111,8.055555555555548,100/100 (5000),36.0,0.0,0.0,0.0,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,BEM,SET,+,UP,75.0,10.975465555633868,100/100 (5000),5.6,1.818181818181812,2.7272727272727177,1.4545454545454497,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,BGRIM,SET,+,UP,75.0,11.220253320670492,100/100 (5000),15.1,-0.657894736842103,0.9868421052631544,-0.5263157894736824,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,BJC,SET,+,UP,66.19091220813944,5.595456104069719,100/100 (5000),16.1,1.2578616352201324,1.8867924528301985,1.006289308176106,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,BPP,SET,+,UP,67.01521140256317,6.007605701281582,100/100 (5000),12.1,0.0,0.0,0.0,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,BTS,SET,+,UP,69.27101138503434,7.1355056925171745,100/100 (5000),2.52,-8.029197080291977,12.043795620437965,-6.423357664233582,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,BTS,SET,++,UP,69.45540087742434,11.673240526454604,100/100 (5000),2.52,-8.029197080291977,12.043795620437965,-6.423357664233582,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,BYD,SET,+,UP,75.0,20.0,100/100 (5000),0.66,8.196721311475418,12.295081967213127,6.557377049180335,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,BYD,SET,++,UP,70.0,12.961753926362897,100/100 (5000),0.66,8.196721311475418,12.295081967213127,6.557377049180335,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,CK,SET,+,UP,75.0,11.514696899009724,100/100 (5000),15.0,0.0,0.0,0.0,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,CKP,SET,+,UP,69.55156754682525,7.275783773412625,100/100 (5000),2.54,0.7936507936507943,1.1904761904761914,0.6349206349206354,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,CPALL,SET,+,UP,65.05211381796111,5.026056908980559,100/100 (5000),49.5,0.5076142131979695,0.7614213197969543,0.40609137055837563,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,DOHOME,SET,+,UP,65.13859582729523,5.069297913647619,100/100 (5000),3.92,-1.010101010101011,1.5151515151515165,-0.8080808080808088,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,EPG,SET,+,UP,75.0,17.245350964877737,100/100 (5000),3.72,1.0869565217391313,1.630434782608697,0.8695652173913051,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,EPG,SET,++,UP,66.34022533347037,9.804135200082222,100/100 (5000),3.72,1.0869565217391313,1.630434782608697,0.8695652173913051,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,ERW,SET,+,UP,73.81325448716686,9.406627243583433,100/100 (5000),3.1,-1.2738853503184724,1.9108280254777086,-1.019108280254778,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,FORTH,SET,++,UP,70.0,15.0,100/100 (5000),7.9,1.282051282051289,1.9230769230769336,1.0256410256410313,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,GPSC,SET,+,UP,75.0,12.544711416199528,100/100 (5000),43.25,0.5813953488372093,0.872093023255814,0.4651162790697675,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,GULF,SET,+,UP,68.30339902417272,6.651699512086362,100/100 (5000),59.75,0.8438818565400843,1.2658227848101264,0.6751054852320675,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,GUNKUL,SET,+,UP,75.0,13.22539698498777,100/100 (5000),2.22,0.0,0.0,0.0,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,HMPRO,SET,+,UP,69.37400313495434,7.18700156747717,100/100 (5000),7.0,-0.7092198581560258,1.0638297872340388,-0.5673758865248207,5000,PENDING,,,2026-02-16 15:00:00
