Stock,Trades,W/L,Winrate,Avg Win,Avg Loss,Net P/L
KUAISHOU,2,2W-0L,100.0,2.5100000000000002,0.0,5.0200000000000005
XIAOMI,1,1W-0L,100.0,1.56,0.0,1.56
BYD,1,1W-0L,100.0,1.1,0.0,1.1
XPENG,1,1W-0L,100.0,0.15,0.0,0.15
NETEASE,3,2W-1L,66.66666666666666,0.32999999999999996,-0.7,-0.040000000000000036
SUNNY-OPT,2,1W-1L,50.0,0.61,-0.75,-0.14
NIO,2,1W-1L,50.0,0.51,-1.46,-0.95
ALIBABA,1,0W-1L,0.0,0.0,-1.41,-1.41
LI-AUTO,2,0W-2L,0.0,0.0,-1.13,-2.26
TENCENT,4,2W-2L,50.0,0.8500000000000001,-2.305,-2.91
JD-HEALTH,2,0W-2L,0.0,0.0,-1.51,-3.02
MEITUAN,2,0W-2L,0.0,0.0,-1.6500000000000001,-3.3000000000000003
BAIDU,3,0W-3L,0.0,0.0,-2.473333333333333,-7.42
