Stock,Trades,W/L,Winrate,Avg Win,Avg Loss,Net P/L
RIVN,5,4W-1L,80.0,10.57,-1.94,40.34
MRNA,3,2W-1L,66.66666666666666,5.34,-0.34,10.34
ENPH,1,1W-0L,100.0,8.52,0.0,8.52
ADBE,4,3W-1L,75.0,2.8766666666666665,-0.37,8.26
FAST,5,4W-1L,80.0,2.46,-1.97,7.87
GILD,6,4W-2L,66.66666666666666,2.7525,-2.125,6.76
ROKU,3,1W-2L,33.33333333333333,8.6,-0.9349999999999999,6.7299999999999995
SIRI,4,2W-2L,50.0,6.195,-2.9650000000000003,6.46
AMZN,2,2W-0L,100.0,3.155,0.0,6.31
ABNB,4,3W-1L,75.0,2.49,-2.37,5.1000000000000005
MU,4,3W-1L,75.0,1.9900000000000002,-0.88,5.090000000000001
NXPI,6,4W-2L,66.66666666666666,2.55,-2.615,4.969999999999999
TEAM,3,2W-1L,66.66666666666666,2.1550000000000002,-0.04,4.2700000000000005
ODFL,4,3W-1L,75.0,2.0566666666666666,-3.07,3.1
CRWD,6,3W-3L,50.0,2.9333333333333336,-1.9966666666666668,2.8100000000000005
ASML,4,2W-2L,50.0,2.37,-0.9949999999999999,2.7500000000000004
XEL,7,5W-2L,71.42857142857143,1.2200000000000002,-1.69,2.7200000000000006
MSFT,3,3W-0L,100.0,0.9,0.0,2.7
LRCX,2,2W-0L,100.0,1.2149999999999999,0.0,2.4299999999999997
ZS,2,2W-0L,100.0,1.21,0.0,2.42
ISRG,3,2W-1L,66.66666666666666,1.2349999999999999,-0.08,2.3899999999999997
PEP,5,4W-1L,80.0,1.17,-2.36,2.32
MCHP,1,1W-0L,100.0,2.27,0.0,2.27
FISV,4,2W-2L,50.0,1.835,-0.73,2.21
QCOM,2,2W-0L,100.0,0.96,0.0,1.92
ADSK,4,2W-2L,50.0,3.23,-2.275,1.9100000000000001
AMD,3,2W-1L,66.66666666666666,2.7649999999999997,-3.63,1.8999999999999995
CMCSA,4,3W-1L,75.0,0.8166666666666668,-0.79,1.6600000000000001
