Stock,Trades,W/L,Winrate,Avg Win,Avg Loss,Net P/L
BYD,4,3W-1L,75.0,5.5,0.0,16.5
FORTH,2,1W-1L,50.0,11.97,0.0,11.97
TTB,6,4W-2L,66.66666666666666,2.8,-0.255,10.69
AMATA,5,3W-2L,60.0,3.14,-1.005,7.41
KTB,6,3W-3L,50.0,2.9766666666666666,-0.5166666666666667,7.38
GULF,6,5W-1L,83.33333333333334,1.748,-2.45,6.29
CPALL,5,4W-1L,80.0,2.5575,-4.31,5.920000000000001
SABUY,4,1W-3L,25.0,9.52,-1.45,5.17
SCGP,2,2W-0L,100.0,2.335,0.0,4.67
KKP,3,3W-0L,100.0,1.5166666666666666,0.0,4.55
KTC,5,3W-2L,60.0,1.7666666666666666,-0.405,4.49
JMART,3,2W-1L,66.66666666666666,2.24,0.0,4.48
CKP,4,2W-2L,50.0,2.1799999999999997,0.0,4.359999999999999
ORI,8,4W-4L,50.0,3.635,-2.5875,4.1899999999999995
COM7,4,3W-1L,75.0,2.0866666666666664,-2.23,4.029999999999999
HANA,2,2W-0L,100.0,1.935,0.0,3.87
TIDLOR,3,2W-1L,66.66666666666666,1.8050000000000002,0.0,3.6100000000000003
BEM,6,3W-3L,50.0,2.08,-0.9233333333333333,3.47
BGRIM,3,1W-2L,33.33333333333333,4.83,-0.7050000000000001,3.42
PSL,3,2W-1L,66.66666666666666,2.245,-1.46,3.0300000000000002
PTTEP,3,2W-1L,66.66666666666666,1.435,0.0,2.87
CRC,3,3W-0L,100.0,0.9333333333333332,0.0,2.8
HMPRO,3,1W-2L,33.33333333333333,3.33,-0.355,2.62
SIRI,3,1W-2L,33.33333333333333,3.29,-0.34,2.61
GLOBAL,2,2W-0L,100.0,1.28,0.0,2.56
TCAP,4,3W-1L,75.0,1.2766666666666666,-1.29,2.54
RCL,2,1W-1L,50.0,3.28,-0.89,2.3899999999999997
ERW,4,3W-1L,75.0,1.1533333333333333,-1.29,2.17
SPRC,3,2W-1L,66.66666666666666,1.06,0.0,2.12
OR,1,1W-0L,100.0,2.11,0.0,2.11
BDMS,4,3W-1L,75.0,1.1300000000000001,-1.35,2.04
MEGA,3,2W-1L,66.66666666666666,1.975,-1.92,2.0300000000000002
PTTGC,2,2W-0L,100.0,0.92,0.0,1.84
TQM,2,1W-1L,50.0,1.63,0.0,1.63
THANI,4,1W-3L,25.0,2.7,-0.37000000000000005,1.59
GFPT,1,1W-0L,100.0,1.53,0.0,1.53
TOA,5,3W-2L,60.0,1.7700000000000002,-1.915,1.4800000000000004
PTT,1,1W-0L,100.0,1.33,0.0,1.33
AOT,1,1W-0L,100.0,1.29,0.0,1.29
SNNP,4,3W-1L,75.0,2.0966666666666667,-5.17,1.12
EPG,4,2W-2L,50.0,1.01,-0.545,0.9299999999999999
TRUE,1,1W-0L,100.0,0.78,0.0,0.78
BPP,2,1W-1L,50.0,1.57,-0.83,0.7400000000000001
BCH,2,1W-1L,50.0,2.59,-1.92,0.6699999999999999
ICHI,3,2W-1L,66.66666666666666,0.675,-0.7,0.6500000000000001
CENTEL,2,1W-1L,50.0,0.65,0.0,0.65
CHG,4,2W-2L,50.0,0.59,-0.305,0.57
IVL,2,1W-1L,50.0,1.31,-0.95,0.3600000000000001
TKS,1,0W-1L,0.0,0.0,0.0,0.0
OSP,1,0W-1L,0.0,0.0,0.0,0.0
SUPER,6,1W-5L,16.666666666666664,9.09,-1.818,0.0
SPALI,2,1W-1L,50.0,0.54,-0.54,0.0
SSP,5,2W-3L,40.0,1.5499999999999998,-1.0733333333333333,-0.1200000000000001
TASCO,4,1W-3L,25.0,4.0,-1.3966666666666667,-0.1900000000000004
TISCO,3,1W-2L,33.33333333333333,0.45,-0.44,-0.43
AP,1,0W-1L,0.0,0.0,-0.54,-0.54
TOP,5,1W-4L,20.0,0.5,-0.2625,-0.55
TU,4,2W-2L,50.0,1.275,-1.575,-0.6000000000000001
SCB,3,1W-2L,33.33333333333333,0.35,-0.52,-0.6900000000000001
MAJOR,6,3W-3L,50.0,1.13,-1.36,-0.6900000000000004
ADVANC,6,3W-3L,50.0,1.64,-1.8833333333333335,-0.7300000000000004
BANPU,3,1W-2L,33.33333333333333,0.92,-0.855,-0.7899999999999999
SISB,1,0W-1L,0.0,0.0,-0.86,-0.86
BBL,3,1W-2L,33.33333333333333,0.3,-0.615,-0.9299999999999999
SCC,2,0W-2L,0.0,0.0,-0.715,-1.43
PR9,2,0W-2L,0.0,0.0,-0.745,-1.49
TIPH,2,0W-2L,0.0,0.0,-0.9299999999999999,-1.8599999999999999
GUNKUL,5,2W-3L,40.0,0.95,-1.2733333333333334,-1.9200000000000004
LH,4,2W-2L,50.0,1.57,-2.585,-2.03
CPN,4,1W-3L,25.0,0.4,-0.82,-2.06
DELTA,2,0W-2L,0.0,0.0,-1.105,-2.21
MTC,4,1W-3L,25.0,0.66,-0.9866666666666667,-2.3
BJC,3,0W-3L,0.0,0.0,-0.8333333333333334,-2.5
SJWD,5,2W-3L,40.0,1.97,-2.2100000000000004,-2.690000000000001
STA,2,0W-2L,0.0,0.0,-1.38,-2.76
SAWAD,4,1W-3L,25.0,1.74,-1.53,-2.8499999999999996
WHAUP,3,1W-2L,33.33333333333333,1.21,-2.095,-2.9800000000000004
BCP,4,1W-3L,25.0,0.79,-1.2833333333333334,-3.06
BAM,2,0W-2L,0.0,0.0,-1.58,-3.16
CK,5,1W-4L,20.0,2.47,-1.4275000000000002,-3.2400000000000007
BCPG,6,2W-4L,33.33333333333333,2.555,-2.09,-3.249999999999999
JTS,1,0W-1L,0.0,0.0,-3.28,-3.28
STGT,4,1W-3L,25.0,1.16,-1.5166666666666666,-3.3899999999999997
TKN,4,1W-3L,25.0,3.04,-2.1533333333333333,-3.42
NEX,2,0W-2L,0.0,0.0,-1.975,-3.95
PLANB,4,2W-2L,50.0,1.51,-3.7550000000000003,-4.49
DOHOME,3,0W-3L,0.0,0.0,-1.64,-4.92
BTS,5,2W-3L,40.0,4.42,-4.586666666666667,-4.920000000000002
CBG,3,0W-3L,0.0,0.0,-1.6666666666666667,-5.0
KBANK,7,1W-6L,14.285714285714285,1.51,-1.0916666666666668,-5.040000000000001
BH,3,1W-2L,33.33333333333333,1.8,-3.63,-5.46
AWC,6,2W-4L,33.33333333333333,2.295,-2.5975,-5.800000000000001
QH,6,2W-4L,33.33333333333333,1.03,-2.01,-5.979999999999999
MINT,3,0W-3L,0.0,0.0,-2.033333333333333,-6.1
TPIPL,5,1W-4L,20.0,1.41,-1.9575,-6.42
PTG,3,2W-1L,66.66666666666666,0.8400000000000001,-8.14,-6.460000000000001
WHA,5,2W-3L,40.0,1.43,-3.193333333333333,-6.719999999999999
KCE,5,1W-4L,20.0,3.57,-2.8499999999999996,-7.829999999999998
EA,2,0W-2L,0.0,0.0,-5.795,-11.59
SINGER,6,2W-4L,33.33333333333333,1.53,-4.055,-13.159999999999998
JMT,5,3W-2L,60.0,2.9766666666666666,-12.335,-15.740000000000002
VGI,4,2W-2L,50.0,4.26,-18.95,-29.38
