symbol,group,Group,Country,Raw_Count,Raw_Prob%,Elite_Count,Elite_Prob%,RR_Ratio,AvgWin%,AvgLoss%,Prob%,Count_Used,RVol_Avg,High_Vol_Count,High_Vol_Prob%,Vol_Adj_Prob%,Count
ENPH,GROUP_B_US,GROUP_B_US,US,177,78.0,14,71.4,1.61,5.88,3.65,78.0,177,1.26,35,65.7,78.0,177
SSP,GROUP_A_THAI,GROUP_A_THAI,TH,26,76.9,26,76.9,0.95,2.93,3.08,76.9,26,1.15,5,40.0,76.9,26
LCID,GROUP_B_US,GROUP_B_US,US,99,76.8,2,100.0,0.48,5.12,10.71,76.8,99,1.35,18,22.2,76.8,99
VIPS,GROUP_C_CHINA_HK,GROUP_C_CHINA_HK,CN,76,76.3,33,87.9,1.11,3.79,3.4,76.3,76,1.68,20,50.0,76.3,76
MRNA,GROUP_B_US,GROUP_B_US,US,104,75.0,83,77.1,1.23,3.56,2.91,75.0,104,1.4,29,41.4,75.0,104
AMD,GROUP_B_US,GROUP_B_US,US,157,74.5,82,80.5,1.06,3.09,2.9,74.5,157,1.19,18,33.3,74.5,157
WBD,GROUP_B_US,GROUP_B_US,US,62,74.2,41,70.7,1.17,3.46,2.97,74.2,62,1.59,19,57.9,74.2,62
PCAR,GROUP_B_US,GROUP_B_US,US,67,73.1,53,75.5,0.69,1.8,2.62,73.1,67,1.46,17,64.7,73.1,67
MNST,GROUP_B_US,GROUP_B_US,US,51,72.5,32,65.6,1.06,1.94,1.83,72.5,51,1.6,18,27.8,72.5,51
TIDLOR,GROUP_A_THAI,GROUP_A_THAI,TH,18,72.2,4,25.0,2.62,9.03,3.44,72.2,18,0.6,1,0.0,72.2,18
DXCM,GROUP_B_US,GROUP_B_US,US,177,71.2,37,75.7,1.31,3.72,2.85,71.2,177,1.47,34,61.8,71.2,177
TSLA,GROUP_B_US,GROUP_B_US,US,345,70.7,54,77.8,0.68,2.84,4.19,70.7,345,1.11,38,89.5,89.5,345
MSFT,GROUP_B_US,GROUP_B_US,US,30,70.0,29,69.0,1.02,2.52,2.47,70.0,30,1.44,7,71.4,71.4,30
LRCX,GROUP_B_US,GROUP_B_US,US,105,69.5,72,75.0,1.25,3.44,2.75,69.5,105,1.44,26,65.4,69.5,105
PANW,GROUP_B_US,GROUP_B_US,US,155,68.4,136,70.6,0.98,2.34,2.39,68.4,155,1.37,32,46.9,68.4,155
KLAC,GROUP_B_US,GROUP_B_US,US,66,68.2,60,68.3,1.14,2.55,2.23,68.2,66,1.42,16,50.0,68.2,66
TAL,GROUP_C_CHINA_HK,GROUP_C_CHINA_HK,CN,263,68.1,136,64.7,0.97,3.56,3.67,68.1,263,1.35,67,59.7,68.1,263
ZM,GROUP_B_US,GROUP_B_US,US,28,67.9,16,68.8,0.87,2.21,2.54,67.9,28,1.68,5,40.0,67.9,28
MELI,GROUP_B_US,GROUP_B_US,US,325,67.7,277,69.0,0.97,2.71,2.81,67.7,325,1.22,55,69.1,69.1,325
META,GROUP_B_US,GROUP_B_US,US,160,66.9,100,68.0,1.0,2.54,2.54,66.9,160,1.31,32,65.6,66.9,160
TXN,GROUP_B_US,GROUP_B_US,US,60,66.7,30,86.7,1.45,3.46,2.38,66.7,60,1.4,17,76.5,76.5,60
MU,GROUP_B_US,GROUP_B_US,US,327,66.7,55,78.2,1.18,3.03,2.57,66.7,327,1.22,57,36.8,66.7,327
ZTO,GROUP_C_CHINA_HK,GROUP_C_CHINA_HK,CN,27,66.7,12,66.7,0.95,3.21,3.37,66.7,27,1.78,13,61.5,66.7,27
9866,GROUP_C_CHINA_HK,GROUP_C_CHINA_HK,CN,3,66.7,0,0.0,0.37,1.7,4.63,66.7,3,1.15,0,0.0,66.7,3
