scan_date,target_date,symbol,exchange,pattern,forecast,prob,conf,stats,price_at_scan,change_pct,threshold,avg_return,total_bars,actual,price_actual,realized_change,correct,last_update
2026-01-02,2026-01-05,ABNB,NASDAQ,--,UP,64.3,64.3,27,133.01,-2.0,0.5,-2.0,0.0,UP,135.87,2.15,1.0,2026-02-27 14:43:33
2026-01-02,2026-01-05,ADBE,NASDAQ,--,UP,53.3,53.3,89,333.3,-4.77,0.5,-4.77,0.0,DOWN,331.56,-0.52,0.0,2026-02-27 14:42:31
2026-01-02,2026-01-05,ADI,NASDAQ,-+,DOWN,60.2,60.2,123,273.74,0.94,0.5,0.94,0.0,UP,277.29,1.3,0.0,2026-02-27 14:42:48
2026-01-02,2026-01-05,ADP,NASDAQ,--,UP,61.8,61.8,119,252.88,-1.69,0.5,-1.69,0.0,UP,257.32,1.76,1.0,2026-02-27 14:42:45
2026-01-02,2026-01-05,ADSK,NASDAQ,---,DOWN,53.5,53.5,109,286.73,-3.14,0.5,-3.14,0.0,UP,288.66,0.67,0.0,2026-02-27 14:43:10
2026-01-02,2026-01-05,ADVANTECH,TWSE,-,UP,52.9,52.9,82,286.5,-0.52,0.5,-0.52,0.0,UP,289.5,1.05,1.0,2026-02-27 14:43:59
2026-01-02,2026-01-05,ALIBABA,HKEX,+++--+-+,DOWN,54.1,54.1,42,149.0,4.34,0.5,4.34,0.0,UP,152.8,2.55,0.0,2026-02-27 14:43:44
2026-01-02,2026-01-05,AMAT,NASDAQ,--+,DOWN,56.2,56.2,106,268.87,4.62,0.5,4.62,0.0,UP,284.32,5.75,0.0,2026-02-27 14:42:41
2026-01-02,2026-01-05,AMD,NASDAQ,-+,DOWN,54.1,54.1,97,223.47,4.35,0.5,4.35,0.0,DOWN,221.08,-1.07,1.0,2026-02-27 14:42:35
2026-01-02,2026-01-05,AMZN,NASDAQ,--,DOWN,52.2,52.2,12,226.5,-1.87,0.5,-1.87,0.0,UP,233.06,2.9,0.0,2026-02-27 14:42:23
2026-01-02,2026-01-05,ASE,TWSE,++-++,DOWN,54.4,54.4,46,258.0,2.99,0.5,2.99,0.0,UP,263.5,2.13,0.0,2026-02-27 14:43:57
2026-01-02,2026-01-05,ASML,NASDAQ,+,DOWN,52.1,52.1,75,1163.78,8.78,0.5,8.78,0.0,UP,1228.19,5.53,0.0,2026-02-27 14:43:00
2026-01-02,2026-01-05,ASUSTEK,TWSE,+--++,DOWN,54.5,54.5,79,555.0,1.28,0.5,1.28,0.0,DOWN,546.0,-1.62,1.0,2026-02-27 14:43:59
2026-01-02,2026-01-05,BAIDU,HKEX,+++,DOWN,59.5,59.5,22,143.8,9.35,0.5,9.35,0.0,NEUTRAL,143.4,-0.28,0.0,2026-02-27 14:43:46
2026-01-02,2026-01-05,BIDU,NASDAQ,+++-+,DOWN,64.2,64.2,89,150.3,15.03,0.5,15.03,0.0,NEUTRAL,149.68,-0.41,0.0,2026-02-27 14:43:39
2026-01-02,2026-01-05,BIIB,NASDAQ,+,UP,51.6,51.6,82,177.82,1.04,0.5,1.04,0.0,DOWN,174.63,-1.79,0.0,2026-02-27 14:43:18
2026-01-02,2026-01-05,BKNG,NASDAQ,--,UP,58.6,58.6,17,5323.2,-0.6,0.5,-0.6,0.0,UP,5367.37,0.83,1.0,2026-02-27 14:42:42
2026-01-02,2026-01-05,BKR,NASDAQ,+-+,DOWN,52.3,52.3,83,47.14,3.51,0.5,3.51,0.0,UP,49.07,4.09,0.0,2026-02-27 14:43:35
2026-01-02,2026-01-05,BYD,HKEX,-+++-+,UP,57.1,57.1,88,98.75,3.57,0.5,3.57,0.0,DOWN,95.8,-2.99,0.0,2026-02-27 14:43:47
2026-01-02,2026-01-05,CDNS,NASDAQ,---,UP,50.3,50.3,78,310.4,-0.7,0.5,-0.7,0.0,DOWN,301.22,-2.96,0.0,2026-02-27 14:43:01
2026-01-02,2026-01-05,CMCSA,NASDAQ,-,UP,54.0,54.0,88,27.67,-1.17,0.5,-1.17,0.0,UP,28.13,1.65,1.0,2026-02-27 14:42:33
2026-01-02,2026-01-05,CME,NASDAQ,+---,UP,54.7,54.7,98,269.68,-1.25,0.5,-1.25,0.0,UP,275.06,1.99,1.0,2026-02-27 14:42:55
2026-01-02,2026-01-05,COST,NASDAQ,-,UP,54.0,54.0,81,854.5,-0.91,0.5,-0.91,0.0,UP,875.74,2.49,1.0,2026-02-27 14:42:29
2026-01-02,2026-01-05,CPRT,NASDAQ,--,UP,64.3,64.3,103,37.77,-3.52,0.5,-3.52,0.0,UP,38.53,2.03,1.0,2026-02-27 14:43:27
2026-01-02,2026-01-05,CRWD,NASDAQ,--,UP,54.2,54.2,32,453.58,-3.24,0.5,-3.24,0.0,UP,456.55,0.65,1.0,2026-02-27 14:43:30
2026-01-02,2026-01-05,CSCO,NASDAQ,-,UP,59.2,59.2,122,76.04,-1.29,0.5,-1.29,0.0,DOWN,75.58,-0.6,0.0,2026-02-27 14:42:30
2026-01-02,2026-01-05,CTAS,NASDAQ,--,UP,53.5,53.5,84,184.88,-1.7,0.5,-1.7,0.0,NEUTRAL,185.46,0.31,0.0,2026-02-27 14:43:09
2026-01-02,2026-01-05,DDOG,NASDAQ,--,DOWN,63.4,63.4,39,133.77,-1.63,0.5,-1.63,0.0,NEUTRAL,133.64,-0.1,0.0,2026-02-27 14:43:30
2026-01-02,2026-01-05,DELTA,TWSE,+,UP,51.6,51.6,66,995.0,3.32,0.5,3.32,0.0,UP,1010.0,1.51,1.0,2026-02-27 14:43:56
2026-01-02,2026-01-05,DLTR,NASDAQ,-+,DOWN,58.9,58.9,93,127.7,3.81,0.5,3.81,0.0,UP,128.57,0.68,0.0,2026-02-27 14:43:29
2026-01-02,2026-01-05,ENPH,NASDAQ,+,DOWN,51.5,51.5,53,33.75,5.3,0.5,5.3,0.0,UP,34.0,0.74,0.0,2026-02-27 14:43:34
2026-01-02,2026-01-05,EXC,NASDAQ,+-+,DOWN,51.0,51.0,79,43.92,0.76,0.5,0.76,0.0,DOWN,43.54,-0.87,1.0,2026-02-27 14:43:17
2026-01-02,2026-01-05,FANG,NASDAQ,++-+,DOWN,56.0,56.0,60,152.34,1.34,0.5,1.34,0.0,DOWN,146.99,-3.51,1.0,2026-02-27 14:43:35
2026-01-02,2026-01-05,FAST,NASDAQ,----+,UP,61.1,61.1,107,40.44,0.77,0.5,0.77,0.0,UP,41.15,1.76,1.0,2026-02-27 14:43:24
2026-01-02,2026-01-05,FISV,NASDAQ,--,UP,65.9,65.9,98,65.59,-2.35,0.5,-2.35,0.0,UP,66.99,2.13,1.0,2026-02-27 14:42:52
2026-01-02,2026-01-05,FTNT,NASDAQ,----,DOWN,51.9,51.9,68,77.88,-1.93,0.5,-1.93,0.0,NEUTRAL,77.94,0.08,0.0,2026-02-27 14:43:04
2026-01-02,2026-01-05,GFS,NASDAQ,+-+,DOWN,55.3,55.3,21,36.87,5.58,0.5,5.58,0.0,UP,37.13,0.71,0.0,2026-02-27 14:43:26
2026-01-02,2026-01-05,GILD,NASDAQ,-,UP,57.8,57.8,96,121.6,-0.93,0.5,-0.93,0.0,DOWN,118.3,-2.71,0.0,2026-02-27 14:42:46
2026-01-02,2026-01-05,GOOGL,NASDAQ,+,DOWN,54.9,54.9,78,315.15,0.69,0.5,0.69,0.0,NEUTRAL,316.54,0.44,0.0,2026-02-27 14:42:24
2026-01-02,2026-01-05,HON-HAI,TWSE,++-++,DOWN,54.9,54.9,88,232.0,0.65,0.5,0.65,0.0,UP,234.5,1.08,0.0,2026-02-27 14:43:55
2026-01-02,2026-01-05,IDXX,NASDAQ,---,DOWN,53.6,53.6,94,669.99,-0.97,0.5,-0.97,0.0,UP,682.23,1.83,0.0,2026-02-27 14:43:15
2026-01-02,2026-01-05,ILMN,NASDAQ,--+,UP,52.6,52.6,89,134.35,2.43,0.5,2.43,0.0,UP,141.33,5.2,1.0,2026-02-27 14:43:37
2026-01-02,2026-01-05,INTC,NASDAQ,++-+,DOWN,57.6,57.6,102,39.38,6.72,0.5,6.72,0.0,NEUTRAL,39.37,-0.03,0.0,2026-02-27 14:42:37
2026-01-02,2026-01-05,INTU,NASDAQ,---,UP,60.8,60.8,102,629.46,-4.98,0.5,-4.98,0.0,UP,633.84,0.7,1.0,2026-02-27 14:42:39
2026-01-02,2026-01-05,ISRG,NASDAQ,--,UP,55.0,55.0,102,561.98,-0.77,0.5,-0.77,0.0,UP,566.38,0.78,1.0,2026-02-27 14:42:43
2026-01-02,2026-01-05,JD,NASDAQ,+,UP,52.0,52.0,52,29.53,2.89,0.5,2.89,0.0,NEUTRAL,29.65,0.41,0.0,2026-02-27 14:43:37
2026-01-02,2026-01-05,JD-COM,HKEX,-+-+,DOWN,51.2,51.2,21,115.1,3.14,0.5,3.14,0.0,DOWN,113.7,-1.22,1.0,2026-02-27 14:43:47
2026-01-02,2026-01-05,JD-HEALTH,HKEX,-+,UP,56.4,56.4,22,56.35,1.53,0.5,1.53,0.0,UP,58.2,3.28,1.0,2026-02-27 14:43:53
2026-01-02,2026-01-05,KDP,NASDAQ,-,UP,56.6,56.6,81,27.73,-1.0,0.5,-1.0,0.0,DOWN,27.32,-1.48,0.0,2026-02-27 14:43:07
2026-01-02,2026-01-05,KHC,NASDAQ,+-+,UP,58.6,58.6,57,24.39,0.58,0.5,0.58,0.0,DOWN,23.77,-2.54,0.0,2026-02-27 14:43:13
2026-01-02,2026-01-05,KLAC,NASDAQ,---+,DOWN,54.1,54.1,93,1274.47,4.89,0.5,4.89,0.0,UP,1352.45,6.12,0.0,2026-02-27 14:42:53
2026-01-02,2026-01-05,KUAISHOU,HKEX,-+-+,UP,51.4,51.4,19,66.25,3.6,0.5,3.6,0.0,UP,73.6,11.09,1.0,2026-02-27 14:43:50
2026-01-02,2026-01-05,LARGAN,TWSE,++-++,DOWN,66.3,66.3,94,2585.0,3.61,0.5,3.61,0.0,DOWN,2535.0,-1.93,1.0,2026-02-27 14:43:58
2026-01-02,2026-01-05,LCID,NASDAQ,+-+----+,UP,54.8,54.8,17,11.15,5.49,0.5,5.49,0.0,UP,11.69,4.84,1.0,2026-02-27 14:43:38
2026-01-02,2026-01-05,LI-AUTO,HKEX,-+,DOWN,51.4,51.4,18,68.05,4.93,0.5,4.93,0.0,DOWN,66.35,-2.5,1.0,2026-02-27 14:43:48
2026-01-02,2026-01-05,LRCX,NASDAQ,---+,DOWN,61.0,61.0,96,185.06,8.11,0.5,8.11,0.0,UP,194.76,5.24,0.0,2026-02-27 14:42:47
2026-01-02,2026-01-05,LULU,NASDAQ,--+--+,UP,51.9,51.9,86,210.81,1.44,0.5,1.44,0.0,UP,212.4,0.75,1.0,2026-02-27 14:43:16
2026-01-02,2026-01-05,MAR,NASDAQ,-+,UP,50.3,50.3,77,313.41,1.02,0.5,1.02,0.0,DOWN,311.03,-0.76,0.0,2026-02-27 14:43:05
2026-01-02,2026-01-05,MCHP,NASDAQ,-+,DOWN,55.0,55.0,104,65.03,2.06,0.5,2.06,0.0,UP,67.06,3.12,0.0,2026-02-27 14:43:14
2026-01-02,2026-01-05,MEDIATEK,TWSE,++,DOWN,69.2,69.2,109,1470.0,2.8,0.5,2.8,0.0,UP,1525.0,3.74,0.0,2026-02-27 14:43:54
2026-01-02,2026-01-05,MEITUAN,HKEX,-+,UP,53.6,53.6,36,104.6,1.26,0.5,1.26,0.0,UP,105.4,0.76,1.0,2026-02-27 14:43:44
2026-01-02,2026-01-05,MELI,NASDAQ,-,DOWN,50.4,50.4,70,1973.7,-2.01,0.5,-2.01,0.0,UP,2148.62,8.86,0.0,2026-02-27 14:43:36
2026-01-02,2026-01-05,META,NASDAQ,--+--,UP,55.1,55.1,59,650.41,-1.47,0.5,-1.47,0.0,UP,658.79,1.29,1.0,2026-02-27 14:42:26
2026-01-02,2026-01-05,MNST,NASDAQ,--,UP,56.6,56.6,111,76.16,-0.67,0.5,-0.67,0.0,DOWN,75.67,-0.64,0.0,2026-02-27 14:43:03
2026-01-02,2026-01-05,MRNA,NASDAQ,--+,UP,56.4,56.4,47,30.86,4.65,0.5,4.65,0.0,UP,32.17,4.24,1.0,2026-02-27 14:42:58
