date,symbol,exchange,group,pattern,forecast,prob,actual,actual_return,trader_return,correct,strategy,exit_reason,hold_days,position_pct
2015-11-12 09:00:00,ADVANC,SET,GROUP_A_THAI,-,UP,49.570718481699046,UP,0.4739336492890933,0.37837837837837346,1,MEAN_REVERSION,MAX_HOLD,7,79.8
2015-11-13 09:00:00,ADVANC,SET,GROUP_A_THAI,-,UP,49.570718481699046,DOWN,-2.3474178403755874,-1.7948717948717956,0,MEAN_REVERSION,MAX_HOLD,7,76.5
2015-11-18 09:00:00,ADVANC,SET,GROUP_A_THAI,-,UP,49.570718481699046,DOWN,-2.3921832884097034,-2.0,0,MEAN_REVERSION,STOP_LOSS,5,83.6
2015-11-19 09:00:00,ADVANC,SET,GROUP_A_THAI,-,UP,49.570718481699046,DOWN,-2.358490566037736,-2.0,0,MEAN_REVERSION,STOP_LOSS,4,84.8
2015-11-20 09:00:00,ADVANC,SET,GROUP_A_THAI,-,UP,49.570718481699046,DOWN,-2.3247978436657686,-2.0,0,MEAN_REVERSION,STOP_LOSS,3,86.0
2015-11-23 09:00:00,ADVANC,SET,GROUP_A_THAI,-,UP,49.570718481699046,DOWN,-2.2911051212938003,-2.0,0,MEAN_REVERSION,STOP_LOSS,2,87.3
2015-11-27 09:00:00,ADVANC,SET,GROUP_A_THAI,-+,DOWN,50.38461538461539,UP,2.9126213592232997,2.1265822784810116,1,MEAN_REVERSION,MAX_HOLD,7,73.0
2015-12-02 09:00:00,ADVANC,SET,GROUP_A_THAI,-+,DOWN,50.38461538461539,UP,5.021216407355021,4.000000000000001,1,MEAN_REVERSION,TAKE_PROFIT,6,79.7
2015-12-03 09:00:00,ADVANC,SET,GROUP_A_THAI,-+,DOWN,50.38461538461539,UP,4.78502080443828,4.0,1,MEAN_REVERSION,TAKE_PROFIT,4,83.6
2015-12-04 09:00:00,ADVANC,SET,GROUP_A_THAI,-+,DOWN,50.38461538461539,UP,4.87977369165488,4.0,1,MEAN_REVERSION,TAKE_PROFIT,3,82.0
2015-12-08 09:00:00,ADVANC,SET,GROUP_A_THAI,-+,DOWN,50.38461538461539,UP,4.928571428571429,4.000000000000001,1,MEAN_REVERSION,TAKE_PROFIT,3,81.2
2015-12-09 09:00:00,ADVANC,SET,GROUP_A_THAI,-+,DOWN,50.38461538461539,UP,4.785714285714286,4.0,1,MEAN_REVERSION,TAKE_PROFIT,2,83.6
2015-12-15 09:00:00,ADVANC,SET,GROUP_A_THAI,-+,DOWN,50.38461538461539,UP,6.345514950166113,4.000000000000001,1,MEAN_REVERSION,TAKE_PROFIT,1,63.0
2015-12-21 09:00:00,ADVANC,SET,GROUP_A_THAI,--,UP,55.846422338568935,DOWN,-2.2508038585209,-0.717948717948718,0,MEAN_REVERSION,MAX_HOLD,7,31.9
